channel,geography,spec,unit,parameters,gain_bn,gain_low_bn,gain_high_bn,sd_bn,induced_receipts_bn,private_bn,source,population,per_group_member,per_other_resident
composition,CZ 1990,"Ciccone-Peri city, Table 4 col 2",per year of workers' mean schooling,-0.004 (0.017),11.069949280063687,-81.0350092573942,103.17490781752157,46.993188924622025,4.6477215484588354,6.422227731604851,Ciccone-Peri 2006 Table 4 col 2 (2SLS),"163 US cities, 1970-1990",270.6815803217083,36.99671101429714
composition,CZ 1990,"Ciccone-Peri city, Table 4 col 1",per year of workers' mean schooling,0.014 (0.03),-38.950127812072026,-203.22290711691508,125.32265149277103,83.81418194662915,-16.35333924109855,-22.59678857097348,Ciccone-Peri 2006 Table 4 col 1,"163 US cities, 1970-1990",-952.4056419022295,-130.17463641214408
composition,CZ 1990,"Ciccone-Peri city, Table 4 col 4 (experience control)",per year of workers' mean schooling,-0.01 (0.018),27.626297832874656,-69.55473532336582,124.80733098911514,49.58307048304994,11.598882016840088,16.02741581603457,Ciccone-Peri 2006 Table 4 col 4,"163 US cities, 1970-1990",675.5161895193141,92.32943453123815
composition,CZ 1990,"Ciccone-Peri city, white males, Table 5 col 2",per year of workers' mean schooling,-0.001 (0.021),2.7699218224019675,-111.20840375307337,116.7482473978773,58.15327504764135,1.1629538914203632,1.6069679309816043,Ciccone-Peri 2006 Table 5 col 2,"163 US cities, 1970-1990",67.72992335255192,9.257314067387608
composition,CZ 1990,"Acemoglu-Angrist state IV (QOB, CA and CL)",per year of workers' mean schooling,0.004 (0.035),-11.095951392550628,-201.62942748957178,179.43752470447052,97.21274273253036,-4.658653263897164,-6.437298128653465,Acemoglu-Angrist 1999 (w7444) Table 6 col 3,"US states, white men 40-49, 1960-80",-271.3173820513823,-37.083612283408925
composition,CZ 1990,Acemoglu-Angrist state IV (QOB and CA),per year of workers' mean schooling,0.017 (0.043),-47.338363280887876,-283.2293040011696,188.55257743939387,120.35473137276078,-19.875191067508002,-27.463172213379874,Acemoglu-Angrist 1999 Table 6 col 2,"US states, white men 40-49, 1960-80",-1157.514154630358,-158.20883202662228
composition,CZ 1990,"Iranzo-Peri basic, Table 8 col 1","per year of schooling of SC+ (HS-or-less) workers per worker, their definition",0.06 (0.025); -0.01 (0.01),-392.0259372891506,-705.6179610168562,-78.43391356144495,159.99886922806013,-164.62035998287806,-227.40557730627253,Iranzo-Peri 2009 (w12440) Table 8 col 1 (2SLS),"US states, 1970-2000",-9585.789198115974,-1310.1839895613539
composition,CZ 1990,"Iranzo-Peri 1980-2000, Table 8 col 5","per year of schooling of SC+ (HS-or-less) workers per worker, their definition",0.12 (0.04); 0.01 (0.03),-712.7703485234108,-1275.0134198344863,-150.5272772123351,286.8639787828122,-299.31642258906203,-413.4539259343488,Iranzo-Peri 2009 Table 8 col 5,"US states, 1980-2000",-17428.607797890618,-2382.1390628565528
composition,CZ 1990,"Iranzo-Peri sector-demand control, Table 9 col 4","per year of schooling of SC+ (HS-or-less) workers per worker, their definition",0.11 (0.04); -0.01 (0.02),-715.5257886410894,-1257.1007341683246,-173.95084311385432,276.3188229616642,-300.4762120186901,-415.0495766223994,Iranzo-Peri 2009 Table 9 col 4,"US states, 1970-2000",-17495.983615671314,-2391.347977836367
composition,CZ 1990,"Iranzo-Peri basic, read as years beyond 12 per worker",per year beyond 12 (up to 12) per worker,0.06 (0.025); -0.01 (0.01),-92.05025090046249,-179.6428119587218,-4.457689842203186,44.69090302590216,-38.676517591950166,-53.37373330851233,"Iranzo-Peri 2009 Table 8 col 1, the reading their text compares with Moretti",[INFERENCE: not their variable; their Table 6 first stages imply ~17 years per college worker],-2250.8059208202253,-307.6397592436271
composition,CZ 1990,"Moretti college graduates' own, col 3 (2SLS age structure, 1980-90)",per unit BA+ share of workers (lower bound on spillover),0.86 (0.35),-287.3825186498976,-524.4173646478558,-50.347672651939334,120.93836723427484,-120.75375755312423,-166.62876109677336,"Moretti 2004 JoE Table 5 col 3 (2SLS age structure, 1980-90)","282 US MSAs, 1980-1990",-7027.056071980444,-960.4567937993254
composition,CZ 1990,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 1980-1990 weights",per unit BA+ share (constant-composition externality),1.573 (0.416),-540.6526561812542,-838.6703429836916,-242.63496937881672,152.05263300878863,-227.18303407343518,-313.46962210781896,"Moretti 2004 Table 5 col 3 (2SLS age structure, 1980-90), averaged with 1980-1990 income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates",-13219.998726085325,-1806.9071116588655
composition,CZ 1990,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 2024 others weights",per unit BA+ share (constant-composition externality),1.258 (0.385),-427.2075784683725,-696.3989556459729,-158.0162012907721,137.34506204073156,-179.51009398240674,-247.69748448596576,"Moretti 2004 Table 5 col 3 (2SLS age structure, 1980-90), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates",-10446.048083841264,-1427.7640234699538
composition,CZ 1990,"Moretti college graduates' own, col 4 (2SLS age structure, Katz-Murphy, 1980-90)",per unit BA+ share of workers (lower bound on spillover),0.47 (0.37),-154.67789118359875,-397.7489608364038,88.39317846920626,124.0181297476918,-64.99189363985325,-89.68599754374551,"Moretti 2004 JoE Table 5 col 4 (2SLS age structure, Katz-Murphy, 1980-90)","282 US MSAs, 1980-1990",-3782.1723448912558,-516.9466540128159
composition,CZ 1990,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 1980-1990 weights",per unit BA+ share (constant-composition externality),1.181 (0.424),-399.5743300488693,-694.2596715998499,-104.88898849788873,150.35242563178738,-167.8980391984007,-231.67629085046858,"Moretti 2004 Table 5 col 4 (2SLS age structure, Katz-Murphy, 1980-90), averaged with 1980-1990 income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates",-9770.36193909224,-1335.41135948767
composition,CZ 1990,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 2024 others weights",per unit BA+ share (constant-composition externality),0.8615 (0.398),-287.9051185189931,-557.189039377778,-18.62119766020813,137.39227907185284,-120.97335620024955,-166.93176231874352,"Moretti 2004 Table 5 col 4 (2SLS age structure, Katz-Murphy, 1980-90), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates",-7039.834645293102,-962.2033669627506
composition,CZ 1990,"Moretti college graduates' own, col 6 (2SLS land grant, 1990)",per unit BA+ share of workers (lower bound on spillover),0.55 (0.19),-181.57131960960476,-307.15383481585803,-55.988804403351516,64.07388870726874,-76.29219559346753,-105.27912401613723,"Moretti 2004 JoE Table 5 col 6 (2SLS land grant, 1990)","282 US MSAs, 1990",-4439.768465925893,-606.82677672056
composition,CZ 1990,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 1990 weights",per unit BA+ share (constant-composition externality),0.7467 (0.186),-248.40728593339742,-373.13884006726806,-123.67573179952676,63.63971692024479,-104.37630342876993,-144.0309825046275,"Moretti 2004 Table 5 col 6 (2SLS land grant, 1990), averaged with 1990 income shares (Ciccone-Peri identification)","282 US MSAs, 1990; SE assumes perfectly correlated group estimates",-6074.036566813578,-830.1982546636303
composition,CZ 1990,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 2024 others weights",per unit BA+ share (constant-composition externality),0.6848 (0.187),-227.27136220875357,-351.9548753608905,-102.58784905661666,63.61520576507369,-95.49503917184933,-131.77632303690424,"Moretti 2004 Table 5 col 6 (2SLS land grant, 1990), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1990; SE assumes perfectly correlated group estimates",-5557.222524526225,-759.560201834505
