area,name,other_persons,group_persons,s_workers,s_persons,dSC,dBA,other_earnings,scale_bn,composition_bn,net_bn,scale_per_other_resident,composition_per_other_resident,net_per_other_resident
35620,"New York-Newark-Jersey City, NY-NJ",19247991.024339974,691274.8180600274,0.0350900193334365,0.03466902059102201,0.012243078905368465,0.010864211290366299,894919829591.8334,0.9466741697025765,-0.8029490395874969,0.1437251301150796,49.18301180135959,-41.71599200000305,7.4670198013565425
31080,"Los Angeles-Long Beach-Anaheim, CA",8408544.961414974,4517105.038585026,0.34371278478798223,0.34946830825413233,0.11299914509102993,0.12226285680406096,399643135480.5915,5.048375178612459,-3.3217321767480374,1.7266430018644217,600.386297721946,-395.04244693829435,205.34385078365156
16980,"Chicago-Naperville-Elgin, IL-IN",7584461.980032529,1822135.8695674713,0.19424180311606504,0.19370827781746347,0.06601327071154195,0.06847505462164777,337950830894.76404,2.1893575564594094,-1.6381500264872535,0.5512075299721559,288.66352843791555,-215.98763772565283,72.67589071226274
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6275539.813284555,162294.79780204364,0.02421345585059135,0.02520953202534213,0.005051592904845803,0.004798300372824249,334404390564.6633,0.24652407395717058,-0.12376536180224697,0.12275871215492361,39.28332562488235,-19.72186704006733,19.561458584815018
19100,"Dallas-Fort Worth-Arlington, TX",6309843.988137263,2027849.2508627367,0.23434079543995195,0.24321466294506552,0.076522199784535,0.07415100100417482,280297859006.3052,2.223101019337993,-1.57559079683631,0.6475102225016831,352.3226601984937,-249.70360595261602,102.6190542458777
41860,"San Francisco-Oakland-Fremont, CA",3940484.1643771254,707476.8356228743,0.14870545555369905,0.152212300323276,0.04859311997379934,0.057891529648536943,264569960832.5331,1.3162526180152188,-0.9434240315991037,0.37282858641611505,334.0332210732991,-239.41830299125976,94.61491808203937
14460,"Boston-Cambridge-Newton, MA-NH",4980494.216068096,46337.710124523226,0.008734349004217875,0.009218074287122614,-5.049984512983663e-05,-0.00036910200343187594,261218293832.50458,0.06816312853351968,0.0009662984356391156,0.06912942696915879,13.686017004820812,0.19401657621077814,13.88003358103159
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6173323.884599409,160492.1750005909,0.025101840239765978,0.025338938404650558,0.009168997850972027,0.007520258202901919,252790682851.27484,0.18791853951867518,-0.16984283607035175,0.018075703448323432,30.440414763831775,-27.512380566012204,2.9280341978195716
12060,"Atlanta-Sandy Springs-Roswell, GA",6008647.03530882,397774.0326911796,0.05970421721302387,0.06208989831749529,0.024647941375602556,0.01930504172057501,249638012502.7936,0.45406816085883994,-0.4511302336074299,0.0029379272514100663,75.56911867024033,-75.08016878948584,0.48894988075448975
26420,"Houston-Pasadena-The Woodlands, TX",5689193.746960689,2101786.49153931,0.2626237625405478,0.26977176519497476,0.07103385447109689,0.07254532664452046,231233644139.57516,2.0693781240537588,-1.2063275179531456,0.8630506061006131,363.7383812353504,-212.03839623102945,151.69998500432095
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6293925.761435358,159653.44096464172,0.026232873657922644,0.024738743565007885,0.005776540865459978,0.0036059495614003123,222989413662.3125,0.1699476730207216,-0.09437618723039755,0.07557148579032406,27.001855354258943,-14.994804643020549,12.007050711238394
42660,"Seattle-Tacoma-Bellevue, WA",3809048.304003683,335096.6959963169,0.07746075936515057,0.08086027298666357,0.0255374934860515,0.0247777720920207,218683054089.88016,0.5306336135478386,-0.40946625658006636,0.1211673569677722,139.3087120974787,-107.4983103127564,31.8104017847223
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3600279.9562766356,156375.5331120554,0.0424696995219817,0.04162626398767854,0.013630709798661766,0.009536448245424156,155574014604.44733,0.20143149251244188,-0.15541424017887392,0.04601725233356796,55.94884146752849,-43.16726534222116,12.78157612530733
38060,"Phoenix-Mesa-Chandler, AZ",3744979.970291906,1441763.3801080936,0.2758329091354865,0.27797083501286124,0.08437711401351566,0.07747898951714216,152212653217.1547,1.4440105890728885,-0.9437059607443598,0.5003046283285287,385.58566414984955,-251.99225849819476,133.5934056516548
19820,"Detroit-Warren-Dearborn, MI",4243342.810336725,157917.64576327527,0.03372318315057304,0.035880095563171385,0.006502615596328032,0.0044421900074592124,147743972914.65167,0.14703853469582134,-0.07039142175273075,0.0766471129430906,34.65158043268092,-16.588671926590095,18.062908506090828
19740,"Denver-Aurora-Centennial, CO",2482302.333533121,561687.2513149543,0.16653404682176096,0.1845233814566379,0.058733600022855104,0.06346289259154458,135651096940.28676,0.7504351696031331,-0.584874858714068,0.1655603108890651,302.31416998066493,-235.6178982765574,66.69627170410749
41940,"San Jose-Sunnyvale-Santa Clara, CA",1560684.1655147146,432929.10448528535,0.21178782135342755,0.21715801705377158,0.0870853555129315,0.11025961829799391,127237473351.4454,0.9463412377824263,-0.8142627434673796,0.1320784943150467,606.3630673604754,-521.7344812355645,84.62858612491088
12580,"Baltimore-Columbia-Towson, MD",2792695.222833068,64407.41636693171,0.018104352544496913,0.02254291304878219,0.0036601372957738576,0.0029532624652184314,121195255273.21619,0.06474516153540413,-0.03249822643440671,0.03224693510099742,23.18375489242359,-11.636868272878939,11.546886619544651
45300,"Tampa-St. Petersburg-Clearwater, FL",3286952.790713171,137549.209286829,0.045103872676635605,0.04016619329958896,0.014406413974040078,0.008901329451984463,114515861468.50565,0.15206754806842612,-0.12091193029723246,0.03115561777119366,46.263989095940744,-36.78541737467369,9.478571721267045
41740,"San Diego-Chula Vista-Carlsbad, CA",2254384.9043493024,1046241.0956506977,0.30764260524968434,0.31698262561426155,0.08883669923988047,0.10167723076771151,114203668077.28987,1.276604823257538,-0.7455980320713168,0.5310067911862212,566.2763358620043,-330.7323565877601,235.54397927424424
16740,"Charlotte-Concord-Gastonia, NC-SC",2715180.4160649246,161682.20213507535,0.053296630563304664,0.05620087699434078,0.022316788880050398,0.01613661812384204,112539186532.88567,0.1822734879731836,-0.1841233849341901,-0.0018498969610064864,67.13126203132762,-67.8125784366984,-0.6813164053707774
12420,"Austin-Round Rock-San Marcos, TX",1916428.2060303362,630408.6634696637,0.2332068909525685,0.24752612584622538,0.06056124055680834,0.06908711339489648,106749630182.50526,0.862326907160974,-0.4746169633058945,0.38770994385507956,449.96567283216234,-247.65705379019116,202.3086190419712
41180,"St. Louis, MO-IL",2727816.0679442603,79126.54012728238,0.02671336262862469,0.028189582465900427,0.004687744352335321,0.005128962950300298,99492109696.58025,0.0788078571632336,-0.03417004664837847,0.04463781051485513,28.890458594088738,-12.526521509248875,16.36393708483986
38900,"Portland-Vancouver-Hillsboro, OR-WA",2256961.758825745,280384.8952372614,0.10945555160230931,0.1105031883555549,0.031324734665615694,0.028392378079163394,97766191152.02078,0.3347045049502547,-0.22459128603172562,0.1101132189185291,148.29870450458816,-99.51045256016046,48.78825194442769
36740,"Orlando-Kissimmee-Sanford, FL",2854291.618978436,84811.38102156408,0.029564507469069086,0.0288562126000906,0.008388998342776288,0.006284652140505997,95671647821.214,0.08299805498574621,-0.05880919756713673,0.02418885741860948,29.07833748797244,-20.6037803481989,8.47455713977354
38300,"Pittsburgh, PA",2406618.7552473405,22616.963352659455,0.009001973326057287,0.009310320599803261,0.000872872333020247,0.0006305846675245808,88460345129.49477,0.023331281435678634,-0.005656290248641171,0.017674991187037463,9.69463126837502,-2.3503058954844076,7.344325372890612
40140,"Riverside-San Bernardino-Ontario, CA",2441149.2250288418,2303050.7749711582,0.4933267748967011,0.4854455492962266,0.12424763767211489,0.11173309696414407,84369500930.76228,1.6353044717946321,-0.7713827110448266,0.8639217607498055,669.8912360735798,-315.9916252295936,353.8996108439862
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2034226.785851996,117699.08456096267,0.050461909627668305,0.05469476722187274,0.017029251759185904,0.01556699317862198,83732288865.26627,0.1269338388877343,-0.10451481999255452,0.022419018895179776,62.39905981503953,-51.37815543451343,11.020904380526092
18140,"Columbus, OH",2159981.4735871465,64568.132830845156,0.027978591227391783,0.02902526095375049,0.007499602485467327,0.005344122837280807,81315458953.96106,0.0671822244578508,-0.04468369762091238,0.02249852683693842,31.103148466490897,-20.687074480645805,10.41607398584509
28140,"Kansas City, MO-KS",2083410.1893272519,171160.76207274813,0.07309516751563479,0.07591722139703078,0.0211431818927994,0.017009788082690158,80358325516.39795,0.17762591194126356,-0.12455352568165955,0.05307238625960402,85.25729251550807,-59.783486861931294,25.47380565357678
17140,"Cincinnati, OH-KY-IN",2244591.7750064065,57386.98469359339,0.02260039801888474,0.024929415378737996,0.005012410227570374,0.0027355824659724415,80136799186.1292,0.05246378217737726,-0.02942908615154472,0.023034696025832538,23.37341816964803,-13.111108433719856,10.26230973592817
40900,"Sacramento-Roseville-Folsom, CA",1996753.4351941752,466726.56480582483,0.19100464221665353,0.18945823177205612,0.03873043198763859,0.03959081153746208,78713817052.19533,0.49098061595150344,-0.22363406994664808,0.26734654600485536,245.8894560027427,-111.9988407206124,133.89061528213028
26900,"Indianapolis-Carmel-Greenwood, IN",2052426.3851923577,121272.31180764221,0.048376146570085723,0.05579076436629167,0.016043155464508296,0.011465327251554913,76188714328.82089,0.10943465916005822,-0.08958887774105752,0.019845781419000702,53.31965129156229,-43.65022706169364,9.669424229868646
17410,"Cleveland, OH",2138854.829963637,32676.170036362862,0.014489977335116455,0.015047526393297109,0.0003389626441349103,-0.00018479574156282652,72905903003.1349,0.03048029628949532,-0.0018102492195433723,0.028670047069951948,14.25075505943221,-0.8463637616649974,13.404391297767212
39580,"Raleigh-Cary, NC",1463511.2874566691,87943.15284333078,0.04977627925697237,0.05668432830442993,0.021680750429775686,0.017184262662551464,68990663588.91046,0.10672834349881336,-0.1096548856829011,-0.0029265421840877492,72.92621820791615,-74.92588996253143,-1.999671754615283
