item,family,label,model,contrast,estimate,se,n
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,Hisp G3+ vs NHWhite G3+,0.037505158993333496,0.01858028925677278,13914
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,Mex G3+ vs NHWhite G3+,0.06205852938449892,0.025292953265601652,13582
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,Hisp G1 vs NHWhite G3+,0.05771451856835495,0.013806707080555357,14262
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,Mex G1 vs NHWhite G3+,0.044912114836687764,0.01902507790483398,13698
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,Hisp G3+ vs White G3+ conservative,0.04581549241981424,0.019193265112734736,5690
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,Hisp G3+ vs White G3+ no BA,0.054552807993247215,0.018773389528670872,9455
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,raw,White G3+ conservative vs White G3+ liberal,-0.04934247646129976,0.00929508402726423,8316
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_hisp,Hisp G1 vs white G3+,0.08176487649390309,0.014019626714666826,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_hisp,Hisp G2 vs white G3+,0.008835736210492717,0.017020826903826426,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_hisp,Hisp G3+ vs white G3+,0.04661689094189592,0.018656738473126985,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_hisp,Hisp G2 minus Hisp G1,-0.07292914028341037,0.021367125296188484,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_hisp,Hisp G3+ minus Hisp G1,-0.03514798555200717,0.02302845312812643,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_hisp,Hisp G3+ minus Hisp G2,0.0377811547314032,0.024462621560838848,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G1 vs white moderate,0.09627711402667902,0.014586465119054993,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G2 vs white moderate,0.026900905547436293,0.017737924729375656,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G3+ vs white moderate,0.06424034924428096,0.01904113416779977,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G1 vs white conservative,0.08867335319810377,0.014547801901205932,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G2 vs white conservative,0.01929714471886105,0.017384655154581194,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G3+ vs white conservative,0.056636588415705715,0.019240482408893027,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G1 vs white liberal,0.0369527008880606,0.015655225877078682,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G2 vs white liberal,-0.03242350759118212,0.01816893666209577,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,Hisp G3+ vs white liberal,0.004915936105662544,0.019763655188441205,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,white liberal vs white moderate,0.059324413138618415,0.009600786241154229,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,white conservative vs white moderate,0.007603760828575246,0.0076715174088361916,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_hisp,white conservative vs white liberal,-0.05172065231004317,0.00935562733607141,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,Hisp G1 vs white no BA,0.08802987785912991,0.014084888800750884,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,Hisp G2 vs white no BA,0.021736189346327817,0.0170852935653963,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,Hisp G3+ vs white no BA,0.060019965720500945,0.018729732048435026,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,Hisp G1 vs white BA+,0.028180433215736433,0.015136611081058312,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,Hisp G2 vs white BA+,-0.03811325529706566,0.01816520267618099,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,Hisp G3+ vs white BA+,0.0001705210771074661,0.019292281700815136,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_hisp,white BA+ vs white no BA,0.05984944464339348,0.00809989119642962,15741
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_mex,Mex G1 vs white G3+,0.08004479856264801,0.019565121149421206,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_mex,Mex G2 vs white G3+,0.006993522409300956,0.020936217481656763,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_mex,Mex G3+ vs white G3+,0.07197716568439361,0.025203529073666225,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_mex,Mex G2 minus Mex G1,-0.07305127615334706,0.027935504813871314,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_mex,Mex G3+ minus Mex G1,-0.008067632878254405,0.032100083103870435,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,adj_mex,Mex G3+ minus Mex G2,0.06498364327509265,0.032741505537384634,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G1 vs white moderate,0.09251502599711747,0.019886954801525858,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G2 vs white moderate,0.02449711901807272,0.021478627872140787,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G3+ vs white moderate,0.0887375615680357,0.02551206278669942,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G1 vs white conservative,0.08565660358877239,0.019956251665539326,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G2 vs white conservative,0.017638696609727632,0.02129032423716618,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G3+ vs white conservative,0.08187913915969061,0.02567579350716903,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G1 vs white liberal,0.03448323530402264,0.02077819549924344,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G2 vs white liberal,-0.03353467167502211,0.02188305957669188,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,Mex G3+ vs white liberal,0.030705770874940863,0.025874243825196267,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,white liberal vs white moderate,0.05803179069309483,0.009624309316878465,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,white conservative vs white moderate,0.00685842240834509,0.007676072794702055,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,ideo_mex,white conservative vs white liberal,-0.05117336828474974,0.009336336848251227,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,Mex G1 vs white no BA,0.07918517949580287,0.019342364931856492,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,Mex G2 vs white no BA,0.017697425002417222,0.020968353956257544,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,Mex G3+ vs white no BA,0.08316655617480617,0.025160070503708602,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,Mex G1 vs white BA+,0.01972493562171254,0.02013569125893359,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,Mex G2 vs white BA+,-0.0417628188716731,0.02166531101298617,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,Mex G3+ vs white BA+,0.02370631230071585,0.025616017620412913,14616
confed_great,A1 institutional confidence,confed: share 'a great deal' of confidence,educ_mex,white BA+ vs white no BA,0.059460243874090324,0.008043966066762814,14616
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,Hisp G3+ vs NHWhite G3+,0.07534860947253108,0.03510051840849405,13914
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,Mex G3+ vs NHWhite G3+,0.12294213799904563,0.04439304593054491,13582
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,Hisp G1 vs NHWhite G3+,0.24891290424714962,0.023879697074336664,14262
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,Mex G1 vs NHWhite G3+,0.2318519609186167,0.03248999533107503,13698
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,Hisp G3+ vs White G3+ conservative,0.14399105267722279,0.03644030180574657,5690
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,Hisp G3+ vs White G3+ no BA,0.11222985886260983,0.035679629902161794,9455
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",raw,White G3+ conservative vs White G3+ liberal,-0.18340561490487395,0.019437852047868506,8316
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",adj_hisp,Hisp G1 vs white G3+,0.2963334182937043,0.025348291778882,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",adj_hisp,Hisp G2 vs white G3+,0.11775491395975024,0.03177094708185291,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",adj_hisp,Hisp G3+ vs white G3+,0.07864509083877103,0.03434831782421013,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",adj_hisp,Hisp G2 minus Hisp G1,-0.17857850433395406,0.039294279035366586,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",adj_hisp,Hisp G3+ minus Hisp G1,-0.21768832745493327,0.04047391875068588,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",adj_hisp,Hisp G3+ minus Hisp G2,-0.039109823120979215,0.04492329944093144,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G1 vs white moderate,0.29406360324267666,0.026866950764822175,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G2 vs white moderate,0.12410172614639059,0.03322145451871349,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G3+ vs white moderate,0.08311978272613718,0.0355656574555087,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G1 vs white conservative,0.3586279754109427,0.026719190603998768,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G2 vs white conservative,0.18866609831465667,0.03308267774079214,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G3+ vs white conservative,0.14768415489440326,0.03574049759761074,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G1 vs white liberal,0.18059200079265825,0.029756713642501015,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G2 vs white liberal,0.010630123696372173,0.03430930786174063,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,Hisp G3+ vs white liberal,-0.030351819723881235,0.03740569970440319,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,white liberal vs white moderate,0.11347160245001842,0.020695280263271977,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,white conservative vs white moderate,-0.06456437216826608,0.016847120322169593,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",ideo_hisp,white conservative vs white liberal,-0.1780359746182845,0.019692150295748407,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",educ_hisp,Hisp G1 vs white no BA,0.305612816954115,0.024907003731033946,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",educ_hisp,Hisp G2 vs white no BA,0.14705705771493527,0.031917083397288146,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",educ_hisp,Hisp G3+ vs white no BA,0.1092365926190686,0.034732021574960595,15741
confed_mean,A1 institutional confidence,"confed: 3-point confidence mean (3=a great deal, 1=hardly any)",educ_hisp,Hisp G1 vs white BA+,0.16279340797804132,0.0276148686346709,15741
