item,group,n,mean,se
tolscale_classic15,"Hisp G1, Spanish interview",267,9.317867141918882,0.2729108254276511
tolscale_classic15,"Hisp G1, English interview",365,7.569932257394221,0.22694006602601724
tolscale_classic15,Hisp G2 (all),328,9.648136099039226,0.24230813909546137
tolscale_classic15,NHWhite G3+,6592,10.826839984047728,0.05444075358980365
tolscale_core9,"Hisp G1, Spanish interview",345,4.802263069788271,0.17157216315129145
tolscale_core9,"Hisp G1, English interview",433,4.039517037050572,0.141012653980424
tolscale_core9,Hisp G2 (all),433,5.1718629139182974,0.13501043152006856
tolscale_core9,NHWhite G3+,7881,5.977767943086085,0.03183228586782862
con_index_gov3,"Hisp G1, Spanish interview",512,1.9464696686486531,0.028539187516075887
con_index_gov3,"Hisp G1, English interview",514,2.049368212935919,0.02706098377522583
con_index_gov3,Hisp G2 (all),575,1.8433050493216796,0.02756037059691581
con_index_gov3,NHWhite G3+,10592,1.7284045122570517,0.0063123120236934565
con_index_all13,"Hisp G1, Spanish interview",442,1.999617557576784,0.021393083531888707
con_index_all13,"Hisp G1, English interview",424,2.0756499787344316,0.022566631166781523
con_index_all13,Hisp G2 (all),510,1.947409105724557,0.01977023735067343
con_index_all13,NHWhite G3+,9266,1.9321542182852727,0.004722100336510897
obey_top2,"Hisp G1, Spanish interview",508,0.3349759406428829,0.0278111633074845
obey_top2,"Hisp G1, English interview",514,0.5226625076314652,0.024936142159602243
obey_top2,Hisp G2 (all),576,0.20732250688236764,0.020206758780837147
obey_top2,NHWhite G3+,10031,0.16347256867124849,0.004872386551704263
polhitok_yes,"Hisp G1, Spanish interview",375,0.42246167201379387,0.0349749262799406
polhitok_yes,"Hisp G1, English interview",467,0.14545348904447827,0.01877134228697471
polhitok_yes,Hisp G2 (all),434,0.533534585658732,0.02994297619647222
polhitok_yes,NHWhite G3+,8110,0.7835449198476784,0.005641495956798267
police_spread,"Hisp G1, Spanish interview",409,0.5224884480095735,0.037820354843599045
police_spread,"Hisp G1, English interview",482,0.5954351526739464,0.026917441625437563
police_spread,Hisp G2 (all),456,0.5989243701527867,0.03432884065650342
police_spread,NHWhite G3+,8594,0.829003090947221,0.005440904077434291
con_within_sd,"Hisp G1, Spanish interview",442,0.5291745551189247,0.01313354925159716
con_within_sd,"Hisp G1, English interview",424,0.5407424771754933,0.0122872453615681
con_within_sd,Hisp G2 (all),510,0.5505937328526054,0.010598168840937127
con_within_sd,NHWhite G3+,9266,0.5985725880120963,0.0020902837774294863
redist,"Hisp G1, Spanish interview",529,4.69070993493756,0.12415526681744299
redist,"Hisp G1, English interview",570,5.296180336834979,0.09757942911646686
redist,Hisp G2 (all),598,5.04281228370997,0.09100341440431514
redist,NHWhite G3+,10783,4.115775145864436,0.026744314666193002
cappun_favor,"Hisp G1, Spanish interview",696,0.5416039568855858,0.023878581124380786
cappun_favor,"Hisp G1, English interview",781,0.37522137748528267,0.021495369994160872
cappun_favor,Hisp G2 (all),844,0.5883790719984682,0.022179858702364576
cappun_favor,NHWhite G3+,14926,0.7092071930558067,0.0049291882580686334
