item,source,g1_gap,g3_gap,g3_se,white_ideo_spread,white_educ_spread,g3_over_ideo,g3_over_educ,converged
con_index_gov3,GSS,0.2871389733455891,0.0395454613550541,0.0254036023360015,0.0204069376827325,0.1001219850606673,1.9378439808005012,0.39497280573384724,0.13772237496809167
con_index_all13,GSS,0.1198025029057419,0.0010051716696004,0.0175744902253504,0.0375641311236022,0.0585490807255837,0.026758815911193355,0.017168017962768435,0.008390239312372698
confed_great,GSS,0.081764876493903,0.0466168909418959,0.0186567384731269,0.0517206523100431,0.0598494446433934,0.9013206303440966,0.7789026484649562,0.570133447769251
conlegis_great,GSS,0.1229257277610115,0.023753332589587,0.0143367629157319,0.0014279031813013,0.0071509602840255,16.635114271501045,3.321698295912714,0.1932332069309975
conjudge_great,GSS,0.100481210031226,0.0104785372920221,0.0206519454432856,0.076426569768449,0.0856083610147271,0.13710594788918462,0.12240086327805634,0.10428355001662244
conarmy_great,GSS,-0.1064173132418072,-0.085976122867881,0.0230772500838349,0.1923634740483162,0.0870081773649236,0.44694619544189695,0.9881384195336719,0.8079148049201486
tolscale_classic15,GSS,-1.5829661937101456,-0.4235119126962701,0.1830342063503162,0.9844338320970234,1.6336601468004943,0.43020861218687756,0.2592411362459405,0.2675432453195009
tolscale_core9,GSS,-1.0807556900006166,-0.3882031867430697,0.1117863184789543,0.4789451458342509,0.8666818084514745,0.8105378875212895,0.4479189282127469,0.35919606099214546
tolscale_mslm3,GSS,-0.513181085364455,-0.1679552112522051,0.0693167738800134,0.4649232475726783,0.6599777214310407,0.3612536308500035,0.2544861830911883,0.327282544197679
obey_top2,GSS,0.1610140823084587,0.0315895016066132,0.0178615265382722,0.114732851966807,0.1077132739428166,0.27533091930593917,0.2932739898276939,0.1961909241335575
cappun_favor,GSS,-0.3040002888692898,-0.042065112730218,0.0185020096873061,0.3373622818267003,0.1893340719267433,0.1246882505727965,0.22217402447507564,0.13837194986451024
polhitok_yes,GSS,-0.4002695371178273,-0.113915045753191,0.0254542534542766,0.0969256911385412,0.0847586632646146,1.175282264331404,1.343992948514901,0.28459584152580125
police_force_index,GSS,-0.0710606694805429,-0.0342298444265831,0.010227814193265,0.054883193989093,0.0092696656315212,0.6236853568213547,3.6926730463918367,0.4816988733262013
courts_too_harsh,GSS,0.0745909786481942,0.0359331054770049,0.0161682646778506,0.1393198214619126,0.0506834965166511,0.2579181131582797,0.7089705317627358,0.48173527319546466
gunlaw_favor,GSS,0.2015639574477739,0.0454559822554099,0.0224062109847519,0.2804489474954193,0.0881124935995112,0.16208291263475808,0.515885777356573,0.22551642084715343
redist,GSS,0.6026882751588545,0.4587701276289735,0.0877878840923507,2.1792012397415683,0.039736561959323,0.21052214878667153,11.54528990451165,0.7612063259535827
helppoor_r,GSS,0.4324357379515549,0.2844127666720428,0.052432217997703,1.0788844058717195,0.0798663549030784,0.26361745996527064,3.561108642271093,0.6576994954656248
welfare_toolittle,GSS,0.0396479264294787,0.0755753741009801,0.0243882797778136,0.2551727799370121,0.0379828580705481,0.29617333839305054,1.9897232051524112,1.9061620848042362
amcit_very,GSS,-0.0744845036666829,-0.0377234074726868,0.0423619276005782,0.3723843877092827,0.1230933396789879,0.10130233360410679,0.30646180834044107,0.5064598086267517
amgovt_very,GSS,0.1908352959871009,0.049807297698027,0.0453329394881518,0.155406785070385,0.0055991890263342,0.32049628769727695,8.895448512949372,0.26099625564755913
ambornin_very,GSS,-0.078487042548323,0.0442477990270009,0.0458914180820364,0.1830784039079496,0.2291616266330893,0.24168770364225126,0.19308555135125677,0.5637592854866248
strpres_helpful,ANES,0.0198864906245583,0.0398231127125612,0.0283888943666692,0.075021086730231,0.1024120263982093,0.530825591153611,0.3888519162555846,2.002520880349934
violence_justified,ANES,0.1614798012433524,0.1010294406233199,0.0261223326823497,0.0832507486780112,0.024849357562885,1.2135559406687297,4.065676159540537,0.6256475413359412
trust_govt,ANES,0.0911073129951558,0.0652598165345322,0.0232940192362272,0.0463030890277954,0.0011749043497526,1.4094052449796,55.54479098513337,0.7162961390157788
trust_election_officials,ANES,-0.00356124661194,0.0628224796079141,0.0289145405721936,0.1649502683571224,0.0929826871156885,0.38085709246559996,0.6756363099052057,17.640586697165393
strleader_agree,ANES,-0.0343014140258317,0.035829973052727,0.0322509817124925,0.2895560566687634,0.1534055407494783,0.12374105886417208,0.23356374794336657,1.0445625660138724
prefer_democracy,ANES,-0.0169758039065939,-0.0300097730921045,0.0494559801288025,0.0266810152154124,0.0886878875151182,1.1247612899965378,0.3383751032178873,1.7677968747299107
courts_authority,ANES,-0.0403782101277068,0.0806454589631193,0.0337095116357736,0.0604591099148459,0.1193437747922971,1.3338843240779599,0.6757408093004651,1.9972519511899274
people_decide,ANES,-0.1478611185469536,-0.017339553120128,0.0394825395658975,0.0051969419466273,0.0469310591956598,3.3364915941346975,0.3694686081521801,0.11726918672417447
votes_counted_fairly,ANES,0.0242419492546032,-0.0079572742157215,0.0304825581810425,0.3182579614718683,0.1892278268416777,0.025002592799001716,0.042051289963706856,0.32824399276434124
satisfied_democracy,ANES,-0.0380504242954009,-0.0269722299261351,0.0327178123288109,0.1587435324290829,0.035748003647295,0.16991073282424704,0.7545101033404434,0.7088549057098213
auth_obedience,ANES,0.1145461405719521,0.051429323258226,0.0363147905654497,0.3181989528020361,0.2054661781320388,0.16162631210864536,0.2503055428673811,0.44898346641300146
auth_respect,ANES,0.0091015632429141,-0.0046596580708145,0.03002553036495,0.3744965432798866,0.2042967480784816,0.01244245949509879,0.02280828312071061,0.5119623900259347
auth_manners,ANES,0.0901127247812639,0.0613556703486083,0.0334183860881919,0.3934370893523411,0.2843254135341816,0.1559478554744529,0.21579383139183272,0.6808768739103235
auth_behaved,ANES,0.1391531326256463,0.0531678317656725,0.0303020543541835,0.1696904831631658,0.116367662187527,0.3133224136945205,0.45689524706608187,0.38208145776140096
minorities_adapt,ANES,-0.1405559123609747,-0.1222967494540892,0.0457363900931271,0.4191102802758746,0.1479131630492446,0.29180088203417187,0.8268145101688688,0.8700932418979825
born_here_important,ANES,-0.0984192051789862,0.0042939223411183,0.0310906680376352,0.3358933979645744,0.203953723949162,0.012783586599612672,0.021053414754950064,0.043628906912114636
auth_scale4,ANES,0.3511923629151763,0.1597366872933217,0.084716337402138,1.2538402006907514,0.8105206913025769,0.1273979628387424,0.1970790986675627,0.45484100499048435
