item,family,label,group,n,mean,se
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,Mex G3+,490,0.1254978506338775,0.021466963986072934
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,Hisp G1,1164,0.2000886878165068,0.014191296124228772
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,Hisp G2,659,0.11935840766433145,0.015385032465721399
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,Hisp G3+,821,0.10020581232841604,0.014999875345156012
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,Hisp all,2689,0.15441000555446346,0.009120567458221505
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,NHWhite all,14839,0.06437888571679762,0.0026738165495744162
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,NHWhite G3+,13097,0.06172360923196201,0.0028072112371256173
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,White G3+ liberal,3451,0.05765544099507983,0.005647245269125508
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,White G3+ moderate,4472,0.06812077950758166,0.00471085265033611
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,White G3+ conservative,4875,0.05832161649205704,0.0042324533798094735
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,White G3+ no BA,8628,0.06801606852945559,0.0035509840020769667
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,White G3+ BA+,4458,0.046732238101181975,0.004275596975424006
conlegis_great,A1 institutional confidence,conlegis: share 'a great deal' of confidence,White G3+ no HS,1039,0.10758900808429293,0.012203305604905006
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G1,593,1.9813224743933633,0.032190214673115405
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G2,430,1.792068140309886,0.039459931626555755
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G3+,490,1.72584122652061,0.04469149877745658
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G1,1164,1.950322229684295,0.022884923692008508
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G2,659,1.7752582799147538,0.030648861036379236
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G3+,821,1.6636488988923763,0.032942933470746054
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp all,2689,1.8350256750326432,0.01695521281203919
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite all,14839,1.5817249744349142,0.006624989444504908
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite G3+,13097,1.571442701238604,0.006971099036749457
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ liberal,3451,1.5808563376675935,0.013474354730851613
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ moderate,4472,1.6134059096865208,0.011293169299550524
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ conservative,4875,1.5257935798082942,0.011080601821313596
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no BA,8628,1.5809370141552672,0.008612151513591916
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ BA+,4458,1.5487360378216866,0.011707612479914076
