item,family,label,group,n,mean,se
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,White G3+ BA+,4447,0.19120414822354612,0.0074918380966902025
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,White G3+ no HS,1077,0.31243632492732437,0.018575790020115644
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G1,617,2.3017575807062483,0.03356680662652227
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G2,444,2.1522840994397927,0.04072077785254038
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G3+,490,2.0928560571017787,0.03741234055601352
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G1,1206,2.2787112468628656,0.02366628073586513
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G2,681,2.1168212040404932,0.033032351225486305
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G3+,824,2.0591788481771753,0.030150843191439687
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp all,2758,2.186972562460101,0.01655457907608013
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite all,14974,2.004939232339713,0.006703272980335873
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite G3+,13184,2.0027286263699033,0.007009637603203959
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ liberal,3462,2.1000463187010716,0.013002392554115201
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ moderate,4508,2.039664885833346,0.011993216794619356
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ conservative,4886,1.905710481855099,0.011856451017540287
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no BA,8726,2.001140350543014,0.008681605745728939
coneduc_mean,A1 institutional confidence,"coneduc: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ BA+,4447,2.006639114065552,0.011779083393387966
