item,n_total,years,n_years,n_mexG1,n_mexG2,n_mexG3,n_hispG1,n_hispG2,n_hispG3,n_whiteG3
confed,21719,2000-2024,13,601,433,485,1165,662,817,13097
conlegis,21708,2000-2024,13,593,430,490,1164,659,821,13097
conjudge,21589,2000-2024,13,589,431,490,1154,663,817,13014
conarmy,21873,2000-2024,13,604,435,490,1185,665,823,13155
conpress,21873,2000-2024,13,605,438,496,1184,668,829,13144
consci,21304,2000-2024,13,583,429,485,1148,658,808,12827
coneduc,22012,2000-2024,13,617,444,490,1206,681,824,13184
conbus,21696,2000-2024,13,601,433,494,1168,666,828,13042
confinan,21956,2000-2024,13,614,444,492,1205,675,827,13183
conclerg,21572,2000-2024,13,603,434,490,1175,665,821,12942
conmedic,22010,2000-2024,13,620,443,492,1214,678,827,13186
conlabor,20089,2000-2024,13,548,409,455,1063,624,765,12139
contv,21915,2000-2024,13,619,440,494,1214,672,829,13148
spkath,18244,2000-2024,13,540,386,394,995,571,640,11052
spkrac,18127,2000-2024,13,546,382,393,997,569,637,10976
spkcom,17888,2000-2024,13,517,368,389,947,542,627,10914
spkmil,15834,2000-2021,11,472,304,339,838,452,522,9759
spkhomo,15828,2000-2021,11,471,307,336,848,457,520,9744
spkmslm,12536,2008-2024,9,419,308,284,747,446,484,7378
colath,21462,2000-2024,13,617,461,474,1153,681,782,12904
colrac,21490,2000-2024,13,625,458,476,1171,683,783,12880
colcom,17450,2000-2024,13,520,357,382,943,532,616,10640
colmil,16956,2000-2021,11,489,331,362,877,491,563,10428
colhomo,17110,2000-2021,11,486,341,359,890,502,564,10530
colmslm,16013,2008-2024,9,502,377,369,920,553,631,9387
libath,18044,2000-2024,13,536,383,393,979,562,635,10947
librac,18001,2000-2024,13,541,381,394,981,564,637,10907
libcom,17875,2000-2024,13,523,363,391,952,543,629,10922
libmil,15738,2000-2021,11,461,298,338,823,446,519,9711
libhomo,15807,2000-2021,11,467,305,336,846,454,520,9745
libmslm,12546,2008-2024,9,417,305,286,741,442,485,7387
obey,20775,2000-2024,13,573,425,482,1124,649,804,12408
courts,22712,2000-2024,12,734,457,508,1346,679,805,13685
cappun,30223,2000-2024,13,851,629,678,1618,941,1114,18321
gunlaw,23045,2000-2024,13,644,491,504,1224,737,844,13851
polhitok,17095,2000-2024,13,489,323,373,936,501,618,10402
polabuse,18149,2000-2024,13,531,350,398,1009,540,655,11022
polmurdr,21630,2000-2024,13,594,433,490,1161,662,820,13026
polescap,21265,2000-2024,13,597,431,485,1162,652,808,12800
polattak,18259,2000-2024,13,531,354,398,1010,543,655,11081
grass,15844,2000-2024,12,504,300,348,945,460,563,9491
helppoor,21628,2000-2024,13,601,438,490,1178,664,823,12997
helpnot,21336,2000-2024,13,586,427,480,1142,652,806,12877
eqwlth,21921,2000-2024,13,610,441,494,1191,670,828,13166
natfare,17398,2000-2024,13,469,369,401,895,563,656,10506
amcit,4064,2004-2024,3,109,92,108,212,141,174,2393
amcitizn,4026,2004-2024,3,102,90,108,201,137,174,2387
amancstr,3998,2004-2024,3,99,91,104,198,139,171,2372
amchrstn,3931,2004-2024,3,101,88,105,199,134,170,2325
amenglsh,2477,2004-2014,2,73,56,70,130,86,106,1519
amfeel,3957,2004-2024,3,106,91,107,207,139,174,2327
amgovt,4020,2004-2024,3,108,89,105,210,137,171,2369
amshamed,4006,2004-2024,3,99,88,107,194,137,172,2378
ambornin,4012,2004-2024,3,104,85,105,198,133,172,2384
amcult,2411,2004-2014,2,64,50,68,112,79,104,1500
amimp,0,none,0,0,0,0,0,0,0,0
amlived,2455,2004-2014,2,69,55,67,123,85,103,1514
amproud,0,none,0,0,0,0,0,0,0,0
amownway,3900,2004-2024,3,96,81,108,188,123,176,2326
ethnofit,2717,2002-2002,1,28,31,46,69,59,68,1779
ethadapt,2713,2002-2002,1,25,31,46,67,59,68,1782
ethspkok,0,none,0,0,0,0,0,0,0,0
immassim,2624,2014-2024,2,86,59,76,172,92,125,1507
immcult,1207,2014-2014,1,52,31,41,90,48,62,703
immlimit,1813,2021-2021,1,28,40,33,57,63,66,1142
