nf_spec,hcbs_price,netting,bn_point,bn_p2_5,bn_p5,bn_median,bn_p95,bn_p97_5,prob_negative,per_group_member,per_other_resident
aaf_pooled_precision_weighted,state_plan_all,need_all_ages,1.6256199820675465,-3.886546122354691,-1.0265090266303392,1.5640911212649744,8.335651440991558,14.104086785468846,0.114065,39.7495394618519,5.432960131618347
aaf_pooled_precision_weighted,waiver_seniors_pd,need_all_ages,1.348769001728189,-5.398936992450359,-1.8161081393622736,1.3166731319100362,8.105538001416937,13.931510139136982,0.17638,32.97999978502329,4.5077006274443345
aaf_ltcfocus_nh_residents,state_plan_all,need_all_ages,1.4766818746910773,-4.025331899844566,-1.1536438879586195,1.4224819501367127,7.834135444854818,13.37402574440499,0.12885,36.10771588571398,4.935196319422891
aaf_ltcfocus_nh_residents,waiver_seniors_pd,need_all_ages,1.1998308943517197,-5.472504016061196,-1.9390540334298993,1.173235187403891,7.595318746703103,13.176748675656636,0.19812,29.33817620888537,4.00993681524888
aaf_acs_relative,state_plan_all,need_all_ages,4.094964614387526,-2.686249306417451,-0.4196388260931977,3.8603687367606225,17.790672089680825,28.51721140842775,0.064085,100.12977161332697,13.685719747403365
aaf_acs_relative,waiver_seniors_pd,need_all_ages,3.8181136340481685,-4.03574228543345,-0.9979193767419318,3.5808200235700194,17.534920041458168,28.360358061696804,0.08651,93.36023193649837,12.760460243229353
aaf_acs_absolute,state_plan_all,need_all_ages,6.9599556283890305,-1.838439073130825,0.4975328271143157,6.638012637216255,28.149077548286687,45.07238399831687,0.04062,170.18431980118996,23.26076319434608
aaf_acs_absolute,waiver_seniors_pd,need_all_ages,6.683104648049673,-2.934723342000669,-0.019980759938939753,6.348584330139401,27.93293971186826,44.89156828020112,0.0505,163.41478012436136,22.335503690172068
bmw_care_hours_home_care_aaf_preferred,state_plan_all,need_all_ages,7.6217769699802425,3.5347301265490367,4.355417560143879,7.499799961263509,10.289518603416578,10.8308117387623,0.00537,186.36712625317327,25.47262636211183
bmw_care_hours_home_care_aaf_preferred,waiver_seniors_pd,need_all_ages,7.344925989640885,2.773325028687737,3.799405312410936,7.212008777522371,10.093143651268553,10.657055500515915,0.008205,179.5975865763446,24.547366857937813
bmw_care_hours_direct_care_all_preferred,state_plan_all,need_all_ages,4.559911119183705,1.2317318910038126,2.0480085247674977,4.467017941554464,6.408467819505591,6.794331566071282,0.012575,111.49860913003874,15.239610479405933
bmw_care_hours_direct_care_all_preferred,waiver_seniors_pd,need_all_ages,4.283060138844348,0.32939477183101795,1.413558036826842,4.187049371954758,6.244691909104828,6.6489126000284875,0.021115,104.72906945321014,14.314350975231923
aaf_pooled_precision_weighted,state_plan_all,need_65plus,1.9218029990711998,-5.99359713224243,-1.8201252309003997,1.8595176981360577,10.609747127940967,18.112100387627326,0.14382,46.99178466810447,6.422828945236575
aaf_pooled_precision_weighted,waiver_seniors_pd,need_65plus,1.5173405462379765,-8.093554628995497,-2.9971793726925937,1.5013100836311626,10.25900555084612,17.807030788252245,0.2195,37.101898712541946,5.0710810550656715
aaf_ltcfocus_nh_residents,state_plan_all,need_65plus,1.7295308930624793,-6.125596017979234,-1.9865475740811298,1.6758393627103503,9.962732260371157,17.1318042581554,0.16212,42.290361365293805,5.780239226919326
aaf_ltcfocus_nh_residents,waiver_seniors_pd,need_65plus,1.325068440229256,-8.210666007825235,-3.1670522179470937,1.3166667695062493,9.612845158441207,16.776310219821575,0.243045,32.40047540973129,4.428491336748423
aaf_acs_relative,state_plan_all,need_65plus,5.109611017319886,-4.317422107519111,-0.9123060554899772,4.804152908691009,22.822968876460923,36.74442442175586,0.074845,124.93983034666635,17.076754254625868
aaf_acs_relative,waiver_seniors_pd,need_65plus,4.705148564486663,-6.396161302310487,-1.7998998384093792,4.400438043872856,22.427513550294474,36.43504108477277,0.10259,115.04994439110384,15.725006364454964
aaf_acs_absolute,state_plan_all,need_65plus,8.808179944113965,-3.045038266619199,0.31600274942378803,8.383476854863737,36.21107092620919,58.090880299777545,0.04517,215.3769639509159,29.43768592683494
aaf_acs_absolute,waiver_seniors_pd,need_65plus,8.40371749128074,-4.7184212757233075,-0.4778611785919634,7.96602099445794,35.87627717547468,57.931778842208736,0.058095,205.48707799535336,28.08593803666404
bmw_care_hours_home_care_aaf_preferred,state_plan_all,need_65plus,9.662560232616032,4.079110780074976,5.267626177588448,9.491154848294634,13.185297858937536,13.888185116797592,0.006685,236.2682075182149,32.29309745958974
bmw_care_hours_home_care_aaf_preferred,waiver_seniors_pd,need_65plus,9.258097779782808,2.903923209147805,4.415420070491285,9.074762322292154,12.905738288699917,13.650477372816182,0.01086,226.37832156265236,30.941349569418833
bmw_care_hours_direct_care_all_preferred,state_plan_all,need_65plus,8.116906983187455,2.922120522392625,4.114373733683575,7.963777166545174,11.207960420138319,11.838481600183304,0.00888,198.474008683159,27.12739294433675
bmw_care_hours_direct_care_all_preferred,waiver_seniors_pd,need_65plus,7.712444530354231,1.6855116975874536,3.2316426690841134,7.5485171582646835,10.949654081105049,11.609702367722788,0.01471,188.58412272759648,25.775645054165842
aaf_pooled_precision_weighted,state_plan_all,need_medicaid,1.356327519697114,-1.9258161373535443,-0.3126981303650664,1.298978436283981,6.280823590864967,10.471848619766108,0.072915,33.16482010686553,4.532961836848923
aaf_pooled_precision_weighted,waiver_seniors_pd,need_medicaid,1.1955021238164556,-2.8587906559300675,-0.7551308240538452,1.1502814003746635,6.130500653215738,10.37291856242677,0.11408,29.232329432202697,3.995469696244164
aaf_ltcfocus_nh_residents,state_plan_all,need_medicaid,1.2467891028028708,-2.027170657396668,-0.4022904166187094,1.1925150437894818,5.910156171816053,9.934890411393429,0.083005,30.486394845760692,4.16687513858497
aaf_ltcfocus_nh_residents,waiver_seniors_pd,need_medicaid,1.0859637069222123,-2.9610034609846703,-0.8486734258495163,1.046113768533633,5.7616202756975605,9.835985585543487,0.128865,26.553904171097862,3.6293829979802124
aaf_acs_relative,state_plan_all,need_medicaid,3.1724382958795783,-1.2894734151180403,0.009751775624608924,3.006029995888177,13.223062088748442,21.10706563333638,0.049515,77.57222636496589,10.602558391052572
aaf_acs_relative,waiver_seniors_pd,need_medicaid,3.01161289999892,-1.9760656199555289,-0.30874826489705026,2.839089605321022,13.084302784650793,20.97443444783637,0.064095,73.63973569030306,10.065066250447813
aaf_acs_absolute,state_plan_all,need_medicaid,5.279532213064253,-0.850725957974108,0.6557104003932938,5.054444853783432,20.84029243417967,33.257230766625064,0.034325,129.0947308462624,17.644645331371812
aaf_acs_absolute,waiver_seniors_pd,need_medicaid,5.118706817183595,-1.3524944699787746,0.3657481923623995,4.8819021292333336,20.70253809790249,33.1490292851351,0.04062,125.16224017159958,17.107153190767054
bmw_care_hours_home_care_aaf_preferred,state_plan_all,need_medicaid,5.766277098585601,3.0077361350638747,3.5223163232145254,5.692964341094711,7.698439480233723,8.087125868758275,0.003525,140.99658075479869,19.271388104269604
bmw_care_hours_home_care_aaf_preferred,waiver_seniors_pd,need_medicaid,5.605451702704943,2.6092447211584244,3.216530807518964,5.521522490065697,7.574167008429107,7.978060302716432,0.005415,137.06409008013588,18.733895963664846
