market,union_hours_share_scaled,netting,union_demand_share,net_dose
home_care_aaf,0.15446087491303045,need_all_ages,0.08865832887719538,-0.07220403512852003
home_care_aaf,0.15446087491303045,need_65plus,0.06754484612987838,-0.09321202035552079
home_care_aaf,0.15446087491303045,need_medicaid,0.10704178263347594,-0.053103371868172045
home_care_aaf,0.15446087491303045,no_netting,0.0,-0.1544608749130305
home_care_kw,0.13133032233134895,need_all_ages,0.08865832887719538,-0.04682326596739528
home_care_kw,0.13133032233134895,need_65plus,0.06754484612987838,-0.0684059452475877
home_care_kw,0.13133032233134895,need_medicaid,0.10704178263347594,-0.027200085318105582
home_care_kw,0.13133032233134895,no_netting,0.0,-0.1313303223313489
home_care_broad,0.15869657087433017,need_all_ages,0.08865832887719538,-0.07685179358784866
home_care_broad,0.15869657087433017,need_65plus,0.06754484612987838,-0.09775454011501772
home_care_broad,0.15869657087433017,need_medicaid,0.10704178263347594,-0.057846814370769106
home_care_broad,0.15869657087433017,no_netting,0.0,-0.1586965708743302
direct_care_all,0.11641527800196687,need_all_ages,0.08865832887719538,-0.030457236845730873
direct_care_all,0.11641527800196687,need_65plus,0.06754484612987838,-0.05241049038042567
direct_care_all,0.11641527800196687,need_medicaid,0.10704178263347594,-0.010497126501769372
direct_care_all,0.11641527800196687,no_netting,0.0,-0.11641527800196683
