occp,occupation,indp,sector,group,likely_undocumented,mexico_born,lowed_fb,workers,hours
3601,home_health_aides,170,other,other_nat,False,False,False,17.0,3264.0
3601,home_health_aides,3960,other,other_fb,False,False,True,169.0,263640.0
3601,home_health_aides,5071,other,other_fb,False,False,False,43.0,71552.0
3601,home_health_aides,5491,other,other_nat,False,False,False,118.0,92040.0
3601,home_health_aides,5791,other,other_fb,True,False,True,122.0,203008.0
3601,home_health_aides,5791,other,other_nat,False,False,False,156.0,405600.0
3601,home_health_aides,6180,other,other_nat,False,False,False,209.0,33440.0
3601,home_health_aides,6290,other,other_fb,False,False,False,116.0,301600.0
3601,home_health_aides,6380,other,other_nat,False,False,False,135.0,166320.0
3601,home_health_aides,6991,other,other_fb,False,False,False,103.0,64272.0
3601,home_health_aides,6991,other,other_nat,False,False,False,442.0,793312.0
3601,home_health_aides,6992,other,other_nat,False,False,False,15.0,6240.0
3601,home_health_aides,7071,other,other_fb,True,False,True,72.0,149760.0
3601,home_health_aides,7071,other,other_nat,False,False,False,254.0,591760.0
3601,home_health_aides,7270,other,other_nat,False,False,False,139.0,361400.0
3601,home_health_aides,7280,other,other_fb,False,False,False,59.0,61360.0
3601,home_health_aides,7280,other,other_fb,False,False,True,65.0,202800.0
3601,home_health_aides,7280,other,other_nat,False,False,False,242.0,188760.0
3601,home_health_aides,7580,other,other_fb,False,False,False,690.0,705108.0
3601,home_health_aides,7580,other,other_fb,False,False,True,588.0,884832.0
3601,home_health_aides,7580,other,other_nat,False,False,False,719.0,1021368.0
3601,home_health_aides,7590,other,other_fb,False,False,True,350.0,364000.0
3601,home_health_aides,7680,other,other_nat,False,False,False,149.0,140060.0
3601,home_health_aides,7690,services_to_buildings,other_fb,False,False,False,502.0,527100.0
3601,home_health_aides,7690,services_to_buildings,other_nat,False,False,False,70.0,140000.0
3601,home_health_aides,7780,other,other_fb,False,False,True,67.0,139360.0
3601,home_health_aides,7780,other,union_fb,False,True,False,67.0,344916.0
3601,home_health_aides,7860,other,other_nat,False,False,False,10.0,20800.0
3601,home_health_aides,7860,other,union_nat,False,False,False,440.0,505560.0
3601,home_health_aides,7970,other,other_fb,False,False,False,429.0,997568.0
3601,home_health_aides,7970,other,other_fb,False,False,True,216.0,328380.0
3601,home_health_aides,7970,other,other_nat,False,False,False,360.0,806000.0
3601,home_health_aides,7970,other,union_nat,False,False,False,146.0,364416.0
3601,home_health_aides,7980,other,other_fb,False,False,False,67.0,156780.0
3601,home_health_aides,7980,other,other_nat,False,False,False,167.0,209404.0
3601,home_health_aides,7980,other,union_fb,False,True,True,442.0,1149200.0
3601,home_health_aides,8080,other,other_fb,False,False,False,396.0,142560.0
3601,home_health_aides,8080,other,other_fb,False,False,True,450.0,94500.0
3601,home_health_aides,8080,other,other_nat,False,False,False,33.0,68640.0
3601,home_health_aides,8090,other,other_fb,False,False,False,148.0,271440.0
3601,home_health_aides,8090,other,other_nat,False,False,False,1181.0,2473828.0
3601,home_health_aides,8090,other,union_nat,False,False,False,233.0,512200.0
3601,home_health_aides,8170,home_health_care,other_fb,False,False,False,57747.0,99390430.0
3601,home_health_aides,8170,home_health_care,other_fb,False,False,True,88740.0,142053014.0
3601,home_health_aides,8170,home_health_care,other_fb,True,False,True,14241.0,23968819.0
3601,home_health_aides,8170,home_health_care,other_nat,False,False,False,258689.0,411891390.0
3601,home_health_aides,8170,home_health_care,union_fb,False,False,False,88.0,302016.0
3601,home_health_aides,8170,home_health_care,union_fb,False,True,False,2552.0,4394524.0
3601,home_health_aides,8170,home_health_care,union_fb,False,True,True,6303.0,9762632.0
3601,home_health_aides,8170,home_health_care,union_fb,True,False,True,46.0,95680.0
3601,home_health_aides,8170,home_health_care,union_fb,True,True,True,10359.0,15330968.0
3601,home_health_aides,8170,home_health_care,union_nat,False,False,False,34008.0,46355056.0
