hours_spec,extra_earnings_bn,delta_high_efficiency,sigma,capital_adjustment,gross_income_gain_bn,labor_tax_gain_bn,capital_tax_gain_bn,receipts_gain_bn,high_skill_earnings_bn
central_ct_service_channel,6.311321592621774,0.000640133622673031,1.5,0.0,0.0008450442346594444,-0.9588658995446511,0.5434775474331505,-0.41538835211150066,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,1.5,0.5,0.0004288346205503957,-0.4983827570854735,0.27169269884069985,-0.22669005824477367,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,1.5,1.0,0.0002901189926931526,-0.037940100150217974,0.0,-0.037940100150217974,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,2.0,0.0,0.0007725061405466108,-0.9493694861189577,0.5434713019034784,-0.4058981842154793,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,2.0,0.5,0.00035630609128278886,-0.4888924709791183,0.27168957713481223,-0.2172028938443061,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,2.0,1.0,0.00021759365317409795,-0.02845594035805041,0.0,-0.02845594035805041,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,2.5,0.0,0.0007289818739963541,-0.9436713609473879,0.5434675544638974,-0.4002038064834905,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,2.5,0.5,0.0003127875651851109,-0.4831980223170988,0.27168770405052023,-0.2115103182665786,9859.381493300325
central_ct_service_channel,6.311321592621774,0.000640133622673031,2.5,1.0,0.00017407703476568325,-0.022765167605297978,0.0,-0.022765167605297978,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,1.5,0.0,0.0013972050822099347,-1.2328183284359402,0.6988262828598796,-0.5339920455760605,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,1.5,0.5,0.0007090310638256602,-0.6407454409993185,0.3493369595638001,-0.2914084814355184,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,1.5,1.0,0.0004796841816343066,-0.048739490160420354,0.0,-0.048739490160420354,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,2.0,0.0,0.0012772662866624013,-1.2206146273403455,0.6988159561297583,-0.5217986712105871,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,2.0,0.5,0.0005891126095240557,-0.6285518701191809,0.34933179845042567,-0.27922007166875523,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,2.0,1.0,0.0003597725048507216,-0.03655604736194346,0.0,-0.03655604736194346,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,2.5,0.0,0.0012053000096788116,-1.2132919486628422,0.6988097598333841,-0.5144821888294581,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,2.5,0.5,0.0005171585382319835,-0.6212352698215701,0.34932870165315777,-0.2719065681684123,9859.381493300325
check_ev_mothers,8.115052073200568,0.0008230792244640226,2.5,1.0,0.0002878225026234186,-0.029245524163509874,0.0,-0.029245524163509874,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,1.5,0.0,0.03155862638001202,-5.847868140262519,3.320871394102835,-2.526996746159684,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,1.5,0.5,0.016011566729456337,-3.037160893329412,1.6587145298348405,-1.3784463634945716,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,1.5,1.0,0.010833988736542685,-0.22796455127029208,0.0,-0.22796455127029208,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,2.0,0.0,0.028848222384186033,-5.7904521517805385,3.320638028318868,-2.4698141234616706,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,2.0,0.5,0.013303348308045847,-2.979973426331325,1.658598088908293,-1.3213753374230321,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,2.0,1.0,0.008126497832631937,-0.17100537667082838,0.0,-0.17100537667082838,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,2.5,0.0,0.02722165772947114,-5.755992276476195,3.320497981102097,-2.435494295374098,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,2.5,0.5,0.01167809517959319,-2.9456506908530313,1.6585282104997543,-1.2871224803532768,9859.381493300325
upper_ct_all_channels,38.53837626448031,0.003908802625262855,2.5,1.0,0.006501681274110392,-0.13681964354782086,0.0,-0.13681964354782086,9859.381493300325
