arm,coefficient,coef,coef_se,attribution,attribution_share,shock,scaling,dL,population,value_one_weekly_hour_bn,d_hours_week_on_removal,earnings_bn,earnings_lo95_bn,earnings_hi95_bn,tax_bn_account_current,tax_lo95_bn_account_current,tax_hi95_bn_account_current,tax_bn_account_net_future_ss,tax_lo95_bn_account_net_future_ss,tax_hi95_bn_account_net_future_ss,price_beta,price_rise_on_removal,pct_hours_on_removal,tax_per_group_member,tax_per_other_resident
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,metro_weighted,cps_scaled,-0.2833301277853591,native_nonunion,46.5074999096259,-0.5859267042601226,27.249986145425055,7.77652409264219,46.72344819820791,11.608494097951073,3.312799263465573,19.90418893243657,9.97349492922557,2.8462078179070414,17.100782040544097,,,,283.85003834186875,38.79657381061553
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,metro_weighted,cps_scaled,-0.2833301277853591,native_plus_foreign_nonunion,57.27538218095924,-0.5859267042601226,33.5591759165284,9.577022852465378,57.54132898059142,14.2962089404411,4.079811735150251,24.512606145731947,12.282658385449395,3.505190364002328,21.06012640689646,,,,349.5698427071446,47.779145226743985
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,national,cps_scaled,-0.3139162755175877,native_nonunion,46.5074999096259,-0.6491788577703714,30.191685669086596,8.616017995390786,51.76735334278241,12.86165809503089,3.670423666036475,22.052892524025303,11.050156954885693,3.1534625863130277,18.94685132345836,,,,314.49231163057544,42.98475438763752
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,national,cps_scaled,-0.3139162755175877,native_plus_foreign_nonunion,57.27538218095924,-0.6491788577703714,37.18196718259661,10.610884793269445,63.75304957192377,15.839518019786155,4.520236921932783,27.158799117639525,13.608599988830358,3.883583834336617,23.333616143324097,,,,387.30672206885,52.9370153263611
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,metro_weighted_lf_fixed,cps_scaled,-0.4036490367580881,native_nonunion,46.5074999096259,-0.8347462080157262,38.821959193851946,11.078901082129432,66.56501730557447,16.53815461658093,4.719611860987138,28.356697372174725,14.208837064949812,4.0548777960593725,24.362796333840254,,,,404.38973241575025,55.27191820572163
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,metro_weighted_lf_fixed,cps_scaled,-0.4036490367580881,native_plus_foreign_nonunion,57.27538218095924,-0.8347462080157262,47.81040808820722,13.643999244359948,81.97681693205449,20.367233845576273,5.812343678097338,34.92212401305521,17.49860936028384,4.993703723435741,30.003514997131944,,,,498.01809426814754,68.06902639916362
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,national_lf_fixed,cps_scaled,-0.4437626319765214,native_nonunion,46.5074999096259,-0.9177011229274462,42.67998489161179,12.179893560751266,73.18007622247232,18.18167356382662,5.188634656880039,31.17471247077321,15.620874470329914,4.457841043234963,26.783907897424868,,,,444.57693604913266,60.764698200089455
CT,t7_iv_additional,2.068,0.754,all_channels,1.0,national_lf_fixed,cps_scaled,-0.4437626319765214,native_plus_foreign_nonunion,57.27538218095924,-0.9177011229274462,52.56168254356494,14.999904530904395,90.12346055622548,22.391276763558665,6.389959330165272,38.392594196952054,19.23757581094477,5.489965058311008,32.98518656357852,,,,547.5098418649608,74.83354984214986
CT,t7_iv_additional,2.068,0.754,ev_fathers_comparison,0.9,metro_weighted,cps_scaled,-0.2833301277853591,native_nonunion,46.5074999096259,-0.5273340338341104,24.524987530882548,6.998871683377972,42.051103378387126,10.447644688155965,2.9815193371190163,17.913770039192915,8.976145436303012,2.5615870361163378,15.390703836489688,,,,255.46503450768185,34.91691642955397
CT,t7_iv_additional,2.068,0.754,ev_fathers_comparison,0.9,metro_weighted,cps_scaled,-0.2833301277853591,native_plus_foreign_nonunion,57.27538218095924,-0.5273340338341104,30.203258324875563,8.619320567218843,51.78719608253228,12.86658804639699,3.6718305616352267,22.061345531158754,11.054392546904456,3.1546713276020966,18.954113766206817,,,,314.61285843643014,43.00123070406959
CT,t7_iv_additional,2.068,0.754,ev_fathers_comparison,0.9,national,cps_scaled,-0.3139162755175877,native_nonunion,46.5074999096259,-0.5842609719933343,27.172517102177935,7.754416195851708,46.59061800850416,11.5754922855278,3.3033812994328278,19.84760327162277,9.945141259397124,2.838116327681725,17.052166191112523,,,,283.0430804675179,38.68627894887376
CT,t7_iv_additional,2.068,0.754,ev_fathers_comparison,0.9,national,cps_scaled,-0.3139162755175877,native_plus_foreign_nonunion,57.27538218095924,-0.5842609719933343,33.463770464336946,9.549796313942503,57.37774461473139,14.255566217807539,4.068213229739506,24.442919205875572,12.247739989947322,3.495225450902956,21.00025452899169,,,,348.5760498619649,47.643313793724985
CT,t7_iv_additional,2.068,0.754,ev_fathers_comparison,0.9,metro_weighted_lf_fixed,cps_scaled,-0.4036490367580881,native_nonunion,46.5074999096259,-0.7512715872141537,34.939763274466756,9.97101097391649,59.90851557501703,14.884339154922838,4.247650674888424,25.521027634957253,12.787953358454832,3.6493900164534354,21.926516700456233,,,,363.9507591741753,49.74472638514948
