channel,spec,netting,people_point,price,unit_price,bn_point,bn_p2_5,bn_p5,bn_median,bn_p95,bn_p97_5,per_group_member,per_other_resident,pool_weight_ltcfocus
nf_saving,aaf_ltcfocus_nh_residents,need_all_ages,40137.40756542771,per_nh_resident,62703.19431052354,2.5167436656956914,0.940547021871421,1.1770270053280052,2.4618009755650565,8.763593748881366,14.034604062705778,61.53922980677285,8.411171213482021,
nf_saving,aaf_acs_relative,need_all_ages,113613.81378803939,per_acs_institutional_65p,45197.20123973804,5.13502640539214,0.4554492833299767,1.3916691121653224,4.998165874826671,18.68764841330464,29.252300589810204,125.56128553438585,17.161694641462496,
nf_saving,aaf_acs_absolute,need_all_ages,177002.49572887077,per_acs_institutional_65p,45197.20123973804,8.000017419393645,0.7160429462410267,2.1841757535933715,7.801966547587082,29.118468495764393,45.62773951379871,195.61583372224885,26.73673808840521,
nf_saving,aaf_pooled_precision_weighted,need_all_ages,,own_measure,,2.6656817730721607,1.035809526157045,1.2725359227494575,2.6078663679957055,9.27141130180427,14.764195894331879,65.18105338291078,8.908935025677476,0.9431161099913385
nf_saving,bmw_care_hours_home_care_aaf_preferred,need_all_ages,191645.46749344387,per_acs_institutional_65p,45197.20123973804,8.661838760984857,5.631061307286252,6.111668183260429,8.667659417885965,11.205033016179724,11.689098738837918,211.79864017423213,28.94860125617096,
nf_saving,bmw_care_hours_home_care_aaf_without_california,need_all_ages,114225.77532721819,per_acs_institutional_65p,45197.20123973804,5.162685354229384,5.162685354229384,5.162685354229384,5.162685354229384,5.162685354229384,5.162685354229384,126.23760010384694,17.25413319904229,
nf_saving,bmw_care_hours_home_care_aaf_year_by_state_ns,need_all_ages,77419.69216622566,per_acs_institutional_65p,45197.20123973804,3.4991534067554717,-3.0237900071123414,-2.002316753217751,3.4930575974427107,8.968600225281234,9.995734038161027,85.56104007038516,11.694468057128663,
nf_saving,bmw_care_hours_direct_care_all_preferred,need_all_ages,123900.87785490445,per_acs_institutional_65p,45197.20123973804,5.5999729101883196,3.6322674735811042,3.9520911828202254,5.59837817067978,7.249367959488451,7.568057851265147,136.9301230510976,18.71558537346506,
nf_saving,bmw_care_hours_direct_care_all_without_california,need_all_ages,73848.20534398279,per_acs_institutional_65p,45197.20123973804,3.3377321981254884,3.3377321981254884,3.3377321981254884,3.3377321981254884,3.3377321981254884,3.3377321981254884,81.61398062648202,11.154984659681162,
nf_saving,bmw_care_hours_direct_care_all_year_by_state_ns,need_all_ages,50052.67251092167,per_acs_institutional_65p,45197.20123973804,2.2622407120628307,-1.9346781946511593,-1.2672967874077912,2.2495089545213585,5.802016936668257,6.462364718112536,55.31614242461559,7.560600713783899,
