scaling,scale,ct_L_before,ct_dL_national,ct_dL_national_lf_fixed,ct_dL_metro_w_women_hours,ct_dL_metro_w_women_hours_lf_fixed,ct_dL_metro_w_population,cortes_share_before,cortes_dC_national,cortes_dC_metro_w_mothers_earnings,cortes_dC_metro_w_college_women_earnings,cortes_dC_metro_w_other_population,areas,areas_ct_floor_hit,areas_cortes_floor_hit,union_ls_share_of_ls,union_lsi_share_of_lsi
cps_scaled,1.0372070224848546,-2.5183577989818073,-0.3139162755175877,-0.4437626319765214,-0.28330993395507215,-0.4036337682028225,-0.2944714301934063,0.03781129851345559,-0.5823972159935038,-0.5544449398611192,-0.5673201059674706,-0.6211397854072759,428,6,44,0.3583822977209499,0.5074594898117941
acs_unscaled,1.0,-2.5183577989818073,-0.2990390022991445,-0.4239238673377707,-0.2657327054264746,-0.3809046947554293,-0.275754729759604,0.03781129851345559,-0.5509015282645797,-0.5143672633106611,-0.526155169456118,-0.5774082814218346,428,2,34,0.3455262931621571,0.4892557404750931
