market,group,hours_share,se,hours_total
home_care_aaf,union_fb,0.07812875060310999,0.003473225010768109,1886513260.0
home_care_aaf,union_nat,0.0707912543376451,0.0035041322509148953,1886513260.0
home_care_aaf,union,0.1489200049407551,0.00436980674588147,1886513260.0
home_care_aaf,lowed_fb_all_origins,0.25802064439239614,0.006448058964289864,1886513260.0
home_care_broad,union_fb,0.07562227645446243,0.0031196349005502767,2882710429.0
home_care_broad,union_nat,0.07738148020555137,0.003024325781902371,2882710429.0
home_care_broad,union,0.1530037566600138,0.004141663266296623,2882710429.0
home_care_broad,lowed_fb_all_origins,0.24212287574167582,0.004668960743089335,2882710429.0
home_care_kw,union_fb,0.051730053784793346,0.0023991351034394017,2872121661.0
home_care_kw,union_nat,0.07488914516424448,0.002943466925348343,2872121661.0
home_care_kw,union,0.12661919894903784,0.0036212563263384673,2872121661.0
home_care_kw,lowed_fb_all_origins,0.20364824197466333,0.003980593351838954,2872121661.0
direct_care_all,union_fb,0.04201160412971636,0.001621021965868311,6278312444.0
direct_care_all,union_nat,0.07022758773679152,0.002061915310795724,6278312444.0
direct_care_all,union,0.11223919186650788,0.0026117604217528833,6278312444.0
direct_care_all,lowed_fb_all_origins,0.16834788176400609,0.002867406947276896,6278312444.0
nursing_facility_cna,union_fb,0.020132153296814875,0.0033187288487811733,779845244.0
nursing_facility_cna,union_nat,0.05818997339425975,0.005650019747508929,779845244.0
nursing_facility_cna,union,0.07832212669107462,0.006503588269220626,779845244.0
nursing_facility_cna,lowed_fb_all_origins,0.1445602815011846,0.008136162335438358,779845244.0
household_services_ev,union_fb,0.14407256112415356,0.0030371319415393016,3396111773.0
household_services_ev,union_nat,0.07644805982656332,0.0026855964306768737,3396111773.0
household_services_ev,union,0.22052062095071687,0.0043255375140028975,3396111773.0
household_services_ev,lowed_fb_all_origins,0.32284290131931415,0.004493103866424498,3396111773.0
maids,union_fb,0.1993757814023637,0.004590401004949556,2031898128.0
maids,union_nat,0.06404795801849374,0.0033832447718569565,2031898128.0
maids,union,0.2634237394208574,0.005382256829367915,2031898128.0
maids,lowed_fb_all_origins,0.44621631444310283,0.006865687687997786,2031898128.0
childcare_workers,union_fb,0.06170239119694482,0.003345933135489095,1364213645.0
childcare_workers,union_nat,0.09491711981813523,0.0043903679826034145,1364213645.0
childcare_workers,union,0.15661951101508004,0.00499238517132134,1364213645.0
childcare_workers,lowed_fb_all_origins,0.13908707385784871,0.00552667520742191,1364213645.0
landscaping,union_fb,0.23663509105340605,0.006745679384252287,1958623875.0
landscaping,union_nat,0.07963804025415548,0.003268288376872197,1958623875.0
landscaping,union,0.3162731313075615,0.007086428379083512,1958623875.0
landscaping,lowed_fb_all_origins,0.3535056152626548,0.007220185824558941,1958623875.0
