acs_year,state,total,hispanic,mexican,mexican_share_of_hispanic,hispanic_share
2022,TX,30029572.0000,12070642.0000,9674825.0000,0.8015,0.4020
2022,AZ,7359197.0000,2388520.0000,2038142.0000,0.8533,0.3246
2022,CA,39029342.0000,15732184.0000,12673519.0000,0.8056,0.4031
2023,TX,30503301.0000,12135688.0000,9659876.0000,0.7960,0.3978
2023,AZ,7431344.0000,2346808.0000,2020759.0000,0.8611,0.3158
2023,CA,38965193.0000,15760437.0000,12651958.0000,0.8028,0.4045
