offence,arrestees,alloc,arrestees_n,eth_unknown_share,RR_H_NHW,RR_NHB_NHW,local_share_H,national_share_H,fbi_2023_table43c_share,predicted_minus_fbi
Aggravated assault,adults 18+,a,45832.0000,0.0311,1.7064,4.7693,0.3598,0.1999,0.2662,-0.0663
Murder,adults 18+,a,1821.0000,0.0395,2.1812,8.2499,0.3399,0.1911,0.2169,-0.0258
Rape/sexual assault,adults 18+,a,3452.0000,0.0348,1.9978,2.7956,0.4543,0.2646,0.3088,-0.0442
Robbery,adults 18+,a,7620.0000,0.0295,2.7414,11.5028,0.3409,0.1943,0.2661,-0.0718
Simple assault,adults 18+,a,145585.0000,0.0306,1.5223,3.3216,0.3721,0.2054,0.2282,-0.0228
