offence,arrestee_RR_H_NHW,arrestee_local_share_H,offender_RR_H_NHW,offender_local_share_H
Aggravated assault,1.6518,0.3652,2.2347,0.3885
Murder,2.2789,0.3553,2.3034,0.3573
Rape/sexual assault,1.7562,0.4449,1.7456,0.4213
Robbery,2.9455,0.3569,4.2193,0.3272
Simple assault,1.4878,0.3775,1.7422,0.3913
