spec,offence,victims,victimisations_local,p_off_hispanic_local,delta,local_exposure,national_exposure,p_off_hispanic_national,shr_logit_shift,p_off_hispanic_national_shr_calibrated,p_off_hispanic_national_shr2224_calibrated,benchmark_shr_2024,benchmark_shr_2022_2024,benchmark_ncvs_2022_2024
central,Murder,H,1405.0000,0.7227,0.9102,0.5752,0.4466,0.6006,0.7491,0.7190,0.7022,0.7190,0.7022,0.3307
central,Murder,NH,2179.0000,0.1284,-1.1191,0.2736,0.1326,0.0567,0.2403,0.0688,0.0734,0.0688,0.0734,0.1059
central,Rape/sexual assault,H,13696.0000,0.7596,1.1681,0.5744,0.4466,0.6430,0.7491,0.7556,0.7399,0.7190,0.7022,0.3307
central,Rape/sexual assault,NH,20134.0000,0.1917,-0.5386,0.2709,0.1326,0.0896,0.2403,0.1071,0.1137,0.0688,0.0734,0.1059
central,Robbery,H,23365.0000,0.4728,-0.6225,0.5776,0.4466,0.3465,0.7491,0.4679,0.4489,0.7190,0.7022,0.3307
central,Robbery,NH,24957.0000,0.1897,-0.5736,0.2740,0.1326,0.0872,0.2403,0.1044,0.1109,0.0688,0.0734,0.1059
central,Aggravated assault,H,67315.0000,0.7381,1.0126,0.5755,0.4466,0.6176,0.7491,0.7338,0.7175,0.7190,0.7022,0.3307
central,Aggravated assault,NH,95488.0000,0.1442,-0.9555,0.2728,0.1326,0.0647,0.2403,0.0782,0.0833,0.0688,0.0734,0.1059
central,Simple assault,H,206148.0000,0.7801,1.3153,0.5749,0.4466,0.6665,0.7491,0.7752,0.7603,0.7190,0.7022,0.3307
central,Simple assault,NH,301179.0000,0.1291,-1.0994,0.2717,0.1326,0.0577,0.2403,0.0699,0.0746,0.0688,0.0734,0.1059
alloc=a0,Murder,H,1405.0000,0.6453,0.4199,0.5752,0.4466,0.5177,1.2394,0.7190,0.7022,0.7190,0.7022,0.3307
alloc=a0,Murder,NH,2179.0000,0.1778,-0.6659,0.2736,0.1326,0.0813,-0.2129,0.0688,0.0734,0.0688,0.0734,0.1059
alloc=a0,Rape/sexual assault,H,13696.0000,0.7160,0.8703,0.5744,0.4466,0.5940,1.2394,0.7811,0.7663,0.7190,0.7022,0.3307
alloc=a0,Rape/sexual assault,NH,20134.0000,0.2302,-0.2612,0.2709,0.1326,0.1100,-0.2129,0.0940,0.1000,0.0688,0.0734,0.1059
alloc=a0,Robbery,H,23365.0000,0.4467,-0.7814,0.5776,0.4466,0.3226,1.2394,0.5242,0.5050,0.7190,0.7022,0.3307
alloc=a0,Robbery,NH,24957.0000,0.2346,-0.2510,0.2740,0.1326,0.1109,-0.2129,0.0947,0.1007,0.0688,0.0734,0.1059
alloc=a0,Aggravated assault,H,67315.0000,0.6616,0.5180,0.5755,0.4466,0.5344,1.2394,0.7332,0.7169,0.7190,0.7022,0.3307
alloc=a0,Aggravated assault,NH,95488.0000,0.1899,-0.5644,0.2728,0.1326,0.0878,-0.2129,0.0745,0.0794,0.0688,0.0734,0.1059
alloc=a0,Simple assault,H,206148.0000,0.7520,1.1119,0.5749,0.4466,0.6339,1.2394,0.8108,0.7973,0.7190,0.7022,0.3307
alloc=a0,Simple assault,NH,301179.0000,0.1491,-0.9024,0.2717,0.1326,0.0675,-0.2129,0.0569,0.0608,0.0688,0.0734,0.1059
alloc=b,Murder,H,1405.0000,0.5634,-0.0697,0.5752,0.4466,0.4350,1.7289,0.7190,0.7022,0.7190,0.7022,0.3307
alloc=b,Murder,NH,2179.0000,0.1040,-1.3961,0.2736,0.1326,0.0452,0.5173,0.0688,0.0734,0.0688,0.0734,0.1059
