offence,offenders,p_victim_hispanic_txaz,delta,txaz_exposure_mean,national_exposure_mean,p_victim_hispanic_national,benchmark_shr_2024,benchmark_shr_2022_2024,benchmark_ncvs_2022_2024
Murder,H,0.7840,1.3441,0.5750,0.4914,0.7097,0.7381,0.7226,0.4044
Murder,NH,0.1702,-0.7285,0.2737,0.1326,0.0774,0.0769,0.0815,0.1400
Rape/sexual assault,H,0.7293,0.9614,0.5739,0.4914,0.6511,0.7381,0.7226,0.4044
Rape/sexual assault,NH,0.1683,-0.7283,0.2710,0.1326,0.0774,0.0769,0.0815,0.1400
Robbery,H,0.7000,0.7581,0.5758,0.4914,0.6183,0.7381,0.7226,0.4044
Robbery,NH,0.3785,0.5769,0.2746,0.1326,0.1943,0.0769,0.0815,0.1400
Aggravated assault,H,0.7830,1.3350,0.5752,0.4914,0.7084,0.7381,0.7226,0.4044
Aggravated assault,NH,0.1775,-0.6640,0.2729,0.1326,0.0814,0.0769,0.0815,0.1400
Simple assault,H,0.8053,1.5126,0.5744,0.4914,0.7340,0.7381,0.7226,0.4044
Simple assault,NH,0.1474,-0.9201,0.2719,0.1326,0.0666,0.0769,0.0815,0.1400
