arrestees,alloc,offence,arrestees_n,eth_unknown_share,RR_H_NHW,RR_NHB_NHW,local_share_H,national_share_H
all ages,a,Aggravated assault,50338.0000,0.0323,1.6518,4.7290,0.3652,0.2024
all ages,a,Murder,2081.0000,0.0389,2.2789,8.5370,0.3553,0.2008
all ages,a,Rape/sexual assault,4179.0000,0.0385,1.7562,2.6035,0.4449,0.2550
all ages,a,Robbery,9652.0000,0.0321,2.9455,12.2479,0.3569,0.2047
all ages,a,Simple assault,170035.0000,0.0323,1.4878,3.3992,0.3775,0.2081
all ages,k,Aggravated assault,50338.0000,0.0323,1.6594,4.7596,0.3656,0.2027
all ages,k,Murder,2081.0000,0.0389,2.2862,8.4745,0.3575,0.2022
all ages,k,Rape/sexual assault,4179.0000,0.0385,1.7667,2.6090,0.4467,0.2564
all ages,k,Robbery,9652.0000,0.0321,2.9589,12.3065,0.3574,0.2051
all ages,k,Simple assault,170035.0000,0.0323,1.4937,3.4108,0.3785,0.2087
all ages,b,Aggravated assault,50338.0000,0.0323,1.5408,4.5598,0.3538,0.1942
all ages,b,Murder,2081.0000,0.0389,2.0859,8.0915,0.3436,0.1922
all ages,b,Rape/sexual assault,4179.0000,0.0385,1.6203,2.4959,0.4295,0.2428
all ages,b,Robbery,9652.0000,0.0321,2.6769,11.4994,0.3459,0.1965
all ages,b,Simple assault,170035.0000,0.0323,1.3965,3.2946,0.3663,0.2000
all ages,c,Aggravated assault,50338.0000,0.0323,1.8108,4.7596,0.3861,0.2172
all ages,c,Murder,2081.0000,0.0389,2.5452,8.4745,0.3825,0.2201
all ages,c,Rape/sexual assault,4179.0000,0.0385,1.9251,2.6090,0.4681,0.2731
all ages,c,Robbery,9652.0000,0.0321,3.2336,12.3065,0.3781,0.2199
all ages,c,Simple assault,170035.0000,0.0323,1.6253,3.4108,0.3985,0.2230
adults 18+,a,Aggravated assault,45832.0000,0.0311,1.7064,4.7693,0.3598,0.1999
adults 18+,a,Murder,1821.0000,0.0395,2.1812,8.2499,0.3399,0.1911
adults 18+,a,Rape/sexual assault,3452.0000,0.0348,1.9978,2.7956,0.4543,0.2646
adults 18+,a,Robbery,7620.0000,0.0295,2.7414,11.5028,0.3409,0.1943
adults 18+,a,Simple assault,145585.0000,0.0306,1.5223,3.3216,0.3721,0.2054
adults 18+,k,Aggravated assault,45832.0000,0.0311,1.7134,4.7929,0.3603,0.2004
adults 18+,k,Murder,1821.0000,0.0395,2.1890,8.1999,0.3419,0.1924
adults 18+,k,Rape/sexual assault,3452.0000,0.0348,2.0058,2.8067,0.4556,0.2656
adults 18+,k,Robbery,7620.0000,0.0295,2.7527,11.5547,0.3413,0.1946
adults 18+,k,Simple assault,145585.0000,0.0306,1.5278,3.3340,0.3729,0.2059
adults 18+,b,Aggravated assault,45832.0000,0.0311,1.5989,4.6121,0.3491,0.1923
adults 18+,b,Murder,1821.0000,0.0395,2.0052,7.8599,0.3284,0.1828
adults 18+,b,Rape/sexual assault,3452.0000,0.0348,1.8478,2.6764,0.4397,0.2528
adults 18+,b,Robbery,7620.0000,0.0295,2.5287,10.9291,0.3312,0.1872
adults 18+,b,Simple assault,145585.0000,0.0306,1.4351,3.2283,0.3615,0.1977
adults 18+,c,Aggravated assault,45832.0000,0.0311,1.8662,4.7929,0.3802,0.2144
adults 18+,c,Murder,1821.0000,0.0395,2.4525,8.1999,0.3679,0.2107
adults 18+,c,Rape/sexual assault,3452.0000,0.0348,2.1644,2.8067,0.4745,0.2807
adults 18+,c,Robbery,7620.0000,0.0295,2.9981,11.5547,0.3608,0.2084
adults 18+,c,Simple assault,145585.0000,0.0306,1.6573,3.3340,0.3921,0.2196
