offence,spec,vH,vNHW,vNHB,vNHO,vNHU,vU
Aggravated assault,central,49683.086,8406.215,4687.579,608.233,70.856,2658.500
Murder,central,1015.336,114.378,152.666,12.643,0.000,66.365
Rape/sexual assault,central,10403.261,2942.740,768.575,136.383,12.954,1211.141
Robbery,central,11046.817,2717.593,1338.552,645.873,32.683,568.685
Simple assault,central,160815.801,27976.602,9037.155,1701.538,163.628,9008.781
Aggravated assault,alloc=a0,44533.221,9694.307,7638.929,727.017,75.934,2743.724
Murder,alloc=a0,906.665,136.176,237.251,13.969,0.000,73.189
Rape/sexual assault,alloc=a0,9806.767,3395.695,1059.052,161.266,19.749,1223.795
Robbery,alloc=a0,10436.197,3042.695,1968.203,806.741,37.744,598.829
Simple assault,alloc=a0,155020.838,31054.053,11659.106,2019.080,185.887,9446.775
Aggravated assault,alloc=b,38470.047,6890.107,3746.467,474.783,46.433,1651.112
Murder,alloc=b,791.521,97.792,117.250,11.583,0.000,43.183
Rape/sexual assault,alloc=b,8943.840,2432.617,640.260,112.917,8.000,720.750
Robbery,alloc=b,8113.643,1903.292,1001.661,450.071,22.238,339.896
Simple assault,alloc=b,148511.412,25506.755,8322.986,1507.374,134.733,6231.922
Aggravated assault,alloc=c,54200.321,14313.679,13790.401,1148.633,124.283,4555.735
Murder,alloc=c,1111.505,204.875,450.147,18.250,0.000,127.500
Rape/sexual assault,alloc=c,10990.616,4835.457,1623.997,243.250,37.000,1978.367
Robbery,alloc=c,14989.617,5240.826,3869.212,1502.700,67.214,1093.879
Simple assault,alloc=c,165123.824,40306.863,16805.791,2942.657,274.233,14829.477
Aggravated assault,alloc=k,38470.047,6890.107,3746.467,474.783,46.433,1651.112
Murder,alloc=k,791.521,97.792,117.250,11.583,0.000,43.183
Rape/sexual assault,alloc=k,8943.840,2432.617,640.260,112.917,8.000,720.750
Robbery,alloc=k,8113.643,1903.292,1001.661,450.071,22.238,339.896
Simple assault,alloc=k,148511.412,25506.755,8322.986,1507.374,134.733,6231.922
Aggravated assault,agencies: ethnicity recorded >= 0%,54628.252,8984.956,4903.072,637.106,77.651,3261.216
Murder,agencies: ethnicity recorded >= 0%,1099.794,128.180,160.170,13.057,0.000,77.095
Rape/sexual assault,agencies: ethnicity recorded >= 0%,11457.458,3160.205,822.514,147.021,13.615,1371.047
Robbery,agencies: ethnicity recorded >= 0%,11935.983,2932.836,1390.459,664.134,36.025,671.108
Simple assault,agencies: ethnicity recorded >= 0%,177655.898,29878.922,9567.238,1813.939,182.785,11339.437
Aggravated assault,agencies: ethnicity recorded >= 80%,24316.507,4638.875,2020.763,272.567,32.691,991.612
Murder,agencies: ethnicity recorded >= 80%,468.081,74.110,56.142,9.750,0.000,29.460
Rape/sexual assault,agencies: ethnicity recorded >= 80%,5755.448,1780.296,383.073,77.358,7.697,365.652
Robbery,agencies: ethnicity recorded >= 80%,4266.241,1324.054,474.750,247.107,14.833,184.102
Simple assault,agencies: ethnicity recorded >= 80%,96000.025,17360.811,4831.197,860.345,84.882,4406.260
Aggravated assault,agencies: ethnicity recorded >= 95%,8346.481,1358.746,534.420,66.318,3.863,144.994
Murder,agencies: ethnicity recorded >= 95%,147.789,27.232,10.211,3.000,0.000,1.000
Rape/sexual assault,agencies: ethnicity recorded >= 95%,1928.820,571.906,130.531,19.038,3.000,35.879
Robbery,agencies: ethnicity recorded >= 95%,1331.881,274.727,103.407,58.316,1.000,9.516
Simple assault,agencies: ethnicity recorded >= 95%,35805.793,6129.045,1858.692,271.028,14.323,584.252
Aggravated assault,agencies: offender-ethnicity start date by Jan 1,46528.559,7884.113,4446.694,580.828,64.901,2458.692
Murder,agencies: offender-ethnicity start date by Jan 1,957.626,108.381,139.779,12.674,0.000,65.251
Rape/sexual assault,agencies: offender-ethnicity start date by Jan 1,9623.087,2761.529,705.274,124.196,12.841,1133.675
Robbery,agencies: offender-ethnicity start date by Jan 1,10562.945,2597.163,1304.903,633.269,31.161,535.688
Simple assault,agencies: offender-ethnicity start date by Jan 1,146588.464,25979.862,8119.596,1594.724,147.382,8229.984
Aggravated assault,agencies: 12 months reported,49058.928,8255.588,4635.777,592.739,69.355,2605.456
Murder,agencies: 12 months reported,1007.964,112.240,151.614,12.643,0.000,66.059
Rape/sexual assault,agencies: 12 months reported,10271.835,2870.976,744.512,129.310,13.068,1191.248
Robbery,agencies: 12 months reported,10990.231,2680.060,1332.595,640.982,32.683,565.372
Simple assault,agencies: 12 months reported,157592.410,27191.800,8783.193,1648.705,155.103,8814.931
