offence,victims_H_offenders,victim_ethnicity_unknown,victim_hispanic,victim_non_hispanic,victim_nh_white,victim_nh_black
Aggravated assault,66114.4697,0.0402,0.7830,0.2170,0.1325,0.0739
Murder,1361.3873,0.0487,0.7840,0.2160,0.0883,0.1179
Rape/sexual assault,15475.0539,0.0783,0.7293,0.2707,0.2063,0.0539
Robbery,16350.2034,0.0348,0.7000,0.3000,0.1722,0.0848
Simple assault,208703.5049,0.0432,0.8053,0.1947,0.1401,0.0453
