spec,offence,victimisations,V_H,V_NHW,V_NHB,V_NHO,pop_H,pop_NHW,pop_NHB,pop_NHO,pop_total,rate_H,rate_NHW,rate_NHB,rate_NHO,rate_all,RR_H_NHW,RR_NHB_NHW,RR_NHO_NHW,RR_H_all,local_share_H,local_pop_share_H,national_share_H,national_share_H_vector,national_share_H_vs_all,share_noinfo,share_eth_unknown,share_nh_race_unknown
central,Murder,3810.000000,1361.387328,730.143786,1645.755308,72.713578,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.072525,0.031486,0.271670,0.015810,0.072414,2.303384,8.628219,0.502127,1.001527,0.357320,0.356775,0.202229,0.202229,0.187243,0.095276,0.128070,0.005731
central,Rape/sexual assault,36730.000000,15475.053942,10951.691482,9333.547144,969.707432,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.824398,0.472273,1.540716,0.210843,0.698103,1.745597,3.262344,0.446443,1.180911,0.421319,0.356775,0.239284,0.239284,0.220780,0.056085,0.130419,0.004680
central,Robbery,49966.000000,16350.203428,4787.160163,28422.582829,406.053580,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.871019,0.206438,4.691799,0.088288,0.949672,4.219279,22.727405,0.427673,0.917179,0.327227,0.356775,0.187618,0.187618,0.171474,0.131569,0.167287,0.005271
central,Aggravated assault,170185.000000,66114.469725,36548.153755,64556.474183,2965.902336,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.522096,1.576076,10.656527,0.644874,3.234597,2.234725,6.761431,0.409165,1.088882,0.388486,0.356775,0.222279,0.222279,0.203575,0.112360,0.104193,0.003915
central,Simple assault,533367.000000,208703.504892,147991.355406,163780.180184,12891.959518,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.118197,6.381870,27.035675,2.803090,10.137363,1.742153,4.236325,0.439227,1.096754,0.391294,0.356775,0.219832,0.219832,0.205047,0.034385,0.059486,0.002173
alloc=a0,Murder,3810.000000,1367.249751,770.560436,1596.037738,76.152076,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.072837,0.033229,0.263463,0.016558,0.072414,2.191968,7.928677,0.498289,1.005839,0.358858,0.356775,0.202601,0.202601,0.188049,0.095276,0.128070,0.005731
alloc=a0,Rape/sexual assault,36730.000000,15666.323812,10938.739670,9173.508866,951.427652,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.834587,0.471714,1.514298,0.206868,0.698103,1.769265,3.210203,0.438546,1.195506,0.426527,0.356775,0.243009,0.243009,0.223509,0.056085,0.130419,0.004680
alloc=a0,Robbery,49966.000000,16890.408570,4882.740681,27796.182771,396.667978,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.899797,0.210560,4.588397,0.086247,0.949672,4.273360,21.791432,0.409610,0.947483,0.338038,0.356775,0.194939,0.194939,0.177139,0.131569,0.167287,0.005271
alloc=a0,Aggravated assault,170185.000000,65413.131975,37152.676071,64656.515980,2962.675975,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.484733,1.602145,10.673041,0.644173,3.234597,2.175043,6.661721,0.402069,1.077332,0.384365,0.356775,0.219143,0.219143,0.201415,0.112360,0.104193,0.003915
alloc=a0,Simple assault,533367.000000,209385.738671,147156.482373,164078.490387,12746.288569,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.154541,6.345867,27.084918,2.771417,10.137363,1.757765,4.268119,0.436728,1.100340,0.392573,0.356775,0.220822,0.220822,0.205717,0.034385,0.059486,0.002173
alloc=b,Murder,3810.000000,1061.329762,856.344101,1811.199108,81.127029,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.056540,0.036928,0.298980,0.017639,0.072414,1.531070,8.096217,0.477665,0.780784,0.278564,0.356775,0.149265,0.149265,0.145974,0.095276,0.128070,0.005731
alloc=b,Rape/sexual assault,36730.000000,12858.382540,12718.666568,10069.201792,1083.749100,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.685001,0.548470,1.662153,0.235639,0.698103,1.248929,3.030524,0.429629,0.981231,0.350078,0.356775,0.188139,0.188139,0.183449,0.056085,0.130419,0.004680
alloc=b,Robbery,49966.000000,11830.802381,6181.670153,31473.198786,480.328680,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.630259,0.266574,5.195373,0.104438,0.949672,2.364294,19.489438,0.391777,0.663660,0.236777,0.356775,0.127813,0.127813,0.124076,0.131569,0.167287,0.005271
alloc=b,Aggravated assault,170185.000000,51278.950146,44489.897055,71018.826963,3397.325836,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,2.731768,1.918549,11.723286,0.738678,3.234597,1.423871,6.110495,0.385019,0.844547,0.301313,0.356775,0.161712,0.161712,0.157894,0.112360,0.104193,0.003915
alloc=b,Simple assault,533367.000000,190215.182406,161331.604603,168350.636739,13469.576253,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,10.133274,6.957145,27.790133,2.928681,10.137363,1.456528,3.994474,0.420960,0.999597,0.356631,0.356775,0.194933,0.194933,0.186882,0.034385,0.059486,0.002173
alloc=c,Murder,3810.000000,1912.276587,601.400777,1236.902043,59.420592,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.101872,0.025934,0.204179,0.012920,0.072414,3.928075,7.872916,0.498172,1.406797,0.501910,0.356775,0.313776,0.313776,0.263012,0.095276,0.128070,0.005731
alloc=c,Rape/sexual assault,36730.000000,19708.686706,8734.751628,7551.414963,735.146703,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,1.049935,0.376671,1.246534,0.159842,0.698103,2.787405,3.309345,0.424356,1.503982,0.536583,0.356775,0.333562,0.333562,0.281181,0.056085,0.130419,0.004680
alloc=c,Robbery,49966.000000,26763.448160,3392.012498,19543.502278,267.037064,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,1.425761,0.146275,3.226103,0.058062,0.949672,9.747150,22.055110,0.396936,1.501320,0.535633,0.356775,0.353653,0.353653,0.280683,0.131569,0.167287,0.005271
alloc=c,Aggravated assault,170185.000000,88133.051734,29012.135769,50742.770566,2297.041931,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,4.695085,1.251098,8.376258,0.499444,3.234597,3.752772,6.695126,0.399205,1.451521,0.517866,0.356775,0.325667,0.325667,0.271373,0.112360,0.104193,0.003915
alloc=c,Simple assault,533367.000000,240282.845727,132508.597975,149358.574773,11216.981525,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,12.800513,5.714203,24.655058,2.438901,10.137363,2.240122,4.314698,0.426814,1.262706,0.450502,0.356775,0.264543,0.264543,0.236073,0.034385,0.059486,0.002173
alloc=k,Murder,3810.000000,1061.329762,601.400777,1236.902043,59.420592,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.056540,0.025934,0.204179,0.012920,0.056241,2.180115,7.872916,0.498172,1.005318,0.358672,0.356775,0.202411,0.202411,0.187952,0.095276,0.128070,0.005731
alloc=k,Rape/sexual assault,36730.000000,12858.382540,8734.751628,7551.414963,735.146703,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.685001,0.376671,1.246534,0.159842,0.567904,1.818565,3.309345,0.424356,1.206191,0.430338,0.356775,0.246163,0.246163,0.225507,0.056085,0.130419,0.004680
alloc=k,Robbery,49966.000000,11830.802381,3392.012498,19543.502278,267.037064,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.630259,0.146275,3.226103,0.058062,0.665856,4.308735,22.055110,0.396936,0.946538,0.337701,0.356775,0.194763,0.194763,0.176963,0.131569,0.167287,0.005271
alloc=k,Aggravated assault,170185.000000,51278.950146,29012.135769,50742.770566,2297.041931,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,2.731768,1.251098,8.376258,0.499444,2.534135,2.183496,6.695126,0.399205,1.077988,0.384599,0.356775,0.219357,0.219357,0.201538,0.112360,0.104193,0.003915
