,H,NHW,NHB,NHO
ncvs2024_12,53539670,170855150,35012630,26965770
ncest2023_all,65236033,190479254,40811309,31933490
ncest2023_12,52690950,168105939,34287471,26332196
ncest2023_18,45826303,155327952,30732607,23542851
ncest2024_all,67175085,190227497,41239144,33080701
ncest2024_12,54437386,168149695,34719604,27413748
ncest2024_18,47541960,155550233,31174577,24563570
