spec,arm,tangible_bn,full_bn,murder_full_bn,outside_nonfatal_victims,group_nonfatal_victimisations,share_Rape/sexual assault,share_Robbery,share_Aggravated assault,share_Simple assault
reference,victim lane arrest-share arm (2019 arrests),5.5986,43.1199,9.1552,577463.8422,843484.6225,0.2916,0.2303,0.2547,0.1838
reference,victim lane central (NCVS perception),4.5014,28.9229,9.1552,401735.2951,588686.5417,0.1380,0.1752,0.1502,0.1439
central,offender,5.4883,40.0364,9.1552,597695.3020,872467.4743,0.2393,0.1876,0.2223,0.2198
central,offender+victims,4.4443,29.4042,9.1552,384369.8164,872467.4743,0.2393,0.1876,0.2223,0.2198
central,offender+victims (TX/AZ as observed),4.1813,26.7820,9.1552,333978.2606,872467.4743,0.2393,0.1876,0.2223,0.2198
central,"offender, arrest-calibrated translation",6.1341,46.6380,9.1552,706145.8592,1031748.6642,0.2793,0.2569,0.2960,0.2442
central,"offender+victims, arrest-calibrated translation",4.8826,33.7503,9.1552,456219.9442,1031748.6642,0.2793,0.2569,0.2960,0.2442
alloc=a0,offender,5.5054,40.1535,9.1552,600230.6775,876451.4526,0.2430,0.1949,0.2191,0.2208
alloc=a0,offender+victims,4.4582,29.4949,9.1552,386341.0980,876451.4526,0.2430,0.1949,0.2191,0.2208
alloc=b,offender,4.8796,33.5065,9.1552,495341.4816,722419.4831,0.1881,0.1278,0.1617,0.1949
alloc=b,offender+victims,4.0318,25.0863,9.1552,316725.5435,722419.4831,0.1881,0.1278,0.1617,0.1949
alloc=c,offender,6.6783,51.9472,9.1552,792890.1626,1160918.6727,0.3336,0.3537,0.3257,0.2645
alloc=c,offender+victims,5.2691,37.3434,9.1552,515892.1368,1160918.6727,0.3336,0.3537,0.3257,0.2645
alloc=k,offender,5.5183,40.3497,9.1552,602441.9887,879622.1476,0.2462,0.1948,0.2194,0.2216
alloc=k,offender+victims,4.4666,29.6264,9.1552,387748.3382,879622.1476,0.2462,0.1948,0.2194,0.2216
agencies: ethnicity recorded >= 0%,offender,5.4658,39.7768,9.1552,593948.5893,866968.5812,0.2361,0.1852,0.2212,0.2187
agencies: ethnicity recorded >= 0%,offender+victims,4.4288,29.2297,9.1552,381874.2097,866968.5812,0.2361,0.1852,0.2212,0.2187
agencies: ethnicity recorded >= 80%,offender,5.4337,38.9716,9.1552,591706.1752,864108.8350,0.2228,0.1892,0.2166,0.2203
agencies: ethnicity recorded >= 80%,offender+victims,4.4082,28.6893,9.1552,380440.0069,864108.8350,0.2228,0.1892,0.2166,0.2203
agencies: ethnicity recorded >= 95%,offender,5.3682,38.0065,9.1552,578578.6426,845381.5576,0.2083,0.1942,0.2156,0.2142
agencies: ethnicity recorded >= 95%,offender+victims,4.3675,28.0499,9.1552,372358.0034,845381.5576,0.2083,0.1942,0.2156,0.2142
agencies: offender-ethnicity start date by Jan 1,offender,5.5208,40.4627,9.1552,602312.6082,879199.0638,0.2440,0.1904,0.2256,0.2204
agencies: offender-ethnicity start date by Jan 1,offender+victims,4.4664,29.6891,9.1552,387473.3619,879199.0638,0.2440,0.1904,0.2256,0.2204
