offence,hispanic_victimisations,group_victimisations,outside_victims,cost_tangible,cost_full,arm,unit_tangible,unit_full
Aggravated assault,298287.3040,178232.8746,124454.3382,823269296.3086,10167593518.3231,offender,,
Rape/sexual assault,134212.0028,80194.4660,57259.2543,572201435.2576,12049774981.3581,offender,,
Robbery,120478.8987,71988.6504,44224.3754,354967261.0772,985724615.1438,offender,,
Simple assault,907167.5245,542051.4834,371757.3341,1315176513.9929,7678063295.3287,offender,,
Aggravated assault,,178232.8746,78970.2867,522390889.3225,6451665626.4504,offender+victims,6615.0309,81697.3813
Rape/sexual assault,,80194.4660,39144.6396,391179020.0500,8237691971.0260,offender+victims,9993.1695,210442.4016
Robbery,,71988.6504,36995.5432,296944987.9707,824599945.0709,offender+victims,8026.5070,22289.1698
Simple assault,,542051.4834,229259.3469,811057324.0021,4734991389.8036,offender+victims,3537.7285,20653.4279
Aggravated assault,,178232.8746,68517.1684,453243187.9731,5597673229.0670,offender+victims (TX/AZ as observed),6615.0309,81697.3813
Rape/sexual assault,,80194.4660,34214.3733,341910032.5500,7200154879.4464,offender+victims (TX/AZ as observed),9993.1695,210442.4016
Robbery,,71988.6504,32371.6763,259831488.2776,721537791.9851,offender+victims (TX/AZ as observed),8026.5070,22289.1698
Simple assault,,542051.4834,198875.0426,703565905.0117,4107451352.4534,offender+victims (TX/AZ as observed),3537.7285,20653.4279
Aggravated assault,397219.0112,237346.6294,165731.5899,1096319593.1834,13539836891.3337,"offender, arrest-calibrated translation",,
Rape/sexual assault,156631.3925,93590.5181,66824.1032,667784592.6211,14062624770.3832,"offender, arrest-calibrated translation",,
Robbery,164999.6652,98590.7353,60566.6819,486138899.4990,1349981060.6782,"offender, arrest-calibrated translation",,
Simple assault,1007865.7697,602220.7814,413023.4842,1461164948.8470,8530350749.7274,"offender, arrest-calibrated translation",,
Aggravated assault,,237346.6294,105162.0327,695650098.7376,8591462680.1455,"offender+victims, arrest-calibrated translation",6615.0309,81697.3813
Rape/sexual assault,,93590.5181,45683.5401,456523361.2677,9613753895.1354,"offender+victims, arrest-calibrated translation",9993.1695,210442.4016
Robbery,,98590.7353,50666.5673,406675559.9536,1129315725.0817,"offender+victims, arrest-calibrated translation",8026.5070,22289.1698
Simple assault,,602220.7814,254707.8041,901087056.1698,5260589265.5948,"offender+victims, arrest-calibrated translation",3537.7285,20653.4279
Aggravated assault,,124848.6399,60768.9113,401988227.6086,4964660914.4805,victim-conditional,6615.0309,81697.3813
Rape/sexual assault,,59368.3547,32567.8005,325455551.3413,6853646143.5669,victim-conditional,9993.1695,210442.4016
Robbery,,56921.6155,32272.2199,259033200.3938,719320990.3156,victim-conditional,8026.5070,22289.1698
Simple assault,,406430.7938,179074.7104,633517705.5502,3698506618.8250,victim-conditional,3537.7285,20653.4279
Aggravated assault,,149227.4310,73091.2509,483500885.4058,5971363793.8381,"victim-conditional, SHR-calibrated",6615.0309,81697.3813
Rape/sexual assault,,70275.2635,38781.4863,387549966.9598,8161269105.8630,"victim-conditional, SHR-calibrated",9993.1695,210442.4016
Robbery,,72949.9147,39664.3383,318366091.0855,884085173.5390,"victim-conditional, SHR-calibrated",8026.5070,22289.1698
Simple assault,,478384.0977,213948.3349,756891120.8610,4418766509.1432,"victim-conditional, SHR-calibrated",3537.7285,20653.4279
Aggravated assault,,150492.5496,76047.5928,503057178.7360,6212889188.0168,"victim-conditional, SHR 2022-2024-calibrated",6615.0309,81697.3813
Rape/sexual assault,,71304.9355,40465.5419,404379020.6019,8515665821.8462,"victim-conditional, SHR 2022-2024-calibrated",9993.1695,210442.4016
Robbery,,73136.5458,41202.5958,330712925.2506,918371654.8293,"victim-conditional, SHR 2022-2024-calibrated",8026.5070,22289.1698
Simple assault,,481468.7464,222115.6627,785784909.0802,4587449824.5979,"victim-conditional, SHR 2022-2024-calibrated",3537.7285,20653.4279
