,ncvs_victim_lane,nibrs_transferred_national,nibrs_txaz_observed
Aggravated assault,0.6983,0.4431,0.3844
Rape/sexual assault,0.7140,0.4881,0.4266
Robbery,0.6143,0.5139,0.4497
Simple assault,0.6858,0.4229,0.3669
