acs_year,state,geo,geoid,name,total,hisp,nhw,nhb,total_12,hisp_12,nhw_12,nhb_12,total_18,hisp_18,nhw_18,nhb_18,mexican,hisp_b03001,nho,nho_12,nho_18
2022,CA,place,19612,"Dos Palos city, California",5755,4381,898,60.0,4985.0,3611.0,898.0,60.0,4463,3244,863,60.0,4054,4381,416.0,416.0,296.0
2022,CA,place,19654,"Dos Palos Y CDP, California",185,136,35,0.0,171.0,129.0,28.0,0.0,171,129,28,0.0,136,136,14.0,14.0,14.0
2022,CA,place,19724,"Douglas City CDP, California",1103,95,846,0.0,932.2,95.0,746.4,0.0,788,95,625,0.0,6,95,162.0,90.8,68.0
2022,CA,place,19766,"Downey city, California",113052,84070,15326,3974.0,97140.8,71220.8,13851.8,3405.3,87547,63128,13168,3103.2,65259,84070,9682.0,8662.9,8147.8
2022,CA,place,19794,"Downieville CDP, California",105,15,77,7.0,105.0,15.0,77.0,7.0,105,15,77,7.0,7,15,6.0,6.0,6.0
2022,CA,place,19878,"Doyle CDP, California",998,68,852,0.0,912.2,68.0,788.2,0.0,836,68,712,0.0,57,68,78.0,56.0,56.0
2022,CA,place,19976,"Drytown CDP, California",60,16,44,0.0,60.0,16.0,44.0,0.0,51,16,35,0.0,16,16,0.0,0.0,0.0
2022,CA,place,19990,"Duarte city, California",21686,10850,5034,1076.0,19225.8,9239.4,4657.4,1060.0,18019,8420,4446,1060.0,8460,10850,4726.0,4269.0,4093.0
2022,CA,place,20018,"Dublin city, California",71068,7151,18878,2975.0,58063.4,5853.0,16536.0,2805.7,52549,5258,15464,2496.0,4373,7151,42064.0,32868.7,29331.0
2022,CA,place,20032,"Ducor CDP, California",701,639,62,0.0,478.6,416.6,62.0,0.0,410,348,62,0.0,639,639,0.0,0.0,0.0
2022,CA,place,20228,"Dunnigan CDP, California",1045,325,639,12.0,871.0,270.0,520.0,12.0,827,235,511,12.0,325,325,69.0,69.0,69.0
2022,CA,place,20242,"Dunsmuir city, California",1756,284,1240,32.0,1449.6,199.0,1032.6,25.6,1364,178,968,25.6,230,284,200.0,192.4,192.4
2022,CA,place,20270,"Durham CDP, California",6337,668,5104,273.0,5737.2,668.0,4539.2,273.0,5286,563,4213,273.0,643,668,292.0,257.0,237.0
2022,CA,place,20284,"Dustin Acres CDP, California",529,115,406,0.0,380.6,88.6,284.0,0.0,338,85,245,0.0,115,115,8.0,8.0,8.0
2022,CA,place,20298,"Dutch Flat CDP, California",104,9,82,0.0,96.0,5.0,78.0,0.0,96,5,78,0.0,9,9,13.0,13.0,13.0
2022,CA,place,20424,"Eagleville CDP, California",13,0,13,0.0,13.0,0.0,13.0,0.0,13,0,13,0.0,0,0,0.0,0.0,0.0
2022,CA,place,20438,"Earlimart CDP, California",7674,7251,0,0.0,6133.0,5752.4,0.0,0.0,5161,4827,0,0.0,7084,7251,423.0,380.6,334.0
2022,CA,place,20515,"East Bakersfield CDP, California",10754,8654,1380,614.0,7926.4,6441.2,1033.8,347.0,6618,5414,795,308.6,8255,8654,106.0,104.4,100.4
2022,CA,place,20574,"Eastern Goleta Valley CDP, California",29563,8026,18793,328.0,25587.2,6524.8,16686.8,327.2,23563,5725,15682,323.1,6283,8026,2416.0,2048.4,1832.9
2022,CA,place,20598,"East Foothills CDP, California",8270,2821,2379,206.0,7422.0,2480.2,2195.4,193.2,6706,2125,2089,174.0,2648,2821,2864.0,2553.2,2318.0
2022,CA,place,20697,"East Hemet CDP, California",20261,10802,7156,996.0,16606.4,8334.4,6365.4,846.1,14407,7155,5509,749.6,9667,10802,1307.0,1060.5,993.4
2022,CA,place,20802,"East Los Angeles CDP, California",117222,111912,2399,498.0,99821.2,95246.2,1952.0,402.3,88405,84141,1859,331.0,101829,111912,2413.0,2220.7,2074.0
2022,CA,place,20900,"East Nicolaus CDP, California",163,25,129,0.0,154.2,20.0,125.2,0.0,144,20,115,0.0,20,25,9.0,9.0,9.0
2022,CA,place,20903,"East Niles CDP, California",29981,24583,3701,1177.0,23993.6,19615.2,3297.2,772.9,20583,16556,3144,600.5,23311,24583,520.0,308.3,282.5
2022,CA,place,20907,"East Oakdale CDP, California",2381,297,1876,0.0,2138.8,247.6,1690.8,0.0,1998,189,1657,0.0,8,297,208.0,200.4,152.0
2022,CA,place,20928,"Easton CDP, California",2454,1607,610,95.0,2068.4,1318.6,567.0,47.6,1825,1120,538,35.0,1600,1607,142.0,135.2,132.0
2022,CA,place,20942,"East Orosi CDP, California",422,416,6,0.0,326.8,320.8,6.0,0.0,262,256,6,0.0,409,416,0.0,0.0,0.0
2022,CA,place,20956,"East Palo Alto city, California",29520,18005,3383,3751.0,25334.2,14579.8,3311.0,3582.1,22746,12595,3295,3406.8,14711,18005,4381.0,3861.3,3449.2
2022,CA,place,20984,"East Pasadena CDP, California",5474,2174,1411,168.0,4731.6,1802.2,1344.6,153.8,4399,1649,1244,153.8,1574,2174,1721.0,1431.0,1352.2
2022,CA,place,21012,"East Porterville CDP, California",5424,4430,771,0.0,4310.6,3418.6,708.6,0.0,3623,2870,594,0.0,4417,4430,223.0,183.4,159.0
2022,CA,place,21026,"East Quincy CDP, California",2399,155,1826,134.0,2160.4,120.8,1704.6,134.0,1895,98,1552,134.0,109,155,284.0,201.0,111.0
2022,CA,place,21034,"East Rancho Dominguez CDP, California",14924,12475,119,1947.0,12758.4,10531.8,113.0,1793.7,11044,9003,101,1656.6,10962,12475,383.0,319.9,283.4
2022,CA,place,21061,"East Richmond Heights CDP, California",3285,644,1791,278.0,2847.2,448.6,1642.6,278.0,2709,387,1580,269.5,552,644,572.0,478.0,472.5
2022,CA,place,21096,"East San Gabriel CDP, California",22654,5904,3963,282.0,19809.2,5049.0,3565.6,250.0,18199,4493,3410,233.0,4604,5904,12505.0,10944.6,10063.0
2022,CA,place,21138,"East Shore CDP, California",209,0,202,0.0,150.0,0.0,143.0,0.0,135,0,128,0.0,0,0,7.0,7.0,7.0
2022,CA,place,21188,"East Sonora CDP, California",2664,157,2289,0.0,2394.6,143.0,2147.6,0.0,2373,143,2129,0.0,52,157,218.0,104.0,101.0
2022,CA,place,21210,"East Tulare Villa CDP, California",862,472,275,0.0,682.8,373.0,206.4,0.0,599,309,204,0.0,392,472,115.0,103.4,86.0
2022,CA,place,21230,"Eastvale city, California",69594,27442,15463,4907.0,57028.0,22487.4,12680.6,4296.2,49857,19245,11683,3984.9,23035,27442,21782.0,17563.8,14944.1
2022,CA,place,21292,"East Whittier CDP, California",10248,5556,3382,296.0,8818.4,4796.8,3015.0,235.7,8077,4319,2786,235.7,4351,5556,1014.0,770.9,736.3
