family,outcome,x,arm,iv_rows,strong_rows,coef_min_strong,coef_max_strong,wald_negative_strong,wald_positive_strong,ar_rows_strong,ar_excludes_zero_negative,ar_excludes_zero_positive,weak_rows
commute,commute (minutes),dX,long difference,15,10,-0.6746014259041244,-0.0052661342717539,2,0,8,2,0,5
commute,commute (minutes),dX,baseline-level control,15,10,-4.8561225574023865,3.4774844212868175,0,0,0,0,0,5
commute,log commute,dX,long difference,15,10,-0.0224158888500855,0.0006452607617458,2,0,8,2,0,5
commute,log commute,dX,baseline-level control,15,10,-0.1280793766239298,0.093529988826603,0,0,0,0,0,5
commute,"log commute, mode-share controls",dX,long difference,15,8,-0.0130015095943626,-0.0012065869539374,1,0,6,1,0,7
commute,log commute,dlnpop,long difference,15,0,,,0,0,0,0,0,15
commute,log commute,dlnpop,baseline-level control,15,0,,,0,0,0,0,0,15
commute,"log commute, mode-share controls",dlnpop,long difference,15,2,-0.1805392255082062,-0.109028154201761,0,0,2,1,0,13
commute,commute_nontransit (minutes),dX,long difference,15,5,-0.9220584640326006,-0.2606320430072029,2,0,4,2,0,10
commute,commute_nontransit (minutes),dX,baseline-level control,15,5,-2.3798174102822145,0.0650115892098313,0,0,0,0,0,10
commute,log commute_nontransit,dX,long difference,15,5,-0.03410484117453,-0.009260501508812,2,0,4,2,0,10
commute,log commute_nontransit,dX,baseline-level control,15,5,-0.0804206510469498,0.0036701197404438,0,0,0,0,0,10
commute,"log commute_nontransit, mode-share controls",dX,long difference,15,4,-0.032452559220185,-0.0126913430717701,1,0,3,2,0,11
commute,log commute_nontransit,dlnpop,long difference,15,1,0.4030976918734725,0.4030976918734725,0,1,1,0,1,14
commute,log commute_nontransit,dlnpop,baseline-level control,15,1,0.2312695837484666,0.2312695837484666,0,0,0,0,0,14
commute,"log commute_nontransit, mode-share controls",dlnpop,long difference,15,0,,,0,0,0,0,0,15
commute,sh_transit (points),dX,long difference,15,10,0.7003649235583447,1.638511835902821,0,2,8,0,3,5
commute,sh_transit (points),dX,baseline-level control,15,10,-0.0970610244774912,0.2067246033270499,0,0,0,0,0,5
commute,sh_home (points),dX,long difference,15,10,0.243527164333333,0.4898354049492468,0,9,8,0,7,5
commute,sh_home (points),dX,baseline-level control,15,10,0.1974182016703265,0.4512757311173434,0,8,0,0,0,5
commute,sh_alone (points),dX,long difference,15,10,-2.0811730628294205,-0.8394628410676241,5,0,8,4,0,5
commute,sh_alone (points),dX,baseline-level control,15,10,-1.3415334317401406,1.9612539936248223,2,0,0,0,0,5
commute,sh_carpool (points),dX,long difference,15,10,-1.6035074008682528,0.1770421155220791,5,0,8,5,0,5
commute,sh_carpool (points),dX,baseline-level control,15,10,-1.1160088650088085,-0.1120622807495821,1,0,0,0,0,5
commute,log population (SF1),dX,long difference,15,10,-0.0084269743965937,0.0528668584874335,0,3,8,0,2,5
commute,"log PUMS natives' commute, 2010 ACS",dlnpop,long difference,10,0,,,0,0,0,0,0,10
commute,"log PUMS natives' commute, 2010 ACS",dlnpop,baseline-level control,10,0,,,0,0,0,0,0,10
commute,"log PUMS natives' commute, 2010 ACS",dX,long difference,10,5,-0.0363860719066623,6.023800516916089e-05,1,0,4,1,0,5
commute,"log PUMS natives' commute, 2010 ACS",dX,baseline-level control,10,5,-0.0058373774190061,0.6293542213442151,0,0,0,0,0,5
commute,"log PUMS natives' commute, 2009-11 ACS",dlnpop,long difference,10,0,,,0,0,0,0,0,10
commute,"log PUMS natives' commute, 2009-11 ACS",dlnpop,baseline-level control,10,0,,,0,0,0,0,0,10
commute,"log PUMS natives' commute, 2009-11 ACS",dX,long difference,10,5,-0.030166569165755,0.0015663472629925,1,0,4,1,0,5
commute,"log PUMS natives' commute, 2009-11 ACS",dX,baseline-level control,10,5,-0.0003283004904649,0.4108752308694647,0,0,0,0,0,5
commute,"log PUMS natives' car commute, 2010 ACS",dlnpop,long difference,10,0,,,0,0,0,0,0,10
