cbsa,pop,pop_fb,emp,emp_fb,emp_mex,emp2564_noba,emp2564_ba,emp2564_hsl,emp2564_somecol_up,emp2564_noba_fb,emp2564_ba_fb,emp2564_noba_mex,emp2564_hsl_fb,emp2564_nat,hrs2564_noba,hrs2564_ba,hrs2564_hsl,hrs2564_somecol_up,hrs_all,hrs_fb,commuters,commute_min,commuters_nat,commute_min_nat,car_nat,car_min_nat,car_all,car_min_all,workers_nat,home_nat,transit_nat,workers,home,transit,n_week_noba,r_week_noba,raw_week_noba,obs_week_noba,n_hour_noba,r_hour_noba,raw_hour_noba,obs_hour_noba,n_week_ba,r_week_ba,raw_week_ba,obs_week_ba,n_hour_ba,r_hour_ba,raw_hour_ba,obs_hour_ba,n_week_hsl,r_week_hsl,raw_week_hsl,obs_week_hsl,n_hour_hsl,r_hour_hsl,raw_hour_hsl,obs_hour_hsl,n_week_somecol,r_week_somecol,raw_week_somecol,obs_week_somecol,n_hour_somecol,r_hour_somecol,raw_hour_somecol,obs_hour_somecol,sample,fp_pop_share
10180,70899.0,3465.0,51127.0,2118.0,952.0,30991.0,11012.0,17825.0,24178.0,1397.0,396.0,735.0,1146.0,40210.0,64757662.5,23297073.5,36615830.5,51438905.5,102152411.0,4522430.0,49211.0,741283.0,47141.0,709779.0,45590.0,686499.0,47577.0,716263.0,48211.0,1070.0,261.0,50298.0,1087.0,284.0,17487.0,-3677.868773772014,107669.18452515408,935.0,26906.0,-5815.663822578036,62289.92906681675,1438.0,5622.0,-1167.963377299174,37397.91189675205,282.0,8417.0,-1772.6845683647168,23471.76925968266,421.0,9781.0,-1901.803512123493,59305.94563314235,526.0,15847.0,-2993.632952865774,35599.93688255933,862.0,7706.0,-1776.0652616485224,48363.238892011665,409.0,11059.0,-2822.030869712264,26689.992184257317,576.0,199001,0.789759430871478
10420,415821.0,12628.0,292553.0,8177.0,19.0,183124.0,59649.0,113266.0,129507.0,4694.0,2840.0,19.0,3073.0,235239.0,369377458.5,123639827.5,224617045.0,268400241.0,568728700.0,16006232.5,280053.0,5854348.0,272207.0,5697921.0,260386.0,5465179.0,267569.0,5613927.0,277087.0,4880.0,3865.0,285082.0,5029.0,3983.0,110560.0,2433.5094886925763,707950.0462990245,4826.0,169430.0,682.4991460517527,431535.8960881426,7410.0,32844.0,129.05986914824052,225931.23315523486,1460.0,47714.0,-377.9277647383428,143713.36146727004,2127.0,69506.0,1912.1149138130486,440263.3712089125,3039.0,111327.0,1391.588266530379,277209.642765891,4887.0,41054.0,521.3945748795272,267686.6750901134,1787.0,58103.0,-709.0891204786259,154326.25332225056,2523.0,199001,1.0
10580,489392.0,23415.0,372523.0,16955.0,131.0,213640.0,98374.0,121245.0,190769.0,9839.0,5554.0,19.0,6459.0,296621.0,422801577.0,199644921.5,239705317.0,382741181.5,715546810.5,30961883.0,358386.0,7371163.0,342154.0,7041019.0,309092.0,6331175.0,322428.0,6602466.0,348664.0,6510.0,15075.0,365379.0,6993.0,16596.0,130397.0,6312.800527394176,838123.0090323971,6933.0,191386.0,13215.530213426939,500467.3253933892,10199.0,56227.0,113.25115990481567,386784.05502256006,2815.0,79728.0,1857.8676359271965,243646.2870493136,4005.0,75377.0,4420.228532951841,479176.1408351725,4075.0,114406.0,8827.44439445482,291873.32063939713,6180.0,55020.0,1892.5719944423302,358946.8681972263,2858.0,76980.0,4388.085818972119,208594.00475399228,4019.0,199001,0.9617593461480248
10740,311517.0,19764.0,225627.0,12750.0,5535.0,128628.0,62259.0,70899.0,119988.0,7755.0,3141.0,4122.0,6024.0,179991.0,256309716.0,127902120.0,138206673.0,246005163.0,439404637.5,24454819.5,216609.0,4149204.0,204435.0,3919521.0,190851.0,3643257.0,201912.0,3850719.0,210144.0,5709.0,3390.0,222615.0,6006.0,3732.0,67554.0,-7229.252338181574,423611.1515813219,2961.0,108690.0,-12829.742505094438,263278.95133423567,4774.0,31869.0,-2999.9379335965305,217022.4503411055,1401.0,46107.0,-5697.462709131572,134882.48514798388,2038.0,36702.0,-3451.5891724371786,226845.94981373852,1603.0,62637.0,-5994.376054465931,147374.64009452364,2743.0,30852.0,-3777.6631657443763,196765.20176758303,1358.0,46053.0,-6835.366450628496,115904.3112397125,2031.0,199001,0.7629394407447965
10780,76902.0,1281.0,48525.0,891.0,102.0,33309.0,8445.0,22044.0,19710.0,528.0,321.0,102.0,393.0,40905.0,68093220.0,17763480.0,44457190.5,41399509.5,97256850.0,1819860.0,46575.0,952863.0,45684.0,933093.0,43281.0,881367.0,44145.0,899706.0,46707.0,1023.0,759.0,47598.0,1023.0,759.0,19353.0,-5147.830984943736,117672.83714356972,982.0,31170.0,-7015.3842200070385,71125.50556572028,1593.0,4503.0,-894.3648836650033,30115.97719438907,222.0,7107.0,-974.8368021860397,20560.838888789625,348.0,12414.0,-3497.3574076770637,74267.18393380297,643.0,21327.0,-4883.42995045534,47106.687463972215,1111.0,6939.0,-1650.4735772666747,43405.6532097667,339.0,9843.0,-2131.9542695516825,24018.8181017481,482.0,199001,0.8710793946288827
10900,335990.0,15077.0,254413.0,11252.0,150.0,161632.0,53781.0,111636.0,103777.0,6727.0,3412.0,129.0,4862.0,205274.0,320769311.5,108473201.5,220411206.5,208831306.5,490727844.0,20741424.0,244887.0,4747095.0,234258.0,4531921.0,219594.0,4311252.0,229004.0,4508053.0,239039.0,4781.0,2868.0,249834.0,4947.0,3084.0,100499.0,2922.747573729611,642267.9349412879,4309.0,147029.0,8534.035382958402,380575.64095651824,6321.0,30016.0,-613.8864580016907,205623.3471912542,1230.0,43010.0,328.62857649482225,130521.66987745742,1773.0,70205.0,2086.839764993895,444412.66870912956,3040.0,104714.0,6174.177928289702,265496.3668850706,4523.0,30294.0,835.9078087357188,197855.26623215925,1269.0,42315.0,2359.8574546687014,115079.2740714484,1798.0,199001,0.7822257038472707
11020,77587.0,666.0,51809.0,398.0,0.0,38125.0,6617.0,28557.0,16185.0,248.0,147.0,0.0,137.0,44347.0,76157586.5,12967025.0,56761017.0,32363594.5,99938681.5,865409.0,49270.0,812963.0,48901.0,808448.0,45569.0,768196.0,45906.0,772679.0,50314.0,1413.0,361.0,50712.0,1442.0,361.0,23054.0,-2512.563140292836,144322.77361622584,1206.0,36573.0,-4032.2644651296328,88398.81642708695,1910.0,3523.0,-836.5008059704844,23385.334178258403,188.0,5499.0,-703.6631859640609,15983.949516646118,299.0,17378.0,-1991.299739982275,107753.88234753071,921.0,28514.0,-3325.45050497524,67450.30585261909,1503.0,5676.0,-521.2634003105622,36568.891268695195,285.0,8059.0,-706.8139601543882,20948.510574467953,407.0,199001,1.0
11260,154799.0,11048.0,119021.0,8326.0,376.0,71633.0,30269.0,30760.0,71142.0,6002.0,1619.0,315.0,3359.0,94281.0,149214596.0,64099435.0,63146649.5,150167381.5,241968205.0,16655195.0,113330.0,2108004.0,105306.0,1964700.0,94738.0,1669315.0,102073.0,1795055.0,108232.0,2926.0,2366.0,116325.0,2995.0,2522.0,37016.0,7910.713731657839,245080.44092109505,1309.0,60822.0,14492.677538143627,171115.6012614673,2128.0,15977.0,2213.3482182189678,112184.21847962297,569.0,23909.0,3245.809679981862,75769.26205386629,845.0,15589.0,4393.872913758453,102462.22689881056,557.0,28996.0,7722.864991473009,79269.23328890087,1020.0,21427.0,3516.8408178993905,142618.21402228475,752.0,31826.0,6769.812546670602,91846.36797256605,1108.0,199001,0.8143896372084292
11460,188584.0,13838.0,143357.0,8938.0,95.0,59023.0,55529.0,25354.0,89198.0,2078.0,5874.0,34.0,1090.0,106600.0,120342049.0,114615985.0,50598188.0,184359846.0,277126272.5,17358038.5,136085.0,2723675.0,127436.0,2555668.0,114215.0,2348091.0,120822.0,2488003.0,131692.0,4256.0,3290.0,140550.0,4465.0,3978.0,33570.0,4943.104288850224,219556.23239074982,1455.0,50409.0,6857.317800692331,135831.14317154806,2143.0,27384.0,613.0803461969482,188644.62481754308,1086.0,39675.0,288.2691195369729,120034.99751267054,1584.0,14668.0,2889.7389339611323,95003.87582078819,647.0,23789.0,4708.403056218358,63216.177450002484,1019.0,18902.0,2053.3653548890848,124552.35656996196,808.0,26620.0,2148.914744473982,72614.9657215455,1124.0,199001,1.0
11500,71975.0,1227.0,47488.0,640.0,25.0,32586.0,7188.0,20764.0,19010.0,531.0,109.0,25.0,342.0,39134.0,68898422.0,15010202.5,42630080.0,41278544.5,96129198.0,1502196.0,46213.0,865541.0,45646.0,854635.0,44473.0,836607.0,45005.0,847478.0,46146.0,500.0,90.0,46757.0,544.0,90.0,21954.0,-3633.0278564685964,136026.9194928858,904.0,31509.0,-4979.8319791591975,74637.13471555192,1308.0,4328.0,-974.6786425960019,28773.597685780074,173.0,6166.0,-1046.5057692363819,17577.33585935199,251.0,13722.0,-2036.4097639699542,84072.07107980458,572.0,20933.0,-2925.5357264920663,48324.66670156758,878.0,8232.0,-1596.6180924986418,51954.84841308124,332.0,10576.0,-2054.296252667128,26312.468013984515,430.0,199001,1.0
