cbsa,pop,pop_fb,emp,emp_fb,emp_mex,emp2564_noba,emp2564_ba,emp2564_hsl,emp2564_somecol_up,emp2564_noba_fb,emp2564_ba_fb,emp2564_noba_mex,emp2564_hsl_fb,emp2564_nat,hrs2564_noba,hrs2564_ba,hrs2564_hsl,hrs2564_somecol_up,hrs_all,hrs_fb,commuters,commute_min,commuters_nat,commute_min_nat,car_nat,car_min_nat,car_all,car_min_all,workers_nat,home_nat,transit_nat,workers,home,transit,n_week_noba,r_week_noba,raw_week_noba,obs_week_noba,n_hour_noba,r_hour_noba,raw_hour_noba,obs_hour_noba,n_week_ba,r_week_ba,raw_week_ba,obs_week_ba,n_hour_ba,r_hour_ba,raw_hour_ba,obs_hour_ba,n_week_hsl,r_week_hsl,raw_week_hsl,obs_week_hsl,n_hour_hsl,r_hour_hsl,raw_hour_hsl,obs_hour_hsl,n_week_somecol,r_week_somecol,raw_week_somecol,obs_week_somecol,n_hour_somecol,r_hour_somecol,raw_hour_somecol,obs_hour_somecol,sample
10180,95258.7852,5341.2334,67434.3897,3425.3325999999997,1795.1511,41051.610700000005,14325.7409,22941.2513,32436.1003,2253.8748,646.7369,1304.0221000000001,1684.013,52476.7399,88690597.00084999,31063510.3662,49120668.39575,70633438.9713,138226844.5969,7152755.5572,65070.5579,1152902.342,61861.8254,1103150.9316,59673.2445,1062706.4287,62793.5795,1111627.2239,63035.4536,1173.6282,283.7097,66365.5386,1294.9807,283.7097,24984.1503,-5431.599346894554,153752.53741375188,1431.8006,36374.5787,-8029.118978739993,84728.01324823043,2081.5834,7930.720600000001,-2277.0310839944586,52558.56880294061,408.7713,11368.3879,-2802.71937827067,31952.980821815545,610.3616,13484.5108,-2678.069617515449,81814.93674391774,786.9521,20576.199800000002,-4674.288432767201,45776.212381812715,1193.9249,11499.639500000001,-2753.5297293790995,71937.60066983415,644.8485000000001,15798.3789,-3354.8305459728026,38951.8008664177,887.6585,200001
10420,435476.4127,15129.1402,327335.97849999997,10105.431199999999,220.0,195188.6614,81093.3881,111229.5874,165052.4621,4682.8095,4589.6826,220.0,2767.8983,267009.5574,414030774.9145,172184986.97205,235245448.03675002,350970313.8498,659599980.42575,21237760.4998,314009.8263,7225301.9289,304438.3444,7008999.5918000005,294135.0218,6737788.1785,303107.5388,6925576.9599,311681.8602,7243.5158,3486.9142,321608.3085,7598.4822,3681.8992,128112.14910000001,1607.1826191807033,819539.2349707661,5682.5758000000005,182925.5986,-783.0708089576387,468372.4241901251,8110.4042,47468.5484,-456.7255706375937,327659.2326235886,2057.8854,66383.4474,-1876.4108186943542,201311.12205184295,2878.832,74674.2577,1773.030662966883,472231.3444055906,3319.7234,109008.7737,-86.22276328673854,271069.389968217,4843.6037,53437.8914,-165.8480437861732,347307.8905651756,2362.8523999999998,73916.8249,-696.8480456708968,197303.0342219075,3266.8005000000003,200001
10500,95453.7064,2553.1743,62824.6485,1644.355,935.6958,41233.5541,12578.6095,25194.8264,28617.3372,986.1392000000001,260.2565,579.1535,830.4568999999999,52565.7679,88196541.04415,27267681.63205,53432730.001200005,62031492.675,129392921.12475,3459437.4298,60857.5936,1224090.7457,59228.7615,1195346.0584,57351.5102,1150864.3693,58948.2441,1178793.9727999999,60109.1858,880.4243,549.1451000000001,61743.2799,885.6863,549.1451000000001,27380.471400000002,-3479.9407932869053,170244.076665763,1413.8464,39269.9397,-4863.375160592808,94441.3587633631,2036.0164,7610.535599999999,-1454.847967645139,50929.33930265418,362.3023,10291.1189,-1287.3418475827045,30044.938471847327,492.4005,16850.3218,-2293.446942260342,103253.43997277191,891.5595,24760.449399999998,-2859.441336572176,57907.26239149153,1317.2121000000002,10530.1496,-1186.4938510265642,66990.6366929912,522.2869,14509.490300000001,-2003.9338240206334,36534.09637187158,718.8043,200001
10540,65578.9124,4524.9188,46587.1038,2845.843,834.1362,26242.5958,12493.8478,12037.8306,26698.613,1310.623,1002.4418,447.4882,875.0754,36423.3788,53270267.5705,26069994.7113,24534720.1257,54805542.1561,90663627.3651,5309073.6385,44171.1224,885232.3018,41433.3134,831887.387,38062.084,786754.1934,40341.6014,834481.9088,43156.74,1723.4266,261.556,45984.9564,1813.834,285.4372,13932.4058,-421.8998161801337,88957.16119406084,798.3144,22340.8626,-1240.6544323124795,56593.570198711604,1249.7828,6242.0908,-1182.5083065136323,42300.521080033875,307.6126,9999.9682,-1497.1003397803304,29313.707621419628,491.2704,6374.5746,33.82649061035324,40147.225001625884,378.11899999999997,10635.0944,-408.888385599903,25966.05378777017,611.245,7557.8312,-455.7263067904869,48809.93619243506,420.1954,11705.7682,-831.7660467125756,30627.516410941393,638.5378,200001
10580,510652.8612,29618.5472,388468.07279999997,20106.4688,408.88800000000003,216882.654,121855.8956,109881.9844,228856.5652,9039.2836,8942.2288,136.534,5405.9428,320757.0372,452420252.6864,254092786.1656,228522164.525,477990874.327,775700702.2152,39729530.7176,370442.076,8386957.6668,351539.9548,7982713.1132,327980.3116,7377552.9604,344159.3524,7723451.5536,361371.0852,9831.1304,10352.452000000001,380894.39879999997,10452.3228,11365.9364,143565.5308,-502.11130291287714,917339.4547028423,7639.5776000000005,200549.95679999999,3951.0568279742242,520475.93823344307,10720.202000000001,72096.0344,-4447.1151440685035,494792.219330302,3458.1228,98992.54639999999,-2454.1033761113554,302169.5283966899,4812.5628,71773.7464,269.84685044454307,451931.6864558684,3958.3812,104705.3308,1778.0035873385589,261869.4162828792,5769.0128,71791.7844,-771.9581533574191,465407.7682469735,3681.1964,95844.626,2173.0532406356742,258606.52195056342,4951.1892,200001
10740,468253.262,46609.222,327363.69,27164.1985,15183.3465,183725.4145,92634.442,90448.0005,185911.856,17919.28,5389.332,11867.6605,13293.373,253051.2445,396076796.148,196238589.5885,196702372.08375,395613013.65275,670482447.49375,58312943.988,310319.32,7136584.061,284745.12799999997,6516594.9735,271423.6855,6183763.6405,295769.059,6770817.367,295479.7105,10734.5825,3056.2655,321768.98,11449.66,3573.2655,103601.58099999999,-9383.160905389897,653262.3895665399,4670.642,153982.7635,-13057.075174108433,383383.00251209293,6967.2665,51269.6155,-6956.115587176478,349005.02031937445,2221.2545,72334.75,-9548.667851329059,213774.77886373785,3157.5295,49365.9735,-4764.388114899637,305439.71379302256,2282.9735,77763.3335,-6099.57109570932,186252.49245360625,3611.3734999999997,54235.6075,-4618.772790490267,347822.6757735173,2387.6684999999998,76219.43,-6957.504078399117,197130.5100584866,3355.893,200001
10780,88252.1856,1991.641,55768.785,1179.8354,403.0196,37461.2326,10162.0938,23383.909200000002,24239.4172,668.6922,350.2762,255.578,529.994,46604.358,79841430.8356,21312554.4298,50063548.4573,51090436.8081,113902538.7464,2519487.3456,53829.0998,1320669.4006,52649.2644,1299808.4448,50320.8742,1229363.806,51323.0242,1247671.9624,53699.8602,1050.5958,629.5132,54879.6956,1050.5958,633.7860000000001,23899.6968,-4812.767912409434,146767.88299246327,1263.7696,35638.8712,-6317.254274716088,84206.02484300635,1905.327,5696.4804,-1251.8301520293226,37990.20272422062,280.3154,8456.7376,-1547.0059401960311,24177.05711028737,425.2378,14839.0182,-2992.887886808817,89989.16067326113,808.3596,22949.2758,-3507.99520384523,53144.54207073585,1270.2444,9060.6786,-1819.8800256006157,56778.72231920219,455.41,12689.5954,-2809.2590708708676,31061.482772270472,635.0826,200001
10900,456891.0,29555.0,342654.0,20110.0,589.0,217582.0,82983.0,133586.0,166979.0,12229.0,5942.0,478.0,8335.0,282394.0,456011342.0,178147315.5,280929398.0,353229259.5,696851000.0,42545206.5,329273.0,8354301.0,309947.0,7839368.0,294964.0,7464915.0,312627.0,7930493.0,317613.0,7666.0,3842.0,337311.0,8038.0,4211.0,141447.0,5511.320121278848,907633.543979441,6461.0,197667.0,5561.815922093932,512050.1021610544,8991.0,48263.0,-334.1327017661706,334048.9705030751,2125.0,66769.0,517.2364590661634,205737.60809734074,2970.0,88759.0,3425.0779823351522,562981.9209550525,4038.0,125139.0,2885.216400115115,315134.566636322,5680.0,52688.0,2086.242138943692,344651.623024388,2423.0,72528.0,2676.599521978803,196915.5355247317,3311.0,200001
11020,79858.0134,926.9073,56928.3066,590.9409,0.0,39465.0531,9243.0756,26641.3356,22066.7931,303.9696,246.9753,0.0,184.9815,48157.1838,81019891.70055,19137619.0467,54878522.5989,45278988.14835,112547996.57475,1356971.2893,54900.5094,1140849.9036,54309.5685,1130406.948,51492.8502,1092511.7379,52058.7936,1102054.7835,55308.4686,998.9001000000001,211.9788,55899.4095,998.9001000000001,211.9788,26412.358500000002,-3781.2240340392727,164739.8618678952,1340.8659,38715.1281,-4451.198950800221,94592.02237864096,1943.8056,5420.4579,-1419.8824757840905,35837.271754931084,254.9745,7915.2084,-1425.8791969798697,22669.05631014345,379.962,18010.198800000002,-2614.3384201251756,111306.1773205179,922.9077,26640.3357,-2816.6488505048387,63871.7067518386,1351.8648,8402.1597,-1166.8856139140996,53433.68454737708,417.9582,12074.7924,-1634.5501002953808,30720.315626802236,591.9408,200001
11100,136617.5601,12548.1341,98770.7736,7855.9572,4840.6532,60639.764599999995,20818.6089,30086.8496,51371.5239,5737.857,830.8042,3772.2446,4466.1912,74889.7123,131777581.47485,45841846.027449995,65916330.5659,111703096.9364,204265488.20235002,16072155.82925,94817.8162,1735424.0917,87401.1701,1599811.4993,84972.6275,1543730.1894999999,92226.6492,1676751.029,89347.1844,1946.0143,251.3191,96893.6516,2075.8354,252.0187,35258.8864,-4723.99799759568,220316.0345124507,1760.1028999999999,50874.0761,-7361.169128652053,122958.83369779872,2538.9454,12318.5499,-2615.047686751811,82463.70746772968,611.0334,16994.1277,-3382.2041274904454,48641.625651808456,846.2319,16464.0701,-2174.810541005407,100990.79511801669,822.2021,25235.4888,-3491.578280206178,58483.8876100426,1263.1643,18794.8163,-2549.187456590274,119325.23939443426,937.9008,25638.5873,-3869.590848445877,64474.94608775598,1275.7811000000002,200001
