design,endpoint,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind,coef_Z2_1990s,se_Z2_1990s
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,first stage on Z2,220,0.6379779266968562,0.0959104945476052,0.44999335738354995,0.8259624960101624,44.2465124645936,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,first stage on Z2_exmex,220,0.9778779956080068,0.13983253620243435,0.7038062246512355,1.251949766564778,48.90495660860506,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,first stage on Z,220,0.2524485139714791,0.13271890728346505,-0.007680544304112413,0.5125775722470707,3.6180956378305678,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,first stage on Z2_1990s,220,0.3433664119499725,0.08840723043941016,0.1700882402887286,0.5166445836112165,15.084817125492943,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,OLS,220,0.24954208905326747,0.13956539529809583,-0.02400608573100038,0.5230902638375353,,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,reduced form on Z2,220,0.23223322601771948,0.20249117893500704,-0.1646494846948943,0.6291159367303333,,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,reduced form on Z2_exmex,220,0.39037559831943824,0.30349493503956115,-0.20447447435810162,0.9852256709969781,,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,IV with Z2,220,0.36401451570606924,0.28507272611042317,-0.1947280274703601,0.9227570588824986,,,,-0.32359343507580685,0.861190322671072,bounded,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,IV with Z2_exmex,220,0.3992068540991316,0.27338005481161215,-0.13661805333162824,0.9350317615298914,,,,-0.2628260077634165,0.8698354011923061,bounded,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,IV with Z,220,-1.0235672468852046,1.092022438641486,-3.1639312266225175,1.1167967328521082,,,,0.059648386991206975,67.47994518264517,unbounded-gap,,
FG_1990fp,2010 ACS,"adj_week_noba, 1990-2000 (placebo)",pre_adj_week_noba,d_fbemp,none,IV with Z2_1990s,220,0.08526304222314929,0.4820490624100448,-0.8595531201005385,1.030079204546837,,,,-1.6022518510243473,0.7949634440641001,bounded,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,first stage on Z2,220,0.6379779266968562,0.0959104945476052,0.44999335738354995,0.8259624960101624,44.2465124645936,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,first stage on Z2_exmex,220,0.9778779956080068,0.13983253620243435,0.7038062246512355,1.251949766564778,48.90495660860506,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,first stage on Z,220,0.2524485139714791,0.13271890728346505,-0.007680544304112413,0.5125775722470707,3.6180956378305678,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,first stage on Z2_1990s,220,0.3433664119499725,0.08840723043941016,0.1700882402887286,0.5166445836112165,15.084817125492943,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,OLS,220,0.5022851957566294,0.24073315428740644,0.030448213353312825,0.9741221781599461,,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,reduced form on Z2,220,0.050147205406521504,0.2393943541006501,-0.4190657286307527,0.5193601394437957,,,,,,,,
FG_1990fp,2010 ACS,"adj_week_noba, 2000-2010 (same metros)",main_adj_week_noba,d_fbemp,none,reduced form on Z2_exmex,220,0.1537549630091651,0.32748046599317193,-0.4881067503374519,0.7956166763557821,,,,,,,,
