cbsa,workers_0,commuters_0,agg_min_0,commute_0,commute_nontransit_0,commute_transit_0,sh_transit_0,sh_alone_0,sh_carpool_0,sh_home_0,pop_sf1_0,pop_sf1_1,commute_1f,commute_nontransit_1f,commute_transit_1f,commute_alone_1f,sh_transit_1f,sh_alone_1f,sh_carpool_1f,sh_home_1f,fb_share_1f,mex_share_1f,ssi_rate_1f,pa_rate_1f,pop_acs5_1,cbsa_title_2010,commute_1p,commute_nontransit_1p,commute_alone_1p,sh_transit_1p,sh_alone_1p,sh_carpool_1p,sh_home_1p,pop_acs1_1,fb_share_1p,cbsa_title,dlnpop_sf1
10180,71115.0,69558.0,1214355.0,17.45816440955749,17.37689175138632,35.61290322580645,0.4359136609716656,80.77339520494974,12.99585178935527,2.1894115165576884,160245.0,165252.0,17.049687701313616,,,,0.6221734959572427,80.26723310949706,11.259421680142525,2.1433465807866248,5.135598456533986,2.4835991592108213,4.3476093134566485,2.2053813298765186,165083.0,"Abilene, TX Metro Area",17.464268218885977,,,,,,,164941.0,5.531674962562371,"Abilene, TX",0.030767687467028182
10420,336437.0,327827.0,7554440.0,23.04398356450201,22.85186881471533,36.30634479812006,1.3913451849826268,85.42906992988286,8.030924066021276,2.559171553663836,694960.0,703200.0,22.950119688902973,,,,1.3381118700432562,86.04345063850613,6.802423313909129,3.109088643071882,3.940304367494303,0.22974084095105596,4.425600045339908,4.640964606534614,702966.0,"Akron, OH Metro Area",22.63405532047915,22.48100781280672,22.42212446528023,1.4554003838074576,87.74571034120045,5.652550942144,2.8582072497659903,702951.0,3.828147338861457,"Akron, OH",0.011787056419301223
10500,64760.0,63689.0,1310560.0,20.577493758733848,20.469581327590575,33.26815642458101,0.8292155651636813,79.35762816553428,15.591414453366275,1.653798641136504,157833.0,157308.0,20.02218897611323,,,,0.9260779613148994,78.93008439788512,14.403467866408327,2.320120849889987,2.0547597599502647,0.26897750485301397,7.905233065717171,2.136364414468391,157634.0,"Albany, GA Metro Area",19.10235504136771,18.520736767182264,18.28445620580452,1.107991068407876,77.98565532174031,15.748697476148589,1.4513837201434467,162659.0,2.45421403057931,"Albany, GA",-0.003331845019701518
10540,45373.0,43324.0,963425.0,22.23767426830394,22.173117881285304,44.0234375,0.2821060983404227,79.32250457320433,11.841844268617901,4.5159015273400485,103069.0,116672.0,22.442698317971843,,,,0.4628099173553719,78.39049586776859,9.87396694214876,6.5227272727272725,4.575985488273395,2.810791385373617,4.222950231117893,3.4286227168693624,116871.0,"Albany-Lebanon, OR Micro Area",21.674026728646137,,,,,,,116910.0,4.538533914977333,"Albany, OR",0.12396791219873649
10580,397806.0,386004.0,8749500.0,22.666863555818075,22.229981740032766,35.1455158152715,3.2822531585747825,79.56994112708205,9.821370215632745,2.9667727485256634,825875.0,870716.0,22.46768103226807,,,,3.1615482582794123,80.04497170607911,8.122897782670965,3.7572834103854786,6.646993305698768,0.1733858466626095,3.9479778156008662,2.2734377713710097,870890.0,"Albany-Schenectady-Troy, NY Metro Area",22.21349109538912,21.670787493856565,21.892932374518775,3.0824143975856964,80.76817474602642,7.848833798374663,3.808019674885656,870832.0,6.635378580483951,"Albany-Schenectady-Troy, NY",0.05287243133497732
10740,333427.0,320380.0,7404615.0,23.111976403021412,22.919430620284942,37.943253774963466,1.2314539614368363,77.52431566729749,13.401134281266964,3.9130004468744284,729649.0,887077.0,23.580809635435166,23.16829681672258,46.87481100695494,22.70978710446852,1.6610286121847273,79.17686915946527,10.564885342816314,4.543091562507064,9.842347657118856,6.227397387101254,4.615182979219153,2.321862849320654,885683.0,"Albuquerque, NM Metro Area",23.794544741489812,23.280746361019183,22.958389710546626,2.0766893693222404,80.48636331626443,9.415398235430228,4.44588082614863,892014.0,10.183136139118893,"Albuquerque, NM",0.1953681914192753
10780,57033.0,55658.0,1416275.0,25.44602752524345,25.18253953810035,45.808720112517584,1.2466466782389143,78.573808146161,14.19178370417127,2.4108849262707555,145035.0,153922.0,23.48138042544591,23.378817524457677,33.561872909699,22.54799025337269,0.993404986959483,83.856338355732,10.164958386630563,1.3688389786866455,2.214646333211888,0.6180710976942695,7.822676274742315,1.9155340691416582,153704.0,"Alexandria, LA Metro Area",23.809274972100685,,,,,,,154120.0,2.3202699195432133,"Alexandria, LA",0.05947088799235267
10900,349827.0,340759.0,8514855.0,24.987909343553657,24.60339530498559,53.52759381898455,1.2949257775986416,81.85417363439643,10.068405240304493,2.592138399837634,740395.0,821173.0,27.335875191049453,26.7990499552233,58.56414819608477,26.715137106231225,1.622718585260328,81.71481528154075,9.35222523260454,3.9802679940352426,7.996488378407667,0.36212075643543623,4.404060771189198,2.5599959162577606,821273.0,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",27.435797455718962,27.021991280660227,26.911364454185613,1.4500085215053036,82.69647480204408,8.48092670693867,4.604047579757232,822141.0,7.645282256936462,"Allentown-Bethlehem-Easton, PA-NJ",0.10354997832007307
11020,56733.0,55353.0,1118310.0,20.20324101674706,20.14211815954261,33.25581395348837,0.4547617788588652,82.18497170958702,10.394303139266388,2.432446724128814,129144.0,127089.0,19.132243388736835,19.092297343974405,32.53048780487805,18.791624783454886,0.28944581715495943,82.52206141899048,9.984115778326862,2.627956230144723,1.1594157299835606,0.1109074748491737,6.113808506506118,3.6725577782093612,127133.0,"Altoona, PA Metro Area",19.781629896443043,,,,,,,127031.0,1.3138525241870094,"Altoona, PA",-0.016040432431893237
11100,104545.0,101875.0,1886255.0,18.515386503067486,18.462875944478924,33.15934065934066,0.34817542684968195,81.92835621024439,12.857621120091826,2.5539241474962933,228707.0,251933.0,18.54238586764693,,,,0.7641684344151397,80.39302477074946,12.958292271459353,2.9890260401877433,8.572493181962326,4.992230608232384,3.3613625179194213,1.4463915099385924,252272.0,"Amarillo, TX Metro Area",18.177730008598452,18.107588774094594,16.883884681812145,0.20528931664422614,81.32698349374158,12.15279509300354,3.3394837015242937,251915.0,9.124109322588968,"Amarillo, TX",0.0967214708016062
