design,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind
PC lane panel (published 2010),ssi_rate,dy,dX,none,first stage on Z2,334,0.31472532904053985,0.039362983931631616,0.23757388053454187,0.3918767775465378,63.92744785879426,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,first stage on Z2_exmex,334,0.4422399133948014,0.05777448082013452,0.32900193098733777,0.555477895802265,58.592734886270314,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,first stage on Z2_mex,334,0.8332199656107778,0.134230043692962,0.5701290799725723,1.0963108512489832,38.53185105186032,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,first stage on Z,334,0.15296841468112732,0.028361494765078696,0.09737988494157307,0.20855694442068157,29.090105698792776,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",334,-0.016442945950592654,0.10240864091876471,-0.21716388215137147,0.18427799025018618,37.02589592148554,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",334,0.328304010710811,0.10442984275050261,0.1236215189198259,0.5329865025017961,37.02589592148554,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,OLS,334,-0.1436947563378436,0.03245827708228572,-0.2073129794191236,-0.08007653325656358,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,reduced form on Z2,334,-0.08826628105655354,0.016731247348532423,-0.12105952585967708,-0.055473036253429996,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,reduced form on Z2_exmex,334,-0.12924249003495195,0.026070533666258455,-0.18034073602081852,-0.07814424404908538,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z2,334,-0.2804549647326997,0.06485628222312131,-0.4075732778900175,-0.15333665157538193,,,,-0.4319659627714389,-0.1669877811478172,bounded
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z2 + baseline level,334,-0.27909549856092575,0.06907768485128178,-0.41448776086943806,-0.14370323625241346,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z2_exmex,334,-0.29224519569669116,0.06563928296617136,-0.420898190310387,-0.1635922010829953,,,,-0.44241748773416695,-0.17429910432466775,bounded
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z2_exmex + baseline level,334,-0.29155325948856325,0.06824415392772647,-0.42531180118690715,-0.1577947177902194,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z2_mex,334,-0.25708437336192613,0.07256816266590604,-0.39931797218710197,-0.1148507745367503,,,,-0.43664427195134364,-0.1319462182413605,bounded
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z2_mex + baseline level,334,-0.2541003277705949,0.08142755070082713,-0.41369832714421606,-0.0945023283969737,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z,334,-0.4424594432676656,0.0984070827066551,-0.6353373253727096,-0.24958156116262162,,,,-0.702006668573232,-0.27732422796872847,bounded
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z + baseline level,334,-0.424183804748159,0.08785811375411458,-0.5963857077062236,-0.2519819017900944,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z+Z2,334,-0.2738879297105834,0.06410306560153692,-0.39952993828959577,-0.14824592113157103,,6.492286771727989,0.010834352101889655,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,IV with Z+Z2 + baseline level,334,-0.285972616612743,0.0689117307508914,-0.4210396088844901,-0.15090562434099586,,10.678706992888719,0.001083757874027147,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,level placebo: Z2 on 2000 level,334,-0.0850512673074525,0.08281124296117556,-0.2473613035113566,0.07725876889645161,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,level placebo: Z2_exmex on 2000 level,334,-0.1100557596337041,0.10482666596365656,-0.31551602492247094,0.09540450565506274,,,,,,
PC lane panel (published 2010),ssi_rate,dy,dX,none,level placebo: Z on 2000 level,334,0.13201828296206486,0.03467589113072818,0.06405353634583763,0.1999830295782921,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,first stage on Z2,334,0.26871317185918675,0.04937876716186604,0.1719307882219293,0.3654955554964442,29.614024082463747,,,,,
