pop_basis,basis,group,offence,n2009,n2021,n2022,count_change_09_21_pct,count_change_21_22_pct,count_change_09_22_pct,per100k_2009,per100k_2021,per100k_2022,per100k_change_09_21_pct,per100k_change_21_22_pct,per100k_change_09_22_pct,share2009_pct,share2021_pct,share2022_pct
pep,2009,white,total,532000,321700,333200,-39.5,3.6,-37.4,269.7,163.6,170.0,-39.3,3.9,-37.0,100.0,100.0,100.0
pep,2009,white,violent,265600,176400,180100,-33.6,2.1,-32.2,134.6,89.7,91.9,-33.4,2.4,-31.7,49.9,54.8,54.1
pep,2009,white,murder,55700,36900,37200,-33.8,0.8,-33.2,28.2,18.8,19.0,-33.5,1.1,-32.8,10.5,11.5,11.2
pep,2009,white,sexual,94900,63600,65300,-33.0,2.7,-31.2,48.1,32.3,33.3,-32.8,3.0,-30.7,17.8,19.8,19.6
pep,2009,white,robbery,45300,20400,19400,-55.0,-4.9,-57.2,23.0,10.4,9.9,-54.8,-4.6,-56.9,8.5,6.3,5.8
pep,2009,white,assault,46600,38000,40000,-18.5,5.3,-14.2,23.6,19.3,20.4,-18.2,5.6,-13.6,8.8,11.8,12.0
pep,2009,white,property,132000,57600,57100,-56.4,-0.9,-56.7,66.9,29.3,29.1,-56.2,-0.6,-56.5,24.8,17.9,17.1
pep,2009,white,burglary,63400,29200,28400,-53.9,-2.7,-55.2,32.1,14.9,14.5,-53.8,-2.4,-54.9,11.9,9.1,8.5
pep,2009,white,mvt,8500,2700,3100,-68.2,14.8,-63.5,4.3,1.4,1.6,-68.1,15.2,-63.3,1.6,0.8,0.9
pep,2009,white,fraud,19600,5800,5700,-70.4,-1.7,-70.9,9.9,3.0,2.9,-70.3,-1.4,-70.7,3.7,1.8,1.7
pep,2009,white,drug,73900,48200,53400,-34.8,10.8,-27.7,37.5,24.5,27.2,-34.6,11.1,-27.3,13.9,15.0,16.0
pep,2009,white,public_order,54400,36800,39800,-32.4,8.2,-26.8,27.6,18.7,20.3,-32.1,8.5,-26.4,10.2,11.4,11.9
pep,2009,hispanic,total,212100,224300,224100,5.8,-0.1,5.7,430.0,356.0,348.0,-17.2,-2.2,-19.1,100.0,100.0,100.0
pep,2009,hispanic,violent,117800,160100,158900,35.9,-0.7,34.9,238.8,254.1,246.8,6.4,-2.9,3.3,55.5,71.4,70.9
pep,2009,hispanic,murder,32300,31900,31700,-1.2,-0.6,-1.9,65.5,50.6,49.2,-22.7,-2.8,-24.8,15.2,14.2,14.1
pep,2009,hispanic,sexual,22000,42800,43700,94.5,2.1,98.6,44.6,67.9,67.9,52.3,-0.1,52.2,10.4,19.1,19.5
pep,2009,hispanic,robbery,26600,26600,24900,0.0,-6.4,-6.4,53.9,42.2,38.7,-21.7,-8.4,-28.3,12.5,11.9,11.1
pep,2009,hispanic,assault,28000,47100,46600,68.2,-1.1,66.4,56.8,74.7,72.4,31.7,-3.2,27.5,13.2,21.0,20.8
pep,2009,hispanic,property,34400,19000,19000,-44.8,0.0,-44.8,69.7,30.2,29.5,-56.8,-2.2,-57.7,16.2,8.5,8.5
pep,2009,hispanic,burglary,16400,11700,11400,-28.7,-2.6,-30.5,33.2,18.6,17.7,-44.2,-4.7,-46.8,7.7,5.2,5.1
pep,2009,hispanic,mvt,6100,1700,1700,-72.1,0.0,-72.1,12.4,2.7,2.6,-78.2,-2.2,-78.7,2.9,0.8,0.8
pep,2009,hispanic,fraud,2400,1200,1300,-50.0,8.3,-45.8,4.9,1.9,2.0,-60.9,6.0,-58.5,1.1,0.5,0.6
pep,2009,hispanic,drug,41400,22600,22200,-45.4,-1.8,-46.4,83.9,35.9,34.5,-57.3,-3.9,-58.9,19.5,10.1,9.9
pep,2009,hispanic,public_order,16000,21900,23200,36.9,5.9,45.0,32.4,34.8,36.0,7.2,3.7,11.1,7.5,9.8,10.4
pep,2009r,white,total,467290,321700,333200,-31.2,3.6,-28.7,236.9,163.6,170.0,-30.9,3.9,-28.2,100.0,100.0,100.0
pep,2009r,white,violent,231500,176400,180100,-23.8,2.1,-22.2,117.3,89.7,91.9,-23.5,2.4,-21.7,49.5,54.8,54.1
pep,2009r,white,murder,46900,36900,37200,-21.3,0.8,-20.7,23.8,18.8,19.0,-21.1,1.1,-20.2,10.0,11.5,11.2
pep,2009r,white,sexual,78100,63600,65300,-18.6,2.7,-16.4,39.6,32.3,33.3,-18.3,3.0,-15.8,16.7,19.8,19.6
pep,2009r,white,robbery,40700,20400,19400,-49.9,-4.9,-52.3,20.6,10.4,9.9,-49.7,-4.6,-52.0,8.7,6.3,5.8
pep,2009r,white,assault,43300,38000,40000,-12.2,5.3,-7.6,21.9,19.3,20.4,-11.9,5.6,-7.0,9.3,11.8,12.0
pep,2009r,white,property,111000,57600,57100,-48.1,-0.9,-48.6,56.3,29.3,29.1,-47.9,-0.6,-48.2,23.8,17.9,17.1
pep,2009r,white,burglary,54300,29200,28400,-46.2,-2.7,-47.7,27.5,14.9,14.5,-46.0,-2.4,-47.4,11.6,9.1,8.5
pep,2009r,white,mvt,6500,2700,3100,-58.5,14.8,-52.3,3.3,1.4,1.6,-58.3,15.2,-52.0,1.4,0.8,0.9
pep,2009r,white,fraud,16000,5800,5700,-63.7,-1.7,-64.4,8.1,3.0,2.9,-63.6,-1.4,-64.1,3.4,1.8,1.7
pep,2009r,white,drug,69200,48200,53400,-30.3,10.8,-22.8,35.1,24.5,27.2,-30.1,11.1,-22.3,14.8,15.0,16.0
pep,2009r,white,public_order,52000,36800,39800,-29.2,8.2,-23.5,26.4,18.7,20.3,-29.0,8.5,-23.0,11.1,11.4,11.9
pep,2009r,hispanic,total,287568,224300,224100,-22.0,-0.1,-22.1,583.0,356.0,348.0,-38.9,-2.2,-40.3,100.0,100.0,100.0
pep,2009r,hispanic,violent,159800,160100,158900,0.2,-0.7,-0.6,324.0,254.1,246.8,-21.6,-2.9,-23.8,55.6,71.4,70.9
pep,2009r,hispanic,murder,38300,31900,31700,-16.7,-0.6,-17.2,77.6,50.6,49.2,-34.8,-2.8,-36.6,13.3,14.2,14.1
pep,2009r,hispanic,sexual,33500,42800,43700,27.8,2.1,30.4,67.9,67.9,67.9,0.0,-0.1,-0.1,11.6,19.1,19.5
pep,2009r,hispanic,robbery,37600,26600,24900,-29.3,-6.4,-33.8,76.2,42.2,38.7,-44.6,-8.4,-49.3,13.1,11.9,11.1
pep,2009r,hispanic,assault,37500,47100,46600,25.6,-1.1,24.3,76.0,74.7,72.4,-1.7,-3.2,-4.8,13.0,21.0,20.8
pep,2009r,hispanic,property,43100,19000,19000,-55.9,0.0,-55.9,87.4,30.2,29.5,-65.5,-2.2,-66.2,15.0,8.5,8.5
pep,2009r,hispanic,burglary,22600,11700,11400,-48.2,-2.6,-49.6,45.8,18.6,17.7,-59.5,-4.7,-61.4,7.9,5.2,5.1
pep,2009r,hispanic,mvt,6600,1700,1700,-74.2,0.0,-74.2,13.4,2.7,2.6,-79.8,-2.2,-80.3,2.3,0.8,0.8
pep,2009r,hispanic,fraud,2900,1200,1300,-58.6,8.3,-55.2,5.9,1.9,2.0,-67.6,6.0,-65.7,1.0,0.5,0.6
pep,2009r,hispanic,drug,49400,22600,22200,-54.3,-1.8,-55.1,100.1,35.9,34.5,-64.2,-3.9,-65.6,17.2,10.1,9.9
pep,2009r,hispanic,public_order,34000,21900,23200,-35.6,5.9,-31.8,68.9,34.8,36.0,-49.6,3.7,-47.7,11.8,9.8,10.4
orig,2009,white,total,532000,321700,333200,-39.5,3.6,-37.4,266.1,167.8,173.8,-36.9,3.6,-34.7,100.0,100.0,100.0
orig,2009,white,violent,265600,176400,180100,-33.6,2.1,-32.2,132.9,92.0,93.9,-30.7,2.1,-29.3,49.9,54.8,54.1
orig,2009,white,murder,55700,36900,37200,-33.8,0.8,-33.2,27.9,19.2,19.4,-30.9,0.8,-30.4,10.5,11.5,11.2
orig,2009,white,sexual,94900,63600,65300,-33.0,2.7,-31.2,47.5,33.2,34.1,-30.1,2.7,-28.2,17.8,19.8,19.6
orig,2009,white,robbery,45300,20400,19400,-55.0,-4.9,-57.2,22.7,10.6,10.1,-53.0,-4.9,-55.3,8.5,6.3,5.8
orig,2009,white,assault,46600,38000,40000,-18.5,5.3,-14.2,23.3,19.8,20.9,-15.0,5.3,-10.5,8.8,11.8,12.0
orig,2009,white,property,132000,57600,57100,-56.4,-0.9,-56.7,66.0,30.0,29.8,-54.5,-0.9,-54.9,24.8,17.9,17.1
orig,2009,white,burglary,63400,29200,28400,-53.9,-2.7,-55.2,31.7,15.2,14.8,-52.0,-2.7,-53.3,11.9,9.1,8.5
orig,2009,white,mvt,8500,2700,3100,-68.2,14.8,-63.5,4.3,1.4,1.6,-66.9,14.8,-62.0,1.6,0.8,0.9
orig,2009,white,fraud,19600,5800,5700,-70.4,-1.7,-70.9,9.8,3.0,3.0,-69.1,-1.7,-69.7,3.7,1.8,1.7
orig,2009,white,drug,73900,48200,53400,-34.8,10.8,-27.7,37.0,25.1,27.9,-32.0,10.8,-24.6,13.9,15.0,16.0
orig,2009,white,public_order,54400,36800,39800,-32.4,8.2,-26.8,27.2,19.2,20.8,-29.5,8.2,-23.7,10.2,11.4,11.9
orig,2009,hispanic,total,212100,224300,224100,5.8,-0.1,5.7,438.2,358.3,358.0,-18.2,-0.1,-18.3,100.0,100.0,100.0
orig,2009,hispanic,violent,117800,160100,158900,35.9,-0.7,34.9,243.4,255.8,253.8,5.1,-0.7,4.3,55.5,71.4,70.9
orig,2009,hispanic,murder,32300,31900,31700,-1.2,-0.6,-1.9,66.7,51.0,50.6,-23.6,-0.6,-24.1,15.2,14.2,14.1
orig,2009,hispanic,sexual,22000,42800,43700,94.5,2.1,98.6,45.5,68.4,69.8,50.4,2.1,53.6,10.4,19.1,19.5
orig,2009,hispanic,robbery,26600,26600,24900,0.0,-6.4,-6.4,55.0,42.5,39.8,-22.7,-6.4,-27.6,12.5,11.9,11.1
orig,2009,hispanic,assault,28000,47100,46600,68.2,-1.1,66.4,57.9,75.2,74.4,30.1,-1.1,28.7,13.2,21.0,20.8
orig,2009,hispanic,property,34400,19000,19000,-44.8,0.0,-44.8,71.1,30.4,30.4,-57.3,0.0,-57.3,16.2,8.5,8.5
orig,2009,hispanic,burglary,16400,11700,11400,-28.7,-2.6,-30.5,33.9,18.7,18.2,-44.8,-2.6,-46.3,7.7,5.2,5.1
orig,2009,hispanic,mvt,6100,1700,1700,-72.1,0.0,-72.1,12.6,2.7,2.7,-78.5,0.0,-78.5,2.9,0.8,0.8
