lane,allocation,key,share_rebuilt,share_published,se_rebuilt,se_published,rel_diff
receipts,shared,population,0.1214529177216494,0.1214529177216494,0.001123446585347649,0.0011234465853476,0.0
receipts,shared,adults,0.11204841171090792,0.1120484117109079,0.0010952077513965916,0.0010952077513965,2.220446049250313e-16
receipts,shared,wage,0.08782377602322235,0.0878237760232223,0.001399602473203515,0.0013996024732035,4.440892098500626e-16
receipts,shared,wage_oasdi,0.09497098222247713,0.0949709822224771,0.0012661745837233209,0.0012661745837233,2.220446049250313e-16
receipts,shared,self_payroll,0.106786482208763,0.106786482208763,0.007009372345819274,0.0070093723458192,0.0
receipts,shared,positive_fica_worker,0.12104868583474679,0.1210486858347467,0.001341824701611258,0.0013418247016112,6.661338147750939e-16
receipts,shared,capital,0.037169700053379336,0.0371697000533793,0.0020283466496496356,0.0020283466496496,8.881784197001252e-16
receipts,shared,interest_dividend,0.03692674158156216,0.0369267415815621,0.002049584377400918,0.0020495843774009,1.5543122344752192e-15
receipts,shared,federal_liability,0.05739941937912565,0.0573994193791256,0.0019724815427388173,0.0019724815427388,8.881784197001252e-16
receipts,shared,federal_high_agi,0.03275263245569169,0.0327526324556916,0.006746905914429889,0.0067469059144298,2.6645352591003757e-15
receipts,shared,state_liability,0.05368359574723256,0.0536835957472325,0.0017905202468118007,0.0017905202468118,1.1102230246251565e-15
receipts,shared,consumption,0.08104060733729859,0.0810406073372985,0.0011554357109943235,0.0011554357109943,1.1102230246251565e-15
receipts,shared,medicare,0.05414155070643574,0.0541415507064357,0.001571545600089289,0.0015715456000892,6.661338147750939e-16
receipts,shared,medicare_income,0.027004703308822122,0.0270047033088221,0.0018789133232257058,0.0018789133232257,6.661338147750939e-16
receipts,personal,population,0.1214529177216494,0.1214529177216494,0.001123446585347649,0.0011234465853476,0.0
receipts,personal,adults,0.10909217626069341,0.1090921762606934,0.001080830055552598,0.0010808300555525,2.220446049250313e-16
receipts,personal,wage,0.08323440807808574,0.0832344080780857,0.001400974441244087,0.001400974441244,4.440892098500626e-16
receipts,personal,wage_oasdi,0.09033905545635841,0.0903390554563584,0.0012030576806044899,0.0012030576806044,2.220446049250313e-16
receipts,personal,self_payroll,0.1024359412576092,0.1024359412576092,0.006668075217175968,0.0066680752171759,0.0
receipts,personal,positive_fica_worker,0.11769125404979552,0.1176912540497955,0.0012788019244631009,0.0012788019244631,2.220446049250313e-16
receipts,personal,capital,0.031129809579337604,0.0311298095793376,0.0018397793233304862,0.0018397793233304,2.220446049250313e-16
receipts,personal,interest_dividend,0.03194166125174109,0.031941661251741,0.0020554766675338725,0.0020554766675338,2.886579864025407e-15
receipts,personal,federal_liability,0.05334829866810948,0.0533482986681094,0.001988570068684002,0.001988570068684,1.3322676295501878e-15
receipts,personal,federal_high_agi,0.030632655887145598,0.0306326558871455,0.006653119709109508,0.0066531197091095,3.1086244689504383e-15
receipts,personal,state_liability,0.050044257862511904,0.0500442578625119,0.0017762350430224362,0.0017762350430224,2.220446049250313e-16
receipts,personal,consumption,0.08104060733729859,0.0810406073372985,0.0011554357109943238,0.0011554357109943,1.1102230246251565e-15
