method,allocation,key,rel_change,rel_change_se
status_0.44,personal,wage,-0.06458211903328692,0.0033071104327490933
status_0.44,personal,wage_oasdi,-0.0641493152196928,0.0028900676379669124
status_0.44,personal,self_payroll,-0.08216130005993638,0.012554656866719532
status_0.44,personal,positive_fica_worker,-0.0718828697304662,0.0031619411294951734
status_0.44,personal,federal_liability,-0.05486874696444155,0.006423362961499679
status_0.44,personal,state_liability,-0.06395046549389805,0.006283240203650769
status_0.44,personal,consumption,0.0,0.0
status_0.44,personal,social_security,0.0,0.0
status_0.44,personal,refundable_credits,-0.13603760136934528,0.011334113484761127
status_0.44,shared,wage,-0.059312408386578364,0.002971726363925685
status_0.44,shared,wage_oasdi,-0.05928586232714206,0.002607983943450389
status_0.44,shared,self_payroll,-0.07961941449777887,0.013220934444776416
status_0.44,shared,positive_fica_worker,-0.06889925040481415,0.0029752930789629073
status_0.44,shared,federal_liability,-0.04838626928796563,0.005875616216245731
status_0.44,shared,state_liability,-0.0571057976361683,0.0058567260494198385
status_0.44,shared,consumption,0.0,0.0
status_0.44,shared,social_security,0.0,0.0
status_0.44,shared,refundable_credits,-0.12115782053626856,0.010386434607788568
status_0.60,personal,wage,-0.045957945896063834,0.002350196497226478
status_0.60,personal,wage_oasdi,-0.04563682426624194,0.002052944376604606
status_0.60,personal,self_payroll,-0.058295934075198175,0.008889724478561217
status_0.60,personal,positive_fica_worker,-0.05102102873008174,0.002239691641243296
status_0.60,personal,federal_liability,-0.03911221213889371,0.004574868739867916
status_0.60,personal,state_liability,-0.04558146940697738,0.004474367570896298
status_0.60,personal,consumption,0.0,0.0
status_0.60,personal,social_security,0.0,0.0
status_0.60,personal,refundable_credits,-0.12830838663639998,0.010625473500296825
status_0.60,shared,wage,-0.042209482796274234,0.0021117338315322573
status_0.60,shared,wage_oasdi,-0.04217847968734678,0.0018524232970856139
status_0.60,shared,self_payroll,-0.056487881209601576,0.009360240221567586
status_0.60,shared,positive_fica_worker,-0.04890295889375618,0.0021073244800451276
status_0.60,shared,federal_liability,-0.03449245776518528,0.0041850612276323595
status_0.60,shared,state_liability,-0.04070387517244234,0.004170837304310095
status_0.60,shared,consumption,0.0,0.0
status_0.60,shared,social_security,0.0,0.0
status_0.60,shared,refundable_credits,-0.11423063565547986,0.009732037211742197
status_0.75,personal,wage,-0.028623580108386393,0.0014618991040167531
status_0.75,personal,wage_oasdi,-0.028415971890835223,0.0012764893163677263
status_0.75,personal,self_payroll,-0.03620896250624317,0.0055112504696283185
status_0.75,personal,positive_fica_worker,-0.031700676238369696,0.0013889491093756197
status_0.75,personal,federal_liability,-0.02439858796160277,0.0028515742145897413
status_0.75,personal,state_liability,-0.02843156331182084,0.0027885225160163675
status_0.75,personal,consumption,0.0,0.0
status_0.75,personal,social_security,0.0,0.0
status_0.75,personal,refundable_credits,-0.12114125203017356,0.009983726110345268
status_0.75,shared,wage,-0.026289868169798725,0.0013134962759562589
status_0.75,shared,wage_oasdi,-0.026263540251149853,0.0011517241123782445
status_0.75,shared,self_payroll,-0.03508334779944,0.005802210111944123
status_0.75,shared,positive_fica_worker,-0.030384460011845582,0.0013067700502615485
status_0.75,shared,federal_liability,-0.02151741764915671,0.0026087825932759076
status_0.75,shared,state_liability,-0.02538974825491669,0.0025994690766812717
status_0.75,shared,consumption,0.0,0.0
status_0.75,shared,social_security,0.0,0.0
status_0.75,shared,refundable_credits,-0.10780774947513916,0.009138403139228436
a_ipw_brief_cells,personal,wage,-0.02845660240386838,0.013086254592553822
