method,allocation,component,seeds,change_bn,mean_of_seeds_bn,replicate_se_bn,between_seed_sd_bn,total_se_bn
b_hotdeck_union_matched,personal,direct_receipts,5,-15.518026365786938,-15.518026365786938,4.744159977787302,3.8139142579594423,6.321565016300821
b_hotdeck_union_matched,personal,income_security_services,5,-0.6974029711186749,-0.6974029711186795,1.9362479638457029,1.7025976347513632,2.688431257170202
b_hotdeck_union_matched,personal,net_cost_change,5,11.191044054331327,11.19104405433132,5.248937288696573,3.2396705598008007,6.336079313259689
b_hotdeck_union_matched,personal,transfers,5,-3.629579340336936,-3.6295793403369387,2.0052885687394286,0.9141832270141909,2.2414413690707864
b_hotdeck_union_matched,shared,direct_receipts,5,-13.766286775356646,-13.766286775356647,4.491554128795869,3.7478452566384126,6.085201013372662
b_hotdeck_union_matched,shared,income_security_services,5,-1.2124260294728713,-1.2124260294728697,1.874181483912031,1.4725849700429754,2.4728048906928475
b_hotdeck_union_matched,shared,net_cost_change,5,8.80370589652338,8.803705896523386,5.088953250801297,3.9349173677241445,6.669162977302445
b_hotdeck_union_matched,shared,transfers,5,-3.7501548493603947,-3.7501548493603907,2.0006485236140654,0.7175130582842096,2.1495079673286095
b_hotdeck_union_matched_all_items,personal,direct_receipts,3,-12.79015909035891,-12.790159090358898,5.062080701649353,6.13207972193352,8.704090799821762
b_hotdeck_union_matched_all_items,personal,income_security_services,3,-0.2319617161150519,-0.23196171611505187,1.9637736753093136,2.142658734413911,3.158753285298618
b_hotdeck_union_matched_all_items,personal,net_cost_change,3,7.836454401918264,7.83645440191826,5.464904540615868,3.2993667145140195,6.6618022531820404
b_hotdeck_union_matched_all_items,personal,transfers,3,-4.721742972325594,-4.721742972325587,1.9565839813591381,1.035723217538833,2.293145798659525
b_hotdeck_union_matched_all_items,shared,direct_receipts,3,-10.10687824872208,-10.106878248722074,4.977216582717807,5.8274033154843945,8.369639027244393
b_hotdeck_union_matched_all_items,shared,income_security_services,3,-0.7487448669917635,-0.7487448669917636,1.9027628362158533,1.596196113227935,2.6490808066313907
b_hotdeck_union_matched_all_items,shared,net_cost_change,3,4.9512533095232465,4.951253309523238,5.524130327605017,4.474768864354428,7.563999673600376
b_hotdeck_union_matched_all_items,shared,transfers,3,-4.40688007220707,-4.406880072207073,1.936390879431099,0.7000224243701686,2.0983290568383364
b_matched_over_pooled,personal,direct_receipts,5,-16.345522508380046,-16.313125638017247,3.265742556345726,2.6560263308155174,4.373836472515854
b_matched_over_pooled,personal,income_security_services,5,2.2463556119829784,2.299122533160512,1.3511368051558144,2.213151327721,2.775467028360908
b_matched_over_pooled,personal,net_cost_change,5,13.572112370324174,13.656445030981837,3.9707008420078886,1.29008307038265,4.21469362717003
b_matched_over_pooled,personal,transfers,5,-5.019765750038849,-4.955803140195923,1.3458456722089722,1.154133402171549,1.8465452243076284
b_matched_over_pooled,shared,direct_receipts,5,-15.907740158965838,-15.881202557542219,3.2006755330723746,1.2368336125001722,3.475634147895949
b_matched_over_pooled,shared,income_security_services,5,2.4231914523701277,2.4924172271538168,1.298295104021528,2.0807671978806046,2.6231814148581782
b_matched_over_pooled,shared,net_cost_change,5,13.384304395727442,13.494057312242052,3.9320895215957274,1.0569543847920382,4.099013429068055
b_matched_over_pooled,shared,transfers,5,-4.946627215608524,-4.879562472453983,1.3338513437909805,0.5686836560277355,1.472155130444034
b_matched_over_pooled_all_items,personal,direct_receipts,3,-19.129369391782877,-19.094443490398962,3.709710122645848,2.936513261892181,5.025875981068967
b_matched_over_pooled_all_items,personal,income_security_services,3,3.2766334708102094,3.4929120553310624,1.9542267851124002,4.374622067201463,5.41621885040158
b_matched_over_pooled_all_items,personal,net_cost_change,3,17.148371441205406,17.473657063603607,4.865874206028484,3.7468100476016746,6.51113245393138
b_matched_over_pooled_all_items,personal,transfers,3,-5.257631421387682,-5.113698482126423,1.501711259310806,2.0847582802872138,2.8372685496163936
b_matched_over_pooled_all_items,shared,direct_receipts,3,-17.41147463586268,-17.36912288370158,3.774947250579256,1.8599137285794811,4.343109352564564
b_matched_over_pooled_all_items,shared,income_security_services,3,2.8477094702166355,3.0585197617997735,1.8213970074326036,4.0525432208802545,5.0214502355549095
b_matched_over_pooled_all_items,shared,net_cost_change,3,15.271872203361447,15.588644068971059,4.954970283289722,4.059560805183893,6.820931687308655
b_matched_over_pooled_all_items,shared,transfers,3,-4.98731190271787,-4.838998576530295,1.5053913434655612,1.460810423191874,2.260861020420261
