variant,column,union_change_bn,on_unauthorized_bn,unauthorized_fraction
matched,EIT_CRED,-0.12952929780254263,0.03152682749724109,-0.24339534014382824
matched,FEDTAX_BC,-5.186075369946126,-3.350065263992847,0.6459731155098211
matched,STATETAX_A,-1.4188621333071527,-0.6167954352148086,0.43471132306361004
matched,WSAL_VAL,-16.372383601702587,-12.420068525860309,0.758598676161529
pooled,EIT_CRED,-0.15189699042494745,-0.0030411066489202674,0.0200208486054428
pooled,FEDTAX_BC,1.6173636428794498,-0.8064045988379884,-0.4985920157091684
pooled,STATETAX_A,-0.4901713735605472,-0.27933910901664544,0.5698805031953601
pooled,WSAL_VAL,2.2216609690961553,-1.7046290347131652,-0.7672768520602242
