channel,quintile,published_bn,reproduced_bn,published_share,rerank_matched_bn,rerank_matched_seed_sd_bn,rerank_pooled_bn,rerank_pooled_seed_sd_bn,rerank_match_effect_bn,total_a_ipw_brief_cells_bn,with_a_ipw_brief_cells_bn,total_b_hotdeck_union_matched_bn,with_b_hotdeck_union_matched_bn,total_b_matched_over_pooled_bn,with_b_matched_over_pooled_bn
fiscal_a,1,-6.911084398089805,-6.911084398089837,0.030321846670752786,-6.9558468009369205,0.01877699791647409,-6.9344157005596045,0.020894246400899284,-0.021431100377315992,-242.84420781758163,-7.363484834325135,-237.92160781758164,-7.214222511903688,-241.40245781758165,-7.319768311887578
fiscal_a,2,-14.574618232989833,-14.574618232989899,0.06394500687440932,-14.587011587754441,0.034749963185054925,-14.558802824758695,0.02351185719516012,-0.02820876299574593,-242.84420781758163,-15.528674538305742,-237.92160781758164,-15.213898847465774,-241.40245781758165,-15.436481824644563
fiscal_a,3,-24.5704364563393,-24.570436456339262,0.10780088390593388,-24.657257416190284,0.03527081214151964,-24.630046480440658,0.04452808846078445,-0.02721093574962552,-242.84420781758163,-26.1788202541716,-237.92160781758164,-25.64815962305625,-241.40245781758165,-26.02339832980022
fiscal_a,4,-40.292485336269024,-40.29248533626929,0.1767801537321106,-40.325734166242604,0.03215401706192678,-40.29247922753339,0.02770816666702406,-0.03325493870921292,-242.84420781758163,-42.93003639094469,-237.92160781758164,-42.059818406183005,-241.40245781758165,-42.67516360430142
fiscal_a,5,-141.57563339389367,-141.57563339389336,0.6211521088167935,-141.3984078464574,0.08938945069701847,-141.50851358428926,0.07123365253390454,0.11010573783187283,-242.84420781758163,-150.84319179983447,-237.92160781758164,-147.78550842897292,-241.40245781758165,-149.94764574694787
fiscal_a_cps_tax_fields,1,-4.569641657498995,-4.569641657499005,0.02004894828332095,-4.8309382972646,0.08744806433326764,-4.7829202174340155,0.08540269170628806,-0.0480180798305847,-242.84420781758163,-4.86877096343874,-237.92160781758164,-4.770078010619264,-241.40245781758165,-4.839865392251262
fiscal_a_cps_tax_fields,2,-12.63873881130478,-12.638738811304847,0.05545148608719049,-12.397356505697354,0.06121906284571391,-12.457240805633194,0.09606210782405875,0.05988429993583999,-242.84420781758163,-13.466072211151426,-237.92160781758164,-13.193106725738621,-241.40245781758165,-13.386125031085218
fiscal_a_cps_tax_fields,3,-26.39404327555346,-26.39404327555353,0.11580181735933481,-26.139773256631194,0.06545476495495563,-26.360064213072445,0.12820525558922127,0.22029095644125007,-242.84420781758163,-28.121800600463935,-237.92160781758164,-27.551754574330875,-241.40245781758165,-27.954843330286113
fiscal_a_cps_tax_fields,4,-49.106966832599426,-49.10696683259975,0.21545300751577895,-48.83268100855538,0.3271834884422125,-48.93552312725482,0.1036402931782073,0.10284211869943505,-242.84420781758163,-52.321514932084796,-237.92160781758164,-51.260925957287625,-241.40245781758165,-52.01088555849893
fiscal_a_cps_tax_fields,5,-135.2148672406241,-135.2148672406245,0.5932447407543748,-135.72350874943308,0.43239908798691545,-135.38850945418716,0.26814556445924553,-0.33499929524592176,-242.84420781758163,-144.06604911044275,-237.92160781758164,-141.14574254960525,-241.40245781758165,-143.2107385054601
