block,recipients,donors,level_mean,level_max,spec,seed,variant
whole_supplement,21583,64536,0.8469165546958254,5,main,20260923,matched
earnings_range,12563,41730,1.690440181485314,6,main,20260923,matched
earnings_recipient,3424,41730,1.071553738317757,5,main,20260923,matched
earnings_any,642,75928,1.1230529595015577,4,main,20260923,matched
social_security_recipient,6092,13260,1.1101444517399868,6,main,20260923,matched
social_security_any,2670,83709,1.1872659176029963,4,main,20260923,matched
ssi_recipient,438,1374,2.6392694063926943,6,main,20260923,matched
ssi_any,1856,90172,1.144396551724138,4,main,20260923,matched
public_assistance_recipient,197,368,4.081218274111675,6,main,20260923,matched
public_assistance_any,3189,89087,1.0978363123236123,4,main,20260923,matched
unemployment_recipient,277,836,3.783393501805054,6,main,20260923,matched
unemployment_any,2154,90039,1.1884865366759516,4,main,20260923,matched
veterans_recipient,555,1338,2.533333333333333,7,main,20260923,matched
veterans_any,2637,89289,1.0830489192263937,4,main,20260923,matched
workers_comp_recipient,97,208,4.556701030927835,6,main,20260923,matched
workers_comp_any,2031,90342,1.155096011816839,4,main,20260923,matched
MCARE,33500,105672,0.6285970149253731,5,main,20260923,matched
MCAID,33735,105040,0.6332592263228102,5,main,20260923,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,main,20260923,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,main,20260923,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,main,20260923,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,main,20260923,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,main,20260923,matched
whole_supplement,21583,64536,0.6246119631191215,4,main,20260923,pooled
earnings_range,12563,41730,1.3296187216429196,6,main,20260923,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,main,20260923,pooled
earnings_any,642,75928,0.8909657320872274,3,main,20260923,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,main,20260923,pooled
social_security_any,2670,83709,0.8352059925093633,4,main,20260923,pooled
ssi_recipient,438,1374,2.2557077625570776,5,main,20260923,pooled
ssi_any,1856,90172,0.822198275862069,4,main,20260923,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,main,20260923,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,main,20260923,pooled
unemployment_recipient,277,836,3.299638989169675,4,main,20260923,pooled
unemployment_any,2154,90039,0.840297121634169,4,main,20260923,pooled
veterans_recipient,555,1338,2.2900900900900902,5,main,20260923,pooled
veterans_any,2637,89289,0.7717102768297307,4,main,20260923,pooled
workers_comp_recipient,97,208,4.0,5,main,20260923,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,main,20260923,pooled
MCARE,33500,105672,0.45546268656716415,4,main,20260923,pooled
MCAID,33735,105040,0.4588409663554172,4,main,20260923,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,main,20260923,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,main,20260923,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,main,20260923,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,main,20260923,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,main,20260923,pooled
whole_supplement,21583,64536,0.8469165546958254,5,main,20260924,matched
earnings_range,12563,41730,1.690440181485314,6,main,20260924,matched
earnings_recipient,3424,41730,1.071553738317757,5,main,20260924,matched
earnings_any,642,75928,1.1230529595015577,4,main,20260924,matched
social_security_recipient,6092,13260,1.1101444517399868,6,main,20260924,matched
social_security_any,2670,83709,1.1872659176029963,4,main,20260924,matched
ssi_recipient,438,1374,2.6392694063926943,6,main,20260924,matched
ssi_any,1856,90172,1.144396551724138,4,main,20260924,matched
public_assistance_recipient,197,368,4.081218274111675,6,main,20260924,matched
public_assistance_any,3189,89087,1.0978363123236123,4,main,20260924,matched
unemployment_recipient,277,836,3.783393501805054,6,main,20260924,matched
unemployment_any,2154,90039,1.1884865366759516,4,main,20260924,matched
veterans_recipient,555,1338,2.533333333333333,7,main,20260924,matched
veterans_any,2637,89289,1.0830489192263937,4,main,20260924,matched
workers_comp_recipient,97,208,4.556701030927835,6,main,20260924,matched
workers_comp_any,2031,90342,1.155096011816839,4,main,20260924,matched
MCARE,33500,105672,0.6285970149253731,5,main,20260924,matched
MCAID,33735,105040,0.6332592263228102,5,main,20260924,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,main,20260924,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,main,20260924,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,main,20260924,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,main,20260924,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,main,20260924,matched
whole_supplement,21583,64536,0.6246119631191215,4,main,20260924,pooled
earnings_range,12563,41730,1.3296187216429196,6,main,20260924,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,main,20260924,pooled
earnings_any,642,75928,0.8909657320872274,3,main,20260924,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,main,20260924,pooled
social_security_any,2670,83709,0.8352059925093633,4,main,20260924,pooled
ssi_recipient,438,1374,2.2557077625570776,5,main,20260924,pooled
ssi_any,1856,90172,0.822198275862069,4,main,20260924,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,main,20260924,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,main,20260924,pooled
unemployment_recipient,277,836,3.299638989169675,4,main,20260924,pooled
unemployment_any,2154,90039,0.840297121634169,4,main,20260924,pooled
veterans_recipient,555,1338,2.2900900900900902,5,main,20260924,pooled
veterans_any,2637,89289,0.7717102768297307,4,main,20260924,pooled
workers_comp_recipient,97,208,4.0,5,main,20260924,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,main,20260924,pooled
MCARE,33500,105672,0.45546268656716415,4,main,20260924,pooled
MCAID,33735,105040,0.4588409663554172,4,main,20260924,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,main,20260924,pooled
