on_books,lane_method,allocation,key,audit_alone_bn,lane_alone_bn,combined_bn,interaction_bn
0.44,b_hotdeck_union_matched,personal,medicare,0.0,-0.20848744464835048,-0.20848744464835048,0.0
0.44,b_hotdeck_union_matched,personal,population,0.0,3.950175632725724e-17,3.950175632725724e-17,0.0
0.44,b_hotdeck_union_matched,personal,positive_fica_worker,0.7897396075238755,0.0434522524755828,0.830307677178923,-0.002884182820535354
0.44,b_hotdeck_union_matched,personal,refundable_credits,-7.093236622126135,0.5381370447492176,-6.7957892728116445,-0.2406896954347274
0.44,b_hotdeck_union_matched,personal,self_payroll,0.7309951401077398,1.4940797725450452,2.12122225979289,-0.10385265285989509
0.44,b_hotdeck_union_matched,personal,snap,0.0,0.419601547548559,0.419601547548559,0.0
0.44,b_hotdeck_union_matched,personal,social_security,0.0,-3.6070300577646606,-3.6070300577646606,0.0
0.44,b_hotdeck_union_matched,personal,ssi,0.0,-0.15424427616891323,-0.15424427616891323,0.0
0.44,b_hotdeck_union_matched,personal,state_liability,1.7470346181383627,1.0723842357188862,2.4716917994856415,-0.34772705437160734
0.44,b_hotdeck_union_matched,personal,unemployment,0.0,-0.35012421337457833,-0.35012421337457833,0.0
0.44,b_hotdeck_union_matched,personal,veterans,0.0,0.28475777094181454,0.28475777094181454,0.0
0.44,b_hotdeck_union_matched,personal,wage,1.9983789463930117,0.618484316305537,2.403445101883938,-0.21341816081461096
0.44,b_hotdeck_union_matched,personal,wage_oasdi,7.1053010243258115,1.4788808201269128,8.135065665798507,-0.44911617865421727
0.44,b_hotdeck_union_matched,personal,wic,0.0,0.19918536667088804,0.19918536667088804,0.0
0.44,b_hotdeck_union_matched,personal,workers_comp,0.0,-0.25565211337794824,-0.25565211337794824,0.0
0.44,b_hotdeck_union_matched,personal,working_age,0.0,0.0,0.0,0.0
0.44,b_hotdeck_union_matched,shared,adults,0.0,0.0,0.0,0.0
0.44,b_hotdeck_union_matched,shared,age65plus,0.0,-5.296670283185275e-18,-5.296670283185275e-18,0.0
0.44,b_hotdeck_union_matched,shared,all_cash,0.0,-0.16674467808067714,-0.16674467808067714,0.0
0.44,b_hotdeck_union_matched,shared,cash_assistance,0.0,-1.6680484749120175,-1.6680484749120175,0.0
0.44,b_hotdeck_union_matched,shared,consumption,0.0,2.638079336030608,2.638079336030608,0.0
0.44,b_hotdeck_union_matched,shared,energy,0.0,-0.006603532837387376,-0.006603532837387376,0.0
0.44,b_hotdeck_union_matched,shared,federal_liability,6.6746291798028095,6.942522837593649,11.38006710866853,-2.237084908727928
0.44,b_hotdeck_union_matched,shared,medicare,0.0,-0.35045716808972716,-0.35045716808972716,0.0
0.44,b_hotdeck_union_matched,shared,population,0.0,3.950175632725724e-17,3.950175632725724e-17,0.0
0.44,b_hotdeck_union_matched,shared,positive_fica_worker,0.778554282935452,0.0270602696379064,0.8025309751044198,-0.0030835774689385934
0.44,b_hotdeck_union_matched,shared,refundable_credits,-6.712655349429724,0.38692986492168535,-6.57400321809638,-0.2482777335883416
0.44,b_hotdeck_union_matched,shared,self_payroll,0.7384652853147969,1.3762032193267495,2.0206075460671777,-0.09406095857436858
0.44,b_hotdeck_union_matched,shared,snap,0.0,0.419601547548559,0.419601547548559,0.0
0.44,b_hotdeck_union_matched,shared,social_security,0.0,-2.984548978028089,-2.984548978028089,0.0
0.44,b_hotdeck_union_matched,shared,ssi,0.0,-0.05013323410531216,-0.05013323410531216,0.0
0.44,b_hotdeck_union_matched,shared,state_liability,1.6734985749071636,0.8422175022529772,2.18384679193863,-0.3318692852215106
0.44,b_hotdeck_union_matched,shared,unemployment,0.0,-0.18014777672263665,-0.18014777672263665,0.0
0.44,b_hotdeck_union_matched,shared,veterans,0.0,-0.06967193900038855,-0.06967193900038855,0.0
0.44,b_hotdeck_union_matched,shared,wage,1.9365125875484708,0.42408337314511,2.1517451017924083,-0.2088508589011725
0.44,b_hotdeck_union_matched,shared,wage_oasdi,6.903303743667097,1.4623755383730637,7.922421028427209,-0.4432582536129517
0.44,b_hotdeck_union_matched,shared,wic,0.0,0.19918536667088804,0.19918536667088804,0.0
0.44,b_hotdeck_union_matched,shared,workers_comp,0.0,-0.4381971772015838,-0.4381971772015838,0.0
0.44,b_hotdeck_union_matched,shared,working_age,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,personal,adults,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,personal,age65plus,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,personal,all_cash,0.0,-0.2288651251068634,-0.2288651251068634,0.0
0.44,b_matched_over_pooled,personal,cash_assistance,0.0,3.0905226064037588,3.0905226064037588,0.0
0.44,b_matched_over_pooled,personal,consumption,0.0,2.9811119162129973,2.9811119162129973,0.0
0.44,b_matched_over_pooled,personal,energy,0.0,-0.009821952047376275,-0.009821952047376275,0.0
0.44,b_matched_over_pooled,personal,federal_liability,7.034660155692045,9.132991336195095,14.474787881414652,-1.6928636104724877
0.44,b_matched_over_pooled,personal,medicare,0.0,-1.0561538877228462,-1.0561538877228462,0.0
0.44,b_matched_over_pooled,personal,population,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,personal,positive_fica_worker,0.7897396075238755,0.013084553918700925,0.8001183465287395,-0.0027058149138369566
0.44,b_matched_over_pooled,personal,refundable_credits,-7.093236622126135,0.27207639746210094,-6.849594057719618,-0.02843383305558439
0.44,b_matched_over_pooled,personal,self_payroll,0.7309951401077398,0.8488450700045115,1.58577928923255,0.005939079120298674
0.44,b_matched_over_pooled,personal,snap,0.0,-0.3698316982951641,-0.3698316982951641,0.0
0.44,b_matched_over_pooled,personal,social_security,0.0,-4.1995597107797265,-4.1995597107797265,0.0
0.44,b_matched_over_pooled,personal,ssi,0.0,-0.03130575459805497,-0.03130575459805497,0.0
0.44,b_matched_over_pooled,personal,state_liability,1.7470346181383627,1.0880143260889477,2.627306285019108,-0.20774265920820256
0.44,b_matched_over_pooled,personal,unemployment,0.0,-0.48457886323104044,-0.48457886323104044,0.0
0.44,b_matched_over_pooled,personal,veterans,0.0,0.007942460066000847,0.007942460066000847,0.0
0.44,b_matched_over_pooled,personal,wage,1.9983789463930117,0.6713486472976036,2.491708352174474,-0.17801924151614124
0.44,b_matched_over_pooled,personal,wage_oasdi,7.1053010243258115,1.4481591546184487,8.118202384154184,-0.435257794790076
0.44,b_matched_over_pooled,personal,wic,0.0,-0.0146707494947402,-0.0146707494947402,0.0
0.44,b_matched_over_pooled,personal,workers_comp,0.0,0.41280364333182296,0.41280364333182296,0.0
0.44,b_matched_over_pooled,personal,working_age,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,shared,adults,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,shared,age65plus,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,shared,all_cash,0.0,-0.23179894974756382,-0.23179894974756382,0.0
0.44,b_matched_over_pooled,shared,cash_assistance,0.0,3.333812297236126,3.333812297236126,0.0
0.44,b_matched_over_pooled,shared,consumption,0.0,2.9811119162129973,2.9811119162129973,0.0
0.44,b_matched_over_pooled,shared,energy,0.0,-0.009821952047376275,-0.009821952047376275,0.0
0.44,b_matched_over_pooled,shared,federal_liability,6.6746291798028095,9.057388305357996,14.090654976361048,-1.6413625087997579
0.44,b_matched_over_pooled,shared,medicare,0.0,-1.0269778267521679,-1.0269778267521679,0.0
