method,profile,allocation,component,change_bn,se_bn
a_ipw_brief_cells,cbo_lag,personal,direct_receipts,-17.97175972866049,7.597000737231169
a_ipw_brief_cells,cbo_lag,personal,incidence_receipts,-15.338139762079798,2.9690938214625855
a_ipw_brief_cells,cbo_lag,personal,transfers,-3.979389550566662,2.928928708019228
a_ipw_brief_cells,cbo_lag,personal,income_security_services,2.5947230822173517,2.982890704277465
a_ipw_brief_cells,cbo_lag,personal,economic_affairs_services,0.4714463087994981,0.5698123991655735
a_ipw_brief_cells,cbo_lag,personal,subsidies,-0.2951263016399965,0.4104218069096634
a_ipw_brief_cells,cbo_lag,personal,net_cost_change,16.587093260311182,9.026540241722461
a_ipw_brief_cells,cbo_lag,shared,direct_receipts,-14.62115457641032,8.063270336408925
a_ipw_brief_cells,cbo_lag,shared,incidence_receipts,-21.1036625024024,3.4052679269953594
a_ipw_brief_cells,cbo_lag,shared,transfers,-3.686209860622334,2.8201646182508897
a_ipw_brief_cells,cbo_lag,shared,income_security_services,2.3178933388042,2.8578981375930526
a_ipw_brief_cells,cbo_lag,shared,economic_affairs_services,0.4714463087994981,0.5698123991655735
a_ipw_brief_cells,cbo_lag,shared,subsidies,-0.29596755792955,0.4108917316110731
a_ipw_brief_cells,cbo_lag,shared,net_cost_change,13.252838054592186,9.470836153094298
a_ipw_brief_cells,proportional,personal,direct_receipts,-17.97175972866049,7.597000737231169
a_ipw_brief_cells,proportional,personal,incidence_receipts,-15.338139762079798,2.9690938214625855
a_ipw_brief_cells,proportional,personal,transfers,-3.979389550566662,2.928928708019228
a_ipw_brief_cells,proportional,personal,income_security_services,2.5947230822173517,2.982890704277465
a_ipw_brief_cells,proportional,personal,economic_affairs_services,0.4714463087994981,0.5698123991655735
a_ipw_brief_cells,proportional,personal,subsidies,-0.2951263016399965,0.4104218069096634
a_ipw_brief_cells,proportional,personal,net_cost_change,17.05853956911068,8.70271864427887
a_ipw_brief_cells,proportional,shared,direct_receipts,-14.62115457641032,8.063270336408925
a_ipw_brief_cells,proportional,shared,incidence_receipts,-21.1036625024024,3.4052679269953594
a_ipw_brief_cells,proportional,shared,transfers,-3.686209860622334,2.8201646182508897
a_ipw_brief_cells,proportional,shared,income_security_services,2.3178933388042,2.8578981375930526
a_ipw_brief_cells,proportional,shared,economic_affairs_services,0.4714463087994981,0.5698123991655735
a_ipw_brief_cells,proportional,shared,subsidies,-0.29596755792955,0.4108917316110731
a_ipw_brief_cells,proportional,shared,net_cost_change,13.724284363391684,9.092638627967816
a_ipw_plus_labor_force,cbo_lag,personal,direct_receipts,-17.642209229880024,7.432112068496317
a_ipw_plus_labor_force,cbo_lag,personal,incidence_receipts,-14.069184672471469,3.0812706209447938
a_ipw_plus_labor_force,cbo_lag,personal,transfers,-4.766522677842015,3.0257823599893867
a_ipw_plus_labor_force,cbo_lag,personal,income_security_services,3.787604879934268,3.1035457568677027
a_ipw_plus_labor_force,cbo_lag,personal,economic_affairs_services,0.19018452571045164,0.5424606748348237
a_ipw_plus_labor_force,cbo_lag,personal,subsidies,-0.3468328694949591,0.414045630829573
a_ipw_plus_labor_force,cbo_lag,personal,net_cost_change,16.663291431972276,8.951119738675182
a_ipw_plus_labor_force,cbo_lag,shared,direct_receipts,-16.865301427664374,7.873172592451493
a_ipw_plus_labor_force,cbo_lag,shared,incidence_receipts,-20.925579501529633,3.3685261635527697
a_ipw_plus_labor_force,cbo_lag,shared,transfers,-4.979219206292732,2.828400079847878
a_ipw_plus_labor_force,cbo_lag,shared,income_security_services,2.684912177677547,2.874341241405393
a_ipw_plus_labor_force,cbo_lag,shared,economic_affairs_services,0.19018452571045164,0.5424606748348237
a_ipw_plus_labor_force,cbo_lag,shared,subsidies,-0.354842829227702,0.41445715156504603
a_ipw_plus_labor_force,cbo_lag,shared,net_cost_change,14.570994399049187,9.233924411605622
a_ipw_plus_labor_force,proportional,personal,direct_receipts,-17.642209229880024,7.432112068496317
a_ipw_plus_labor_force,proportional,personal,incidence_receipts,-14.069184672471469,3.0812706209447938
a_ipw_plus_labor_force,proportional,personal,transfers,-4.766522677842015,3.0257823599893867
a_ipw_plus_labor_force,proportional,personal,income_security_services,3.787604879934268,3.1035457568677027
a_ipw_plus_labor_force,proportional,personal,economic_affairs_services,0.19018452571045164,0.5424606748348237
a_ipw_plus_labor_force,proportional,personal,subsidies,-0.3468328694949591,0.414045630829573
