item,imputed_set,union_imputed,union_imputed_se,union_reported,union_reported_se,other_reported,other_reported_se,gap_reported,gap_reported_se,gap_imputed,gap_imputed_se,retained,retained_se,union_imputed_minus_reported,union_imputed_minus_reported_se,did_union_minus_other,did_union_minus_other_se,log_gap_reported,log_gap_reported_se,log_gap_imputed,log_gap_imputed_se,log_did_union_minus_other,log_did_union_minus_other_se,other_imputed_over_reported,other_imputed_over_reported_se,coverage,coverage_se,n_cells
wage,all_imputed,40260.748212525665,990.248176190508,35421.864256750465,827.1228683169859,43064.365254017925,1155.0872200530616,-7642.50099726746,1048.578031161359,-2803.61704149226,1305.0921144256395,0.3668454923976693,0.14710784697312906,4838.8839557752,1082.6833321934403,2822.6468427776344,1387.365442286944,-0.19536659902471137,0.025735950970495546,-0.06731885832555676,0.03115603806327616,0.08220124844713933,0.034269077070388614,1.0464316000464569,0.024097314375828512,0.9708068628670493,0.002972920280096927,213
wage,whole_supplement,35706.809144419836,1534.5706127389267,29954.17310452142,902.1633519368798,36283.99227929522,1159.2214871248227,-6329.819174773802,884.1422261934185,-577.183134875384,1511.6546517206004,0.09118477462604764,0.23427412893453398,5752.636039898418,1422.3358649104262,4399.721890245572,1630.2745583453186,-0.19170800940192267,0.025747314972564894,-0.01603525703210972,0.04219740552330083,0.13885408382018602,0.04591172801781631,1.0366414681677838,0.029092455229245858,0.9512949591372196,0.005974626962915903,172
wage,item_level,45017.304935808635,1217.3818552926425,41930.77115458937,975.018650506328,51246.29168663283,1502.0370360940262,-9315.520532043462,1334.6759246608622,-6228.986750824195,1770.478198796133,0.6686675993464638,0.1480010060287677,3086.5337812192665,1351.5282722419686,863.0880551888113,1783.0946946388126,-0.2006233055770392,0.027128003589810802,-0.12959628808919366,0.03646354273609866,0.027710558484264798,0.03762181663404646,1.0397223535653433,0.023964219643243242,0.9561438923252283,0.006565294324280645,130
self_employment,all_imputed,4330.162839322197,405.1865257099846,1019.3584408568232,110.55216486336768,1235.646936768083,84.7417230119009,-216.2884959112597,135.82243072332523,3094.5159025541143,415.74453862059465,-14.307353192856604,75.00656591374728,3310.804398465374,414.06547578150327,-461.92242766751633,544.2076257305599,-0.19242121851237182,0.12519273509999948,1.254010480175233,0.11733593630206646,0.04689715532823735,0.1683936536575132,4.043535945302303,0.35609050419976024,0.9565156402345321,0.00494805488615402,186
self_employment,whole_supplement,2149.6138938635963,393.59442486235247,966.4828668906198,106.10261381517859,1178.8241328127806,81.609375028359,-212.3412659221608,130.11590060160648,970.7897610508157,402.5653436317908,-4.571837493926799,14.558488142220297,1183.1310269729765,408.8087608403067,271.3606239172509,478.16058964407256,-0.19860915148095037,0.1262395960014126,0.6007707977354529,0.19705711071722587,0.22617675416394034,0.24872921978793686,1.773940237013522,0.22406599738616256,0.9512949591372196,0.005974626962915903,172
self_employment,item_level,17449.63132074746,1725.544668451444,1311.8077276097538,198.81311614322772,1689.9536002430948,159.22308328143944,-378.145872633341,233.38935689899583,15759.677720504365,1726.4181554321485,-41.676185993401845,55.0610450657822,16137.823593137706,1705.6423813427189,-6214.2324971403505,2801.092799003281,-0.2532949423760145,0.16416732275296883,2.3346174475937653,0.1339324682796141,-0.06328727256152034,0.2059183589531863,13.994748527012733,1.6538523041769817,0.8497798815482834,0.022764202795279506,65
interest,all_imputed,2096.667448369797,149.29434702887056,378.4794745402169,58.25656461429566,993.4841866456995,50.29981730501907,-615.0047121054827,73.43117552227825,1103.1832617240975,150.14472126546795,-1.7937801776303868,0.3329355922729455,1718.1879738295802,164.03975255473992,-129.16796820544573,190.7036401178288,-0.9650563020719519,0.15672546993548692,0.7468862888060799,0.08102898109709833,0.6613508402149253,0.18317366432397558,2.8593404182185584,0.13641601962012162,0.9630214881026139,0.00337389577685343,220
interest,whole_supplement,1544.8794240248628,212.6895248443774,247.79643228852387,37.6117137065469,681.2627377286291,45.48784086424222,-433.4663054401052,54.30009450213479,863.6166862962338,216.27131687157066,-1.9923502137481945,0.5864260531404275,1297.082991736339,216.2763918676268,190.42236681231043,260.6568525960026,-1.0113404718388628,0.15607537529054324,0.8187531001980366,0.15325741615932542,0.865140512731052,0.2263570735922268,2.6246651994861594,0.26188175081591847,0.9501142735115382,0.005989806171165557,171
interest,item_level,2635.4538576196032,211.96386989989068,504.61754573336606,86.40892381021746,1303.101233242639,70.74129990210022,-798.4836875092728,105.34356447103332,1332.3526243769643,208.237672385479,-1.6686034357608484,0.3381206333164265,2130.836311886237,235.41379333105286,-402.44969748077256,263.8638962468918,-0.9487014593710725,0.17179986922729776,0.7043084215825732,0.08703850963229871,0.5734067202480051,0.20091013791852302,2.943507207913489,0.14478148161657695,0.9487762180999489,0.005252676127715307,167
dividends,all_imputed,445.8478647900995,60.03284462196304,67.26582030673886,18.936846752557397,196.67814863532303,26.849673108642598,-129.41232832858418,32.710679700435875,249.16971615477647,63.85768494400334,-1.9253939665015722,0.8313010839385859,378.5820444833606,62.19664800714961,-289.7701991887441,85.80726439749124,-1.0729163924061527,0.31399486690007855,0.8184091540736862,0.18379565580161794,0.41034264031251944,0.33627162281686057,4.397265657039021,0.6193195615413807,0.9572632182124242,0.0048687271969596446,195
