method,profile,cost_low_bn,cost_high_bn,change_low_bn,change_high_bn
published,cbo_category_lag_non_school_fixed,158.8811,212.5633,0,0
a_ipw_brief_cells,cbo_category_lag_non_school_fixed,172.1339,229.1504,13.2528,16.5871
a_ipw_plus_labor_force,cbo_category_lag_non_school_fixed,173.4521,229.2266,14.5710,16.6633
a_ipw_brief_cells_derived_material_1pct,cbo_category_lag_non_school_fixed,167.6366,222.5846,8.7555,10.0212
a_ipw_brief_cells_derived_any_flag,cbo_category_lag_non_school_fixed,166.8210,221.4899,7.9399,8.9265
b_hotdeck_union_matched,cbo_category_lag_non_school_fixed,167.6848,223.7544,8.8037,11.1910
b_control_pooled_donors,cbo_category_lag_non_school_fixed,154.7895,210.6211,-4.0916,-1.9422
b_matched_over_pooled,cbo_category_lag_non_school_fixed,172.2654,226.1355,13.3843,13.5721
b_hotdeck_union_matched_all_items,cbo_category_lag_non_school_fixed,163.8323,220.3998,4.9513,7.8365
b_matched_over_pooled_all_items,cbo_category_lag_non_school_fixed,174.1530,229.7117,15.2719,17.1484
published,cbo_category_lag_non_school_full,203.2070,249.6400,0,0
a_ipw_brief_cells,cbo_category_lag_non_school_full,216.4599,266.2270,13.2528,16.5871
a_ipw_plus_labor_force,cbo_category_lag_non_school_full,217.7780,266.3032,14.5710,16.6633
a_ipw_brief_cells_derived_material_1pct,cbo_category_lag_non_school_full,211.9625,259.6612,8.7555,10.0212
a_ipw_brief_cells_derived_any_flag,cbo_category_lag_non_school_full,211.1469,258.5665,7.9399,8.9265
b_hotdeck_union_matched,cbo_category_lag_non_school_full,212.0107,260.8310,8.8037,11.1910
b_control_pooled_donors,cbo_category_lag_non_school_full,199.1154,247.6977,-4.0916,-1.9422
b_matched_over_pooled,cbo_category_lag_non_school_full,216.5913,263.2121,13.3843,13.5721
b_hotdeck_union_matched_all_items,cbo_category_lag_non_school_full,208.1583,257.4764,4.9513,7.8365
b_matched_over_pooled_all_items,cbo_category_lag_non_school_full,218.4789,266.7883,15.2719,17.1484
published,proportional_reference,307.8989,340.9715,0,0
a_ipw_brief_cells,proportional_reference,321.6232,358.0300,13.7243,17.0585
a_ipw_plus_labor_force,proportional_reference,322.6601,357.8250,14.7612,16.8535
a_ipw_brief_cells_derived_material_1pct,proportional_reference,317.3089,351.6472,9.4100,10.6757
a_ipw_brief_cells_derived_any_flag,proportional_reference,316.7605,350.8198,8.8616,9.8483
b_hotdeck_union_matched,proportional_reference,315.7176,351.1775,7.8187,10.2060
b_control_pooled_donors,proportional_reference,303.9395,339.1614,-3.9595,-1.8101
b_matched_over_pooled,proportional_reference,320.1701,353.4305,12.2712,12.4590
b_hotdeck_union_matched_all_items,proportional_reference,312.3148,348.2726,4.4159,7.3011
b_matched_over_pooled_all_items,proportional_reference,321.8787,356.8278,13.9798,15.8563
