item,measure,group,estimate,se,n_unweighted,n_flagged,note
interest,dollars_item_level_only,union,0.5539864074343128,0.031445365988178216,14152.0,2842.0,
interest,dollars_item_level_only,other,0.6614963013396987,0.008274275574730565,99818.0,35275.0,
interest,dollars_item_level_only,union_minus_other,-0.1075098939053859,0.03216096890732646,,,
dividends,persons_15plus,union,0.24184850916006945,0.007737370665920876,14152.0,3423.0,
dividends,persons_15plus,other,0.3240011433929862,0.002807185295308576,99818.0,32382.0,
dividends,persons_15plus,union_minus_other,-0.08215263423291674,0.008075068202592654,,,
dividends,dollars,union,0.7316783250734473,0.05503673878681857,14152.0,3423.0,
dividends,dollars,other,0.7199944112966653,0.017707664369461133,99818.0,32382.0,
dividends,dollars,union_minus_other,0.011683913776782018,0.05841895874030534,,,
dividends,dollars_whole_supplement_only,union,0.3252152409209305,0.0598177261920878,14152.0,2585.0,
dividends,dollars_whole_supplement_only,other,0.15535052656708107,0.011309335312137615,99818.0,18923.0,
dividends,dollars_whole_supplement_only,union_minus_other,0.16986471435384945,0.06065546785150789,,,
dividends,dollars_item_level_only,union,0.4064630841525163,0.05426682412771042,14152.0,838.0,
dividends,dollars_item_level_only,other,0.564643884729585,0.019893409734321077,99818.0,13459.0,
dividends,dollars_item_level_only,union_minus_other,-0.15818080057706874,0.057486925867078244,,,
rent,persons_15plus,union,0.21685197054998212,0.007804799188519748,14152.0,3070.0,
rent,persons_15plus,other,0.2425812881430648,0.002851657395032399,99818.0,24717.0,
rent,persons_15plus,union_minus_other,-0.025729317593082668,0.008176335012118499,,,
rent,dollars,union,0.4870819095446391,0.06511183188584313,14152.0,3070.0,
rent,dollars,other,0.47748677619951363,0.03176687337725298,99818.0,24717.0,
rent,dollars,union_minus_other,0.009595133345125462,0.07060988093352491,,,
rent,dollars_whole_supplement_only,union,0.19727473451652716,0.05036479439728427,14152.0,2585.0,
rent,dollars_whole_supplement_only,other,0.1493342016921401,0.016152689936434116,99818.0,18923.0,
rent,dollars_whole_supplement_only,union_minus_other,0.04794053282438707,0.052521472056216593,,,
rent,dollars_item_level_only,union,0.28980717502811165,0.05217613999485973,14152.0,485.0,
rent,dollars_item_level_only,other,0.3281525745073733,0.029509692336903627,99818.0,5794.0,
