method,profile,cost_low_bn,cost_high_bn,change_low_bn,change_high_bn
published,cbo_category_lag_non_school_fixed,158.8811,212.5633,0,0
status_0.44,cbo_category_lag_non_school_fixed,170.8734,224.8762,11.9923,12.3129
status_0.60,cbo_category_lag_non_school_fixed,165.8691,219.6890,6.9880,7.1256
status_0.75,cbo_category_lag_non_school_fixed,161.2056,214.8552,2.3245,2.2919
a_ipw_brief_cells,cbo_category_lag_non_school_fixed,172.1339,229.1504,13.2528,16.5871
a_ipw_brief_cells+status_0.44,cbo_category_lag_non_school_fixed,178.1600,235.2654,19.2789,22.7021
a_ipw_brief_cells+status_0.60,cbo_category_lag_non_school_fixed,174.8649,231.8340,15.9838,19.2707
a_ipw_brief_cells+status_0.75,cbo_category_lag_non_school_fixed,171.7907,228.6327,12.9096,16.0693
b_hotdeck_union_matched,cbo_category_lag_non_school_fixed,167.6848,223.7544,8.8037,11.1910
b_matched_over_pooled,cbo_category_lag_non_school_fixed,172.2654,226.1355,13.3843,13.5721
b_hotdeck_union_matched+status_0.44,cbo_category_lag_non_school_fixed,176.1106,232.4021,17.2295,19.8387
b_matched_over_pooled+status_0.44,cbo_category_lag_non_school_fixed,181.8483,235.9092,22.9672,23.3459
b_hotdeck_union_matched+status_recomputed_0.44,cbo_category_lag_non_school_fixed,175.8020,232.0914,16.9209,19.5281
b_matched_over_pooled+status_recomputed_0.44,cbo_category_lag_non_school_fixed,181.7805,235.7713,22.8994,23.2080
b_hotdeck_union_matched+status_0.60,cbo_category_lag_non_school_fixed,172.0995,228.2391,13.2184,15.6757
b_matched_over_pooled+status_0.60,cbo_category_lag_non_school_fixed,177.5469,231.4498,18.6659,18.8864
b_hotdeck_union_matched+status_recomputed_0.60,cbo_category_lag_non_school_fixed,171.9127,228.0512,13.0316,15.4879
b_matched_over_pooled+status_recomputed_0.60,cbo_category_lag_non_school_fixed,177.4885,231.3316,18.6074,18.7683
b_hotdeck_union_matched+status_0.75,cbo_category_lag_non_school_fixed,168.3612,224.3594,9.4801,11.7960
b_matched_over_pooled+status_0.75,cbo_category_lag_non_school_fixed,173.5393,227.2948,14.6582,14.7315
b_hotdeck_union_matched+status_recomputed_0.75,cbo_category_lag_non_school_fixed,168.2872,224.2852,9.4061,11.7218
b_matched_over_pooled+status_recomputed_0.75,cbo_category_lag_non_school_fixed,173.4891,227.1947,14.6080,14.6313
