method,side,line,key,allocation,preferred,direct,response_class,published_target_bn,change_bn,change_se_bn
a_ipw_brief_cells,receipts,federal_income_tax,federal_liability,personal,True,True,personal_income,128.208871988,-13.43294999214848,4.9486928445483525
a_ipw_brief_cells,receipts,federal_income_tax,federal_liability,shared,True,True,personal_income,137.944695428,-11.45017915053961,5.007596792769641
a_ipw_brief_cells,receipts,state_local_income_tax,state_liability,personal,True,True,personal_income,26.832079605,-2.183872997117759,0.9661746084889791
a_ipw_brief_cells,receipts,state_local_income_tax,state_liability,shared,True,True,personal_income,28.783372481,-2.0074760527244537,0.995481523920002
a_ipw_brief_cells,receipts,personal_property_tax,capital,personal,True,False,household_direct,0.404313967,-0.16831038280049246,0.033530101797877666
a_ipw_brief_cells,receipts,personal_property_tax,capital,shared,True,False,household_direct,0.482760064,-0.23304814242398553,0.038176094852145896
a_ipw_brief_cells,receipts,other_personal_tax,state_liability,personal,True,True,household_direct,0.486480231,-0.039594807970243846,0.017517272359398033
a_ipw_brief_cells,receipts,other_personal_tax,state_liability,shared,True,True,household_direct,0.521858234,-0.03639663520607276,0.018048622712748714
a_ipw_brief_cells,receipts,employee_oasdi,wage_oasdi,personal,True,True,household_direct,55.142869112,-1.2795368922222734,0.5486099410127161
a_ipw_brief_cells,receipts,employee_oasdi,wage_oasdi,shared,True,True,household_direct,57.970192578,-0.8216744876988284,0.5992542247768722
a_ipw_brief_cells,receipts,employee_hi,wage,personal,True,True,household_direct,16.376286555,-0.4660134753461773,0.21509634978181144
a_ipw_brief_cells,receipts,employee_hi,wage,shared,True,True,household_direct,17.279240109,-0.4863194775345439,0.2386996409213732
a_ipw_brief_cells,receipts,self_employment_oasdi_hi,self_payroll,personal,True,True,household_direct,8.897073678,-0.07424179081391423,0.5503850745848387
a_ipw_brief_cells,receipts,self_employment_oasdi_hi,self_payroll,shared,True,True,household_direct,9.274939912,0.1291047702722432,0.6771802869253428
a_ipw_brief_cells,receipts,employer_oasdi,wage_oasdi,personal,True,True,household_direct,55.619046273,-1.2905861222487045,0.5533473717737069
a_ipw_brief_cells,receipts,employer_oasdi,wage_oasdi,shared,True,True,household_direct,58.470784625,-0.8287699223647773,0.6044289859065577
