method,allocation,profile,component,change_bn,se_bn,net_cost_change_non_ptc_low_bn,net_cost_change_non_ptc_high_bn
status_0.44,personal,cbo_lag,net_cost_change,12.312872870054711,1.4736370351693096,16.033101867673313,15.413063701403546
status_0.44,shared,cbo_lag,net_cost_change,11.992308304746068,1.4206728395262724,15.512931739761658,14.92616116725906
status_0.60,personal,cbo_lag,net_cost_change,7.125644466953991,1.1166382151673768,10.634502134228015,10.049692523015677
status_0.60,shared,cbo_lag,net_cost_change,6.987964286984687,1.0749996779706836,10.307296469631721,9.754074439190548
status_0.75,personal,cbo_lag,net_cost_change,2.2918556079089836,0.8069036812476483,5.604713186064064,5.05257025637155
status_0.75,shared,cbo_lag,net_cost_change,2.3244980582131483,0.7760646941664194,5.457192981235854,4.935077160732069
a_ipw_brief_cells,personal,cbo_lag,net_cost_change,16.587093260311182,9.026540241722461,16.3415368776446,16.382462941422364
a_ipw_brief_cells,shared,cbo_lag,net_cost_change,13.252838054592186,9.470836153094298,12.92350591500385,12.978394604935238
a_ipw_brief_cells+status_0.44,personal,cbo_lag,net_cost_change,22.702056181263657,8.924837729905644,26.26607670485418,25.672073284255756
a_ipw_brief_cells+status_0.44,shared,cbo_lag,net_cost_change,19.27892218654728,9.409690041853416,22.479619787441383,21.946170187292363
a_ipw_brief_cells+status_0.60,personal,cbo_lag,net_cost_change,19.270673665831314,8.92163668481879,22.615046807098814,22.057651283554232
a_ipw_brief_cells+status_0.60,shared,cbo_lag,net_cost_change,15.983770152595461,9.390712759502751,18.98731530215891,18.486724443898332
a_ipw_brief_cells+status_0.75,personal,cbo_lag,net_cost_change,16.06932893989893,8.924999400087067,19.21023537099524,18.68675096581252
a_ipw_brief_cells+status_0.75,shared,cbo_lag,net_cost_change,12.909591262091144,9.379712342016187,15.73049598016305,15.260345193817733
b_hotdeck_union_matched,personal,cbo_lag,net_cost_change,11.191044054331327,5.248937288696573,10.908804345546772,10.955844297010865
b_hotdeck_union_matched,shared,cbo_lag,net_cost_change,8.80370589652338,5.088953250801297,8.600770652683336,8.634593193323344
b_matched_over_pooled,personal,cbo_lag,net_cost_change,13.572112370324174,3.9707008420078886,13.429414959067827,13.453197860943884
b_matched_over_pooled,shared,cbo_lag,net_cost_change,13.384304395727442,3.9320895215957274,13.222922834207079,13.249819761127139
b_hotdeck_union_matched+status_0.44,personal,cbo_lag,net_cost_change,19.838715773593176,5.3978847521643445,23.402940916676208,22.808903392829034
b_hotdeck_union_matched+status_0.44,shared,cbo_lag,net_cost_change,17.22952862517423,5.239161271806705,20.677432410889114,20.102781779936635
b_matched_over_pooled+status_0.44,personal,cbo_lag,net_cost_change,23.345901365542858,4.006942157017128,26.938345801409792,26.339605062098634
b_matched_over_pooled+status_0.44,shared,cbo_lag,net_cost_change,22.967195566990853,3.953001635517016,26.308508204325417,25.751622764769657
b_hotdeck_union_matched+status_recomputed_0.44,personal,cbo_lag,net_cost_change,19.52808839676121,5.403216502570256,23.004229275853593,22.424872462671527
b_hotdeck_union_matched+status_recomputed_0.44,shared,cbo_lag,net_cost_change,16.920865951286956,5.246889979741691,20.28039308536626,19.72047189635304
b_matched_over_pooled+status_recomputed_0.44,personal,cbo_lag,net_cost_change,23.20797875438705,4.019795352221862,26.844316173171027,26.23825993670703
b_matched_over_pooled+status_recomputed_0.44,shared,cbo_lag,net_cost_change,22.89944045570681,3.954103099910677,26.263119219128555,25.702506091891596
b_hotdeck_union_matched+status_0.60,personal,cbo_lag,net_cost_change,15.675726064441763,5.348526518763631,19.00842205853334,18.452972726184743
b_hotdeck_union_matched+status_0.60,shared,cbo_lag,net_cost_change,13.218446176042015,5.1908446850994805,16.445166694255327,15.907379941219776
b_matched_over_pooled+status_0.60,personal,cbo_lag,net_cost_change,18.886444232097276,3.9537515604099784,22.26438785865284,21.701397254226908
b_matched_over_pooled+status_0.60,shared,cbo_lag,net_cost_change,18.665854281485622,3.906944512172837,21.805600380925235,21.282309364351967
b_hotdeck_union_matched+status_recomputed_0.60,personal,cbo_lag,net_cost_change,15.48788052204747,5.351815082122077,18.741070795831035,18.198872416867108
b_hotdeck_union_matched+status_recomputed_0.60,shared,cbo_lag,net_cost_change,13.031641150991817,5.197869941928402,16.17882744892696,15.654296399271102
b_matched_over_pooled+status_recomputed_0.60,personal,cbo_lag,net_cost_change,18.76827841664098,3.9650230280233782,22.188100065265857,21.618129790495043
b_matched_over_pooled+status_recomputed_0.60,shared,cbo_lag,net_cost_change,18.607382001315834,3.9090066666744243,21.76855455529304,21.241692462963503
b_hotdeck_union_matched+status_0.75,personal,cbo_lag,net_cost_change,11.796036180071777,5.308839677197008,14.914219860687556,14.394522580584926
b_hotdeck_union_matched+status_0.75,shared,cbo_lag,net_cost_change,9.480128565908053,5.15191169497643,12.501938436332281,11.998303457928243
b_matched_over_pooled+status_0.75,personal,cbo_lag,net_cost_change,14.731462192981471,3.940549365906503,17.91059276783796,17.38073767202855
b_matched_over_pooled+status_0.75,shared,cbo_lag,net_cost_change,14.658173201169213,3.898897009784705,17.611103546676482,17.118948489091935
b_hotdeck_union_matched+status_recomputed_0.75,personal,cbo_lag,net_cost_change,11.721810898168208,5.309636160504077,14.768388234892148,14.260625345438157
b_hotdeck_union_matched+status_recomputed_0.75,shared,cbo_lag,net_cost_change,9.406090146431712,5.1576348151819955,12.356513077698969,11.864775922487759
b_matched_over_pooled+status_recomputed_0.75,personal,cbo_lag,net_cost_change,14.631345134008328,3.9505962562063663,17.85055633193495,17.314021132280512
b_matched_over_pooled+status_recomputed_0.75,shared,cbo_lag,net_cost_change,14.608020429423103,3.9022311064684443,17.58157986924355,17.085986629273478
