allocation,structure,group,category,per_person,gap_vs_white,total_bn,gap_vs_white_bn
shared,own_ages_today,mexico_born,cash_transfers_incl_social_security,-2113.510014,4176.369761,-25.828745,51.038504
shared,own_ages_today,mexico_born,corporate_tax_incidence,668.355756,-2023.560257,8.167830,-24.729489
shared,own_ages_today,mexico_born,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,own_ages_today,mexico_born,income_payroll_tax,6175.724515,-7963.205539,75.472182,-97.316598
shared,own_ages_today,mexico_born,institutions,-472.160226,355.326507,-5.770167,4.342368
shared,own_ages_today,mexico_born,k12_schooling,-2591.034351,-469.102756,-31.664466,-5.732802
shared,own_ages_today,mexico_born,noncash_aid,-253.177965,-97.836252,-3.094033,-1.195635
shared,own_ages_today,mexico_born,public_medical,-3574.026889,1856.839072,-43.677403,22.692025
shared,own_ages_today,mexico_born,rest_of_federal_budget,-2141.814873,854.085068,-26.174652,10.437587
shared,own_ages_today,mexico_born,sales_excise_property_tax,2047.861951,-1212.017546,25.026474,-14.811802
shared,own_ages_today,mexico_born,state_local_services_capital,-3675.294346,-184.888374,-44.914971,-2.259480
shared,own_ages_today,mexican_second_gen,cash_transfers_incl_social_security,-1894.678061,4395.201714,-27.156833,62.997383
shared,own_ages_today,mexican_second_gen,corporate_tax_incidence,793.712453,-1898.203560,11.376453,-27.207365
shared,own_ages_today,mexican_second_gen,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,own_ages_today,mexican_second_gen,income_payroll_tax,6309.146867,-7829.783187,90.430375,-112.225987
shared,own_ages_today,mexican_second_gen,institutions,-453.354117,374.132616,-6.498023,5.362524
shared,own_ages_today,mexican_second_gen,k12_schooling,-3811.083077,-1689.151482,-54.625083,-24.210976
shared,own_ages_today,mexican_second_gen,noncash_aid,-352.302436,-196.960723,-5.049627,-2.823081
shared,own_ages_today,mexican_second_gen,public_medical,-2648.538460,2782.327502,-37.962078,39.879706
shared,own_ages_today,mexican_second_gen,rest_of_federal_budget,-2197.771947,798.127994,-31.501144,11.439742
shared,own_ages_today,mexican_second_gen,sales_excise_property_tax,2098.268237,-1161.611260,30.074935,-16.649627
shared,own_ages_today,mexican_second_gen,state_local_services_capital,-3723.906906,-233.500934,-53.375568,-3.346820
shared,own_ages_today,mexican_third_plus_selfid,cash_transfers_incl_social_security,-2703.551021,3586.328754,-38.775882,51.437188
shared,own_ages_today,mexican_third_plus_selfid,corporate_tax_incidence,1046.233594,-1645.682420,15.005683,-23.603323
shared,own_ages_today,mexican_third_plus_selfid,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,own_ages_today,mexican_third_plus_selfid,income_payroll_tax,8574.031418,-5564.898636,122.973685,-79.814974
shared,own_ages_today,mexican_third_plus_selfid,institutions,-474.138641,353.348092,-6.800369,5.067921
shared,own_ages_today,mexican_third_plus_selfid,k12_schooling,-3476.460181,-1354.528586,-49.861390,-19.427427
shared,own_ages_today,mexican_third_plus_selfid,noncash_aid,-344.198912,-188.857199,-4.936699,-2.708698
shared,own_ages_today,mexican_third_plus_selfid,public_medical,-3234.327426,2196.538536,-46.388582,31.504018
shared,own_ages_today,mexican_third_plus_selfid,rest_of_federal_budget,-2403.727363,592.172578,-34.475639,8.493279
shared,own_ages_today,mexican_third_plus_selfid,sales_excise_property_tax,2325.823641,-934.055855,33.358299,-13.396766
shared,own_ages_today,mexican_third_plus_selfid,state_local_services_capital,-3532.905889,-42.499917,-50.670966,-0.609558
shared,own_ages_today,mexican_observed_total,cash_transfers_incl_social_security,-2243.744423,4046.135352,-91.761460,165.473074
shared,own_ages_today,mexican_observed_total,corporate_tax_incidence,844.813224,-1847.102790,34.549967,-75.540176
shared,own_ages_today,mexican_observed_total,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,own_ages_today,mexican_observed_total,income_payroll_tax,7063.580479,-7075.349575,288.876243,-289.357559
shared,own_ages_today,mexican_observed_total,institutions,-466.262996,361.223736,-19.068559,14.772813
shared,own_ages_today,mexican_observed_total,k12_schooling,-3329.152656,-1207.221060,-136.150938,-49.371206
shared,own_ages_today,mexican_observed_total,noncash_aid,-319.839963,-164.498250,-13.080359,-6.727415
shared,own_ages_today,mexican_observed_total,public_medical,-3130.532724,2300.333237,-128.028064,94.075749
shared,own_ages_today,mexican_observed_total,rest_of_federal_budget,-2253.280062,742.619880,-92.151435,30.370609
shared,own_ages_today,mexican_observed_total,sales_excise_property_tax,2163.010240,-1096.869257,88.459709,-44.858195
shared,own_ages_today,mexican_observed_total,state_local_services_capital,-3642.395682,-151.989710,-148.961505,-6.215858
shared,own_ages_today,third_plus_nh_white,cash_transfers_incl_social_security,-6289.879775,0.000000,-1088.488184,0.000000
shared,own_ages_today,third_plus_nh_white,corporate_tax_incidence,2691.916013,0.000000,465.846547,0.000000
shared,own_ages_today,third_plus_nh_white,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,own_ages_today,third_plus_nh_white,income_payroll_tax,14138.930054,0.000000,2446.796894,0.000000
shared,own_ages_today,third_plus_nh_white,institutions,-827.486733,0.000000,-143.199801,0.000000
shared,own_ages_today,third_plus_nh_white,k12_schooling,-2121.931595,0.000000,-367.208524,0.000000
shared,own_ages_today,third_plus_nh_white,noncash_aid,-155.341713,0.000000,-26.882488,0.000000
shared,own_ages_today,third_plus_nh_white,public_medical,-5430.865961,0.000000,-939.832499,0.000000
shared,own_ages_today,third_plus_nh_white,rest_of_federal_budget,-2995.899941,0.000000,-518.452149,0.000000
shared,own_ages_today,third_plus_nh_white,sales_excise_property_tax,3259.879497,0.000000,564.134839,0.000000
shared,own_ages_today,third_plus_nh_white,state_local_services_capital,-3490.405972,0.000000,-604.028343,0.000000
shared,own_ages_today,all_native,cash_transfers_incl_social_security,-5303.570830,986.308945,-1504.475499,279.788408
shared,own_ages_today,all_native,corporate_tax_incidence,2159.219166,-532.696847,612.510408,-151.111276
shared,own_ages_today,all_native,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,own_ages_today,all_native,income_payroll_tax,12559.371026,-1579.559028,3562.744157,-448.076953
shared,own_ages_today,all_native,institutions,-850.364020,-22.877288,-241.224615,-6.489650
shared,own_ages_today,all_native,k12_schooling,-2555.079096,-433.147501,-724.804857,-122.871896
shared,own_ages_today,all_native,noncash_aid,-230.398099,-75.056385,-65.357531,-21.291408
shared,own_ages_today,all_native,public_medical,-4757.839418,673.026544,-1349.666679,190.918907
shared,own_ages_today,all_native,rest_of_federal_budget,-2812.295647,183.604294,-797.770037,52.083430
shared,own_ages_today,all_native,sales_excise_property_tax,2985.284263,-274.595234,846.842094,-77.895029
shared,own_ages_today,all_native,state_local_services_capital,-3553.447703,-63.041730,-1008.014256,-17.883185
shared,white_ages_today,mexico_born,cash_transfers_incl_social_security,-2784.294538,3505.585236,-34.026256,42.840993
shared,white_ages_today,mexico_born,corporate_tax_incidence,597.307325,-2094.608688,7.299563,-25.597756
shared,white_ages_today,mexico_born,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,white_ages_today,mexico_born,income_payroll_tax,5348.643933,-8790.286122,65.364611,-107.424169
shared,white_ages_today,mexico_born,institutions,-513.597020,313.889713,-6.276557,3.835978
shared,white_ages_today,mexico_born,k12_schooling,-2878.737203,-756.805608,-35.180419,-9.248756
shared,white_ages_today,mexico_born,noncash_aid,-277.798413,-122.456699,-3.394914,-1.496517
shared,white_ages_today,mexico_born,public_medical,-4453.505401,977.360561,-54.425318,11.944110
shared,white_ages_today,mexico_born,rest_of_federal_budget,-2133.761079,862.138862,-26.076229,10.536011
shared,white_ages_today,mexico_born,sales_excise_property_tax,1995.438954,-1264.440543,24.385824,-15.452452
shared,white_ages_today,mexico_born,state_local_services_capital,-3645.527732,-155.121760,-44.551199,-1.895709
shared,white_ages_today,mexican_second_gen,cash_transfers_incl_social_security,-5036.751199,1253.128576,-72.192851,17.961365
shared,white_ages_today,mexican_second_gen,corporate_tax_incidence,1275.769542,-1416.146471,18.285883,-20.297936
shared,white_ages_today,mexican_second_gen,enforcement_defense_interest,0.000000,0.000000,0.000000,0.000000
shared,white_ages_today,mexican_second_gen,income_payroll_tax,7820.107181,-6318.822873,112.087298,-90.569064
shared,white_ages_today,mexican_second_gen,institutions,-822.971166,4.515567,-11.795825,0.064723
shared,white_ages_today,mexican_second_gen,k12_schooling,-2515.096416,-393.164821,-36.049424,-5.635317
shared,white_ages_today,mexican_second_gen,noncash_aid,-278.159843,-122.818130,-3.986926,-1.760379
shared,white_ages_today,mexican_second_gen,public_medical,-5376.854443,54.011519,-77.067625,0.774159
shared,white_ages_today,mexican_second_gen,rest_of_federal_budget,-2618.476378,377.423563,-37.531192,5.409694
