group,reference,base_common_age_gap_per_person,complete_common_age_gap_per_person,base_common_age_se,complete_common_age_se,base_age_matched_gap_bn,complete_age_matched_gap_bn,base_age_matched_se_bn,complete_age_matched_se_bn
mexico_born,third_plus_nh_white,-6561.711620368309,-7782.724760181735,320.9966375516852,385.1632702603119,-103.10087003258417,-122.2336228262268,4.90525078988575,5.761989690326464
mexico_born,all_native,-5055.6828268015515,-5581.874341860899,294.0468686088278,351.8536595108277,-85.15752531182201,-95.81778075620345,4.285784219461249,5.039106396790017
mexican_second_gen,third_plus_nh_white,-5943.399390763294,-7565.007162204891,469.0053612568862,616.834014217725,-113.72329480855052,-142.00235483926633,5.050134871509685,5.887572057344771
mexican_second_gen,all_native,-4437.370597196537,-5364.1567438840575,444.7121856205837,588.8327122858698,-84.27855309418668,-101.8410183898111,4.060206523181386,4.722521064324444
mexican_third_plus_selfid,third_plus_nh_white,-4622.449839398683,-6270.46616183965,370.7461756823512,460.7503979851884,-73.76550875782262,-96.89709830683046,4.930973403606858,5.624813497818926
mexican_third_plus_selfid,all_native,-3116.421045831926,-4069.6157435188134,356.9336275219065,445.0572983097439,-45.55972248294334,-58.147443683488454,4.361733588326319,4.919234610328416
mexican_observed_total,third_plus_nh_white,-5795.340382266619,-7224.219110123849,245.093906680334,301.5661435474292,-290.58967359895735,-361.1330759723237,10.645222035388553,11.992126007119106
mexican_observed_total,all_native,-4289.31158869986,-5023.368691803013,206.60573747480774,257.0994078762685,-214.995800888952,-255.806242829503,8.347166359669167,9.339518094816516
