allocation,structure,group,receipts_per_person,receipts_gap_vs_white,spending_per_person,spending_gap_vs_white,net_per_person,net_gap_vs_white
shared,own_ages_today,mexico_born,8891.942222,-11198.783342,-14821.018665,6490.793026,-5929.076442,-4707.990315
shared,own_ages_today,mexican_second_gen,9201.127556,-10889.598007,-15081.635004,6230.176687,-5880.507448,-4659.421321
shared,own_ages_today,mexican_third_plus_selfid,11946.088653,-8144.636911,-16169.309433,5142.502258,-4223.220780,-3002.134653
shared,own_ages_today,mexican_observed_total,10071.403943,-10019.321621,-15385.208505,5926.603186,-5313.804562,-4092.718435
shared,own_ages_today,third_plus_nh_white,20090.725564,0.000000,-21311.811691,0.000000,-1221.086127,0.000000
shared,own_ages_today,all_native,17703.874455,-2386.851109,-20062.994812,1248.816878,-2359.120357,-1138.034230
shared,white_ages_today,mexico_born,7941.390212,-12149.335352,-16687.221386,4624.590305,-8745.831175,-7524.745048
shared,white_ages_today,mexican_second_gen,11695.325948,-8395.399616,-20358.973114,952.838577,-8663.647166,-7442.561039
shared,white_ages_today,mexican_third_plus_selfid,13107.176545,-6983.549019,-20444.036303,867.775388,-7336.859758,-6115.773631
shared,white_ages_today,mexican_observed_total,10355.645125,-9735.080439,-18658.823345,2652.988346,-8303.178220,-7082.092093
shared,white_ages_today,third_plus_nh_white,20090.725564,0.000000,-21311.811691,0.000000,-1221.086127,0.000000
shared,white_ages_today,all_native,18238.117183,-1852.608381,-21603.610149,-291.798458,-3365.492966,-2144.406839
shared,union_ages_today,mexico_born,7580.888489,-12023.473727,-13834.650736,2367.109625,-6253.762246,-9656.364101
shared,union_ages_today,mexican_second_gen,10549.025536,-9055.336680,-16468.415504,-266.655143,-5919.389969,-9321.991823
shared,union_ages_today,mexican_third_plus_selfid,12838.476937,-6765.885278,-16328.246790,-126.486429,-3489.769852,-6892.371707
shared,union_ages_today,mexican_observed_total,10071.403943,-9532.958273,-15385.208505,816.551856,-5313.804562,-8716.406417
shared,union_ages_today,third_plus_nh_white,19604.362216,0.000000,-16201.760361,0.000000,3402.601855,0.000000
shared,union_ages_today,all_native,17538.173756,-2066.188460,-16689.541723,-487.781362,848.632033,-2553.969822
shared,stationary_life_course,mexico_born,7677.090760,-11925.608563,-16319.886204,4354.447614,-8642.795444,-7571.160949
shared,stationary_life_course,mexican_second_gen,11227.909033,-8374.790290,-19852.207308,822.126510,-8624.298275,-7552.663780
shared,stationary_life_course,mexican_third_plus_selfid,12806.003354,-6796.695969,-19780.824647,893.509172,-6974.821292,-5903.186797
shared,stationary_life_course,mexican_observed_total,10120.230347,-9482.468976,-18240.554578,2433.779241,-8120.324231,-7048.689736
shared,stationary_life_course,third_plus_nh_white,19602.699323,0.000000,-20674.333818,0.000000,-1071.634495,0.000000
shared,stationary_life_course,all_native,17710.007404,-1892.691919,-20978.799979,-304.466161,-3268.792575,-2197.158080
personal,own_ages_today,mexico_born,9682.326282,-10409.987625,-13113.393001,8134.946313,-3431.066719,-2275.041312
personal,own_ages_today,mexican_second_gen,9115.744732,-10976.569175,-15914.127790,5334.211524,-6798.383058,-5642.357651
personal,own_ages_today,mexican_third_plus_selfid,9858.371352,-10233.942555,-16821.417390,4426.921925,-6963.046038,-5807.020631
personal,own_ages_today,mexican_observed_total,9545.493375,-10546.820532,-15395.397294,5852.942020,-5849.903919,-4693.878512
personal,own_ages_today,third_plus_nh_white,20092.313907,0.000000,-21248.339314,0.000000,-1156.025407,0.000000
personal,own_ages_today,all_native,17077.836787,-3014.477120,-20237.532180,1010.807134,-3159.695393,-2003.669986
personal,white_ages_today,mexico_born,7853.310703,-12239.003204,-16839.434390,4408.904924,-8986.123687,-7830.098280
personal,white_ages_today,mexican_second_gen,12835.086859,-7257.227048,-20789.799559,458.539755,-7954.712700,-6798.687293
personal,white_ages_today,mexican_third_plus_selfid,12987.843309,-7104.470598,-20162.355054,1085.984260,-7174.511745,-6018.486338
personal,white_ages_today,mexican_observed_total,10270.342000,-9821.971907,-18563.936337,2684.402977,-8293.594337,-7137.568930
personal,white_ages_today,third_plus_nh_white,20092.313907,0.000000,-21248.339314,0.000000,-1156.025407,0.000000
personal,white_ages_today,all_native,18475.612381,-1616.701526,-21510.694900,-262.355586,-3035.082519,-1879.057112
personal,union_ages_today,mexico_born,7411.944172,-10561.535738,-14375.765255,1970.595483,-6963.821083,-8590.940255
personal,union_ages_today,mexican_second_gen,11409.821865,-6563.658046,-16867.302887,-520.942149,-5457.481022,-7084.600195
personal,union_ages_today,mexican_third_plus_selfid,11906.503902,-6066.976008,-16090.825712,255.535026,-4184.321810,-5811.440982
personal,union_ages_today,mexican_observed_total,9545.493375,-8427.986535,-15395.397294,950.963443,-5849.903919,-7477.023092
personal,union_ages_today,third_plus_nh_white,17973.479910,0.000000,-16346.360738,0.000000,1627.119173,0.000000
personal,union_ages_today,all_native,16463.799333,-1509.680577,-16759.671598,-413.310860,-295.872265,-1922.991437
personal,stationary_life_course,mexico_born,7442.561511,-11453.268452,-16790.934391,4055.184704,-9348.372880,-7398.083748
personal,stationary_life_course,mexican_second_gen,12003.904408,-6891.925555,-20488.053171,358.065924,-8484.148763,-6533.859631
personal,stationary_life_course,mexican_third_plus_selfid,12312.272376,-6583.557587,-19692.711852,1153.407243,-7380.439477,-5430.150345
personal,stationary_life_course,mexican_observed_total,9740.641865,-9155.188098,-18367.924520,2478.194575,-8627.282655,-6676.993523
personal,stationary_life_course,third_plus_nh_white,18895.829963,0.000000,-20846.119095,0.000000,-1950.289132,0.000000
personal,stationary_life_course,all_native,17359.593134,-1536.236829,-21114.615050,-268.495955,-3755.021916,-1804.732784
