m,union_absolute_bn,union_per_person,se_bn,break_even_m_star
0.0,34.77277875217551,850.261408758509,8.045334091908543,0.12044407952168636
0.05,20.337540884832038,497.2920423375482,8.063859722340462,0.12044407952168636
0.1,5.902303017488563,144.32267591658743,8.084588844683429,0.12044407952168636
0.15,-8.532934849854913,-208.64669050437334,8.10750455740919,0.12044407952168636
0.2,-22.96817271719839,-561.6160569253341,8.132588376653393,0.12044407952168636
0.25,-37.40341058454186,-914.5854233462949,8.159820307738464,0.12044407952168636
0.3,-51.83864845188534,-1267.5547897672557,8.18917892098593,0.12044407952168636
0.35,-66.27388631922881,-1620.5241561882165,8.220641431183793,0.12044407952168636
0.4,-80.7091241865723,-1973.4935226091773,8.254183780066136,0.12044407952168636
0.45,-95.14436205391577,-2326.4628890301383,8.289780721162309,0.12044407952168636
0.5,-109.57959992125924,-2679.432255451099,8.327405906381516,0.12044407952168636
0.55,-124.01483778860272,-3032.40162187206,8.367031973714296,0.12044407952168636
0.6,-138.4500756559462,-3385.37098829302,8.40863063545503,0.12044407952168636
0.65,-152.88531352328968,-3738.340354713981,8.452172766378151,0.12044407952168636
0.7,-167.32055139063314,-4091.309721134942,8.49762849133405,0.12044407952168636
0.75,-181.75578925797663,-4444.279087555903,8.544967271768575,0.12044407952168636
0.8,-196.1910271253201,-4797.248453976864,8.594157990710663,0.12044407952168636
0.85,-210.62626499266358,-5150.217820397825,8.645169035816004,0.12044407952168636
0.9,-225.06150286000704,-5503.187186818785,8.697968380099098,0.12044407952168636
0.95,-239.49674072735053,-5856.156553239746,8.752523660031532,0.12044407952168636
1.0,-253.931978594694,-6209.125919660706,8.80880225072943,0.12044407952168636
