group,reference,item,arm,common_age_gap_per_person,age_matched_gap_bn,external
mexico_born,third_plus_nh_white,G,deflated2024,-194.2231230757622,-2.705120501767928,False
mexico_born,third_plus_nh_white,K,central,-135.72711158530404,-1.6345855879392974,False
mexico_born,third_plus_nh_white,U,central,-40.937201556339865,-0.3108626518502132,False
mexico_born,third_plus_nh_white,I,central,-87.3687285559962,-1.0626868547513062,False
mexico_born,third_plus_nh_white,M,central,239.697789283938,3.4118233654244627,False
mexico_born,third_plus_nh_white,N,midpoint,255.02327250379952,1.5951296949325133,True
mexico_born,third_plus_nh_white,E,stock,-223.3210750099696,-2.716778160145586,False
mexico_born,third_plus_nh_white,C,wage25_capital75,-2094.6086883745925,-26.300352849359463,False
mexico_born,third_plus_nh_white,X,per_capita,1.8330892854028793e-14,-7.152557373046875e-16,False
mexico_born,third_plus_nh_white,R,central,1308.1759501363506,13.506354975886603,False
mexico_born,third_plus_nh_white,F,zero,0.0,0.0,False
mexico_born,third_plus_nh_white,S,half_inside_meps,-115.71358388276441,-1.485180505004549,False
mexico_born,all_native,G,deflated2024,-120.2240658987046,-1.904717080943128,False
mexico_born,all_native,K,central,-124.31878160288005,-1.557411768803275,False
mexico_born,all_native,U,central,1.449171499704292,0.09349687692917792,False
mexico_born,all_native,I,central,-73.93005429327958,-0.9581987774988165,False
mexico_born,all_native,M,central,236.89145400930963,3.3553543137029265,False
mexico_born,all_native,N,midpoint,441.79276068837464,4.394939858404463,True
mexico_born,all_native,E,stock,-223.3210750099696,-2.716778160145586,False
mexico_born,all_native,C,wage25_capital75,-1734.2421837418103,-22.07549165282033,False
mexico_born,all_native,X,per_capita,-1.0600648024538424e-12,-5.8412551879882815e-15,False
mexico_born,all_native,R,central,1282.9957911919225,13.342193224580624,False
mexico_born,all_native,F,zero,0.0,0.0,False
mexico_born,all_native,S,half_inside_meps,-115.71358388276441,-1.485180505004549,False
mexican_second_gen,third_plus_nh_white,G,deflated2024,-263.7685349630317,-4.216249179056305,False
mexican_second_gen,third_plus_nh_white,K,central,-99.46801558139829,-2.0479445450859743,False
mexican_second_gen,third_plus_nh_white,U,central,-100.2079250821019,-1.4137703962961043,False
mexican_second_gen,third_plus_nh_white,I,central,-54.28681647870332,-1.3341589888708487,False
mexican_second_gen,third_plus_nh_white,M,central,3.17746122549495,0.0992079550994612,False
mexican_second_gen,third_plus_nh_white,N,midpoint,-74.3347805181979,-2.269877816622726,True
mexican_second_gen,third_plus_nh_white,E,stock,0.0,0.0,False
mexican_second_gen,third_plus_nh_white,C,wage25_capital75,-1416.146471073871,-16.62348200393121,False
mexican_second_gen,third_plus_nh_white,X,per_capita,8.787146969911014e-13,2.315640449523926e-14,False
mexican_second_gen,third_plus_nh_white,R,central,513.0294503569354,2.266491983674475,False
