group,step,item,label,item_bn,cumulative_bn,cumulative_per_person,se_bn,flag
mexican_observed_total,6,M,MEPS-to-NHEA coverage scaling,-35.1503810279411,-187.79402132161425,-4591.925490434135,8.295461277263781,cps_records
mexican_observed_total,7,N,institutional care (external add),-19.068559204,-206.86258052561425,-5058.188486766394,8.295461277263781,external_add_no_se
mexican_observed_total,8,E,immigration enforcement,-2.716778160145586,-209.57935868575987,-5124.618944976042,8.305864983930539,cps_records
mexican_observed_total,9,C,"corporate income tax, federal and state",34.54996664195546,-175.0293920438044,-4279.80572142224,8.705472138480944,cps_records
mexican_observed_total,10,X,excise and selective sales taxes,37.7218462095492,-137.3075458342552,-3357.4339337750857,8.585568785417927,cps_records
mexican_observed_total,11,R,rest of the federal budget by function,-115.13925225543431,-252.4467980896895,-6172.810396030983,8.784939534032159,cps_records
mexican_observed_total,12,F,"federal defense, net interest, general government",0.0,-252.4467980896895,-6172.810396030983,8.784939534032159,central_arm_is_zero
mexican_observed_total,13,S,state-funded coverage for undocumented residents,-1.485180505004549,-253.93197859469407,-6209.125919660708,8.808802250729439,cps_records
third_plus_nh_white,0,base,all_age_shared absolute,0.0,807.8547591735547,4668.226431166829,34.65564937333716,cps_records
third_plus_nh_white,1,G,state-local general services,-670.1691409506075,137.68561822294726,795.6227711494158,34.74355269234759,cps_records
third_plus_nh_white,2,K,K-12 capital outlay and interest on school debt,-54.25299668765607,83.4326215352912,482.1192976210604,34.84082583245951,cps_records
third_plus_nh_white,3,D,district cost-to-serve differential,0.0,83.4326215352912,482.1192976210604,34.84082583245951,dropped_no_verified_parameter
third_plus_nh_white,4,U,transfer under-reporting,-25.121136107140106,58.311485428151094,336.95564013854386,35.033768526075455,cps_records
third_plus_nh_white,5,I,refundable-credit improper payments,-5.575522492001757,52.735962936149335,304.7372231902368,35.087827912406155,cps_records
third_plus_nh_white,6,M,MEPS-to-NHEA coverage scaling,-229.04247049287483,-176.30650755672548,-1018.7953827306762,35.195666127028,cps_records
third_plus_nh_white,7,N,institutional care (external add),-143.19980084,-319.50630839672544,-1846.282115498069,35.195666127028,external_add_no_se
third_plus_nh_white,8,E,immigration enforcement,0.0,-319.50630839672544,-1846.282115498069,35.195666127028,cps_records
third_plus_nh_white,9,C,"corporate income tax, federal and state",465.84654678124593,146.34023838452043,845.6338976931237,40.58918820567857,cps_records
third_plus_nh_white,10,X,excise and selective sales taxes,159.62002901215823,305.9602673966787,1768.0056853402782,40.558603469485156,cps_records
third_plus_nh_white,11,R,rest of the federal budget by function,-682.2424747367795,-376.28220734010085,-2174.3642974633813,43.141216930004106,cps_records
third_plus_nh_white,12,F,"federal defense, net interest, general government",0.0,-376.28220734010085,-2174.3642974633813,43.141216930004106,central_arm_is_zero
third_plus_nh_white,13,S,state-funded coverage for undocumented residents,0.0,-376.28220734010085,-2174.3642974633813,43.141216930004106,cps_records
all_native,0,base,all_age_shared absolute,0.0,1110.9203443131366,3916.211821647353,43.18097842096343,cps_records
all_native,1,G,state-local general services,-1120.4292416870408,-9.508897373904052,-33.52072585324619,43.320029499111556,cps_records
all_native,2,K,K-12 capital outlay and interest on school debt,-107.23176693401247,-116.74066430791652,-411.53370893778646,43.49227462836783,cps_records
all_native,3,D,district cost-to-serve differential,0.0,-116.74066430791652,-411.53370893778646,43.49227462836783,dropped_no_verified_parameter
all_native,4,U,transfer under-reporting,-55.278476714899696,-172.01914102281623,-606.4011673489432,43.82558403967806,cps_records
all_native,5,I,refundable-credit improper payments,-15.274826177957292,-187.29396720077352,-660.2479216711087,43.911190001411995,cps_records
all_native,6,M,MEPS-to-NHEA coverage scaling,-339.1046691671461,-526.3986363679196,-1855.6583045723917,44.001654888003706,cps_records
all_native,7,N,institutional care (external add),-241.224615342,-767.6232517099196,-2706.0223249187466,44.0016548880037,external_add_no_se
all_native,8,E,immigration enforcement,0.0,-767.6232517099196,-2706.0223249187466,44.0016548880037,cps_records
all_native,9,C,"corporate income tax, federal and state",612.5104076084186,-155.11284410150097,-546.8031590826794,49.891527296466776,cps_records
all_native,10,X,excise and selective sales taxes,261.65121566041074,106.53837155890979,375.5686285644764,49.856183244423995,cps_records
all_native,11,R,rest of the federal budget by function,-1040.8670435721504,-934.3286720132405,-3293.6915858757097,53.06373912761137,cps_records
all_native,12,F,"federal defense, net interest, general government",0.0,-934.3286720132405,-3293.6915858757097,53.06373912761137,central_arm_is_zero
all_native,13,S,state-funded coverage for undocumented residents,0.0,-934.3286720132405,-3293.6915858757097,53.06373912761137,cps_records
