nationality,proceeded_2018_2024,pop_APS_nationality_2021,rate_per10k_CMC,pop_census2021_country_of_birth,rate_per10k_census
Afghanistan,89.0,12000.0,74.2,47706,18.7
Eritrea,46.0,7000.0,65.7,15563,29.6
Algeria,62.0,11000.0,56.4,18767,33.0
Somalia,71.0,13000.0,54.6,66288,10.7
Sudan,30.0,7000.0,42.9,9552,31.4
Albania,43.0,12000.0,35.8,34773,12.4
Iraq,21.0,7000.0,30.0,30365,6.9
Iran,50.0,19000.0,26.3,43852,11.4
Egypt,23.0,9000.0,25.6,13995,16.4
Moroccan,23.0,9000.0,25.6,17642,13.0
Kenya,12.0,5000.0,24.0,58020,2.1
Romania,308.0,136000.0,22.6,175991,17.5
Bangladesh,70.0,33000.0,21.2,138895,5.0
Bulgaria,69.0,34000.0,20.3,66515,10.4
Sri Lanka,43.0,23000.0,18.7,80379,5.3
Jamaica,66.0,38000.0,17.4,75676,8.7
Ukraine,23.0,15000.0,15.3,20129,11.4
Pakistan,96.0,65000.0,14.8,129774,7.4
Ghana,41.0,28000.0,14.6,65905,6.2
Trinidad And Tobago,10.0,7000.0,14.3,9962,10.0
Turkey,40.0,28000.0,14.3,72867,5.5
Nigeria,105.0,82000.0,12.8,117145,9.0
Zimbabwe,12.0,10000.0,12.0,17000,7.1
India,193.0,165000.0,11.7,322644,6.0
Colombia,23.0,20000.0,11.5,27848,8.3
Ecuador,9.0,9000.0,10.0,15755,5.7
St. Lucia,9.0,9000.0,10.0,,
Portugal,91.0,106000.0,8.6,,
Netherlands,26.0,31000.0,8.4,19507,13.3
Belgium,10.0,12000.0,8.3,11754,8.5
Poland,128.0,160000.0,8.0,149397,8.6
Brazil,33.0,42000.0,7.9,55787,5.9
Lithuania,48.0,61000.0,7.9,45378,10.6
Nepal,7.0,9000.0,7.8,22688,3.1
Latvia,13.0,17000.0,7.6,12531,10.4
Sierra Leone,9.0,13000.0,6.9,16743,5.4
Angola,6.0,9000.0,6.7,9361,6.4
France,57.0,86000.0,6.6,77715,7.3
Italy,113.0,175000.0,6.5,126059,9.0
Irish,71.0,119000.0,6.0,,
Peru,3.0,5000.0,6.0,5625,5.3
Spain,73.0,123000.0,5.9,,
China (People's Rep. of),31.0,56000.0,5.5,,
United States,46.0,83000.0,5.5,71127,6.5
Philippines,13.0,24000.0,5.4,54930,2.4
Greece,19.0,42000.0,4.5,34897,5.4
Cyprus,7.0,16000.0,4.4,35300,2.0
Thai,3.0,7000.0,4.3,,
Lebanon,5.0,12000.0,4.2,12741,3.9
Hungary,21.0,58000.0,3.6,25955,8.1
"Korea, Republic of (South Korea)",4.0,12000.0,3.3,,
Russia,8.0,24000.0,3.3,25770,3.1
Uzbek,2.0,6000.0,3.3,,
Germany,23.0,72000.0,3.2,50364,4.6
Mauritian,5.0,16000.0,3.1,,
Denmark,6.0,20000.0,3.0,7536,8.0
South Africa,7.0,26000.0,2.7,47964,1.5
Sweden,6.0,23000.0,2.6,14587,4.1
Barbados,1.0,4000.0,2.5,8074,1.2
Czech Republic,3.0,12000.0,2.5,,
New Zealand,6.0,24000.0,2.5,19058,3.1
Benin,2.0,9000.0,2.2,,
British,1615.0,7331000.0,2.2,5223867,3.1
Vietnam,2.0,10000.0,2.0,17233,1.2
Zambian,1.0,6000.0,1.7,,
Australia,7.0,48000.0,1.5,43418,1.6
"Korea, Dem. P. Rep. (North Korea)",1.0,7000.0,1.4,,
Malaysia,3.0,22000.0,1.4,20215,1.5
Indonesia,2.0,15000.0,1.3,3689,5.4
Slovakia,3.0,23000.0,1.3,11025,2.7
Norway,2.0,18000.0,1.1,5829,3.4
Austrian,2.0,22000.0,0.9,,
Azerbaijan,1.0,11000.0,0.9,1715,5.8
Israel,2.0,22000.0,0.9,13028,1.5
Canada,3.0,38000.0,0.8,21772,1.4
Finland,1.0,12000.0,0.8,5142,1.9
Mexico,1.0,16000.0,0.6,5092,2.0
Singaporean,1.0,16000.0,0.6,,
Japan,2.0,37000.0,0.5,18749,1.1
American Samoa,1.0,,,,
Antigua and Barbuda,4.0,,,1754,22.8
Armenia,1.0,,,1311,7.6
Bermuda,1.0,,,1001,10.0
Bolivia,14.0,,,5782,24.2
Bosnian,1.0,,,,
Burmese,1.0,,,,
Cameroon,4.0,,,4242,9.4
Cape Verde,2.0,,,1105,18.1
Central African,1.0,,,,
Chad,1.0,,,,
Congo,18.0,,,1492,120.6
Croatia,2.0,,,5353,3.7
Cuba,1.0,,,1200,8.3
Dominica,2.0,,,3689,5.4
Dominican (Republic),3.0,,,,
El Salvador,3.0,,,,
England,41.0,,,5223867,0.1
Equatorial Guinean,1.0,,,,
Ethiopia,10.0,,,12926,7.7
Gambia,6.0,,,,
Georgia,2.0,,,2802,7.1
Grenada,3.0,,,5785,5.2
Guinea,3.0,,,1417,21.2
Guyanese,1.0,,,,
Honduran,3.0,,,,
Ivory Coast,4.0,,,,
Jordan,3.0,,,2391,12.5
Kazakhstan,2.0,,,2528,7.9
Kosovan,7.0,,,,
Kuwait,22.0,,,9594,22.9
Laotian,1.0,,,,
Libya,1.0,,,3018,3.3
Moldova,12.0,,,24894,4.8
Mongolia,1.0,,,941,10.6
Montenegro,1.0,,,687,14.6
Montserrat,1.0,,,3389,3.0
Namibia,2.0,,,591,33.8
Niger,1.0,,,,
Northern Ireland,2.0,,,28248,0.7
Oman,1.0,,,812,12.3
Palestine,13.0,,,,
Qatar,4.0,,,867,46.1
Rwanda,2.0,,,1933,10.3
Saudi,3.0,,,,
Scotland,2.0,,,75004,0.3
Senegal,2.0,,,1685,11.9
Serbian,1.0,,,,
