arm,r2,group,remit_per_adult,remit_se,sales_share25_base,sales_share25_remit,d_sales_share25,sales_share35_base,sales_share35_remit,d_sales_share35,sales_share45_base,sales_share45_remit,d_sales_share45,sales_itep_base,sales_itep_remit,d_sales_itep
r2_zero,0.0,third_plus_nh_white,11.792139915993628,2.4328089507898656,749.8070537442824,749.5681144855731,-0.2389392587092516,1049.729875241995,1049.3953602798017,-0.3345149621932251,1349.6526967397353,1349.2226060740575,-0.4300906656778807,1812.4809431108204,1811.9920559912634,-0.4888871195569209
r2_zero,0.0,all_native,43.01583784552045,3.123502509074969,711.8110607258243,710.9187750174835,-0.8922857083407507,996.5354850161465,995.2862850244693,-1.2491999916771874,1281.2599093064855,1279.653795031477,-1.6061142750083945,1732.4293767619915,1730.5222239553798,-1.907152806611748
r2_zero,0.0,all_second_gen,236.6085747704831,16.198302077322975,744.7924517053196,739.856027649928,-4.936424055391626,1042.709432387444,1035.798438709897,-6.910993677546912,1340.6264130695688,1331.7408497698625,-8.885563299706291,1703.1725199143439,1692.3935401941526,-10.778979720191273
r2_zero,0.0,mexican_second_gen,663.2055932420092,42.82402872387855,560.0603011114058,546.1748281423235,-13.885472969082343,784.0844215559681,764.6447593992524,-19.439662156715713,1008.1085420005288,983.1146906561785,-24.993851344350333,1286.7224107138338,1256.44789573552,-30.274514978313846
r2_zero,0.0,mexican_third_plus_selfid,65.25248403939385,11.057408031802222,637.7512702576074,636.4327374797825,-1.3185327778248848,892.8517783606513,891.0058324716957,-1.8459458889556117,1147.952286463696,1145.5789274636093,-2.3733590000867935,1478.1960921060502,1475.293516213031,-2.902575893019275
r2_zero,0.0,mexico_born,3363.6655241395783,95.38223764630709,423.1536835843652,355.00265920103186,-68.15102438333332,592.4151570181131,497.00372288144587,-95.4114341366672,761.6766304518562,639.0047865618616,-122.67184388999465,1083.8418402414427,904.7538628535854,-179.08797738785734
r2_low,0.016,third_plus_nh_white,15.069272196376492,2.420669553268576,749.8070537442824,749.503045966983,-0.30400777729937545,1049.729875241995,1049.3042643537738,-0.425610888221172,1349.6526967397353,1349.1054827405965,-0.5472139991388758,1812.4809431108204,1811.8530962314805,-0.6278468793398133
r2_low,0.016,all_native,69.5438878427598,3.2309351841825427,711.8110607258243,710.3687097289145,-1.442350996909795,996.5354850161465,994.5161936204848,-2.0192913956616394,1281.2599093064855,1278.6636775120642,-2.5962317944213282,1732.4293767619915,1729.2714433724439,-3.1579333895476793
r2_low,0.016,all_second_gen,375.90058460272064,17.462205744443743,744.7924517053196,736.9399672498517,-7.852484455467902,1042.709432387444,1031.7159541497865,-10.993478237657428,1340.6264130695688,1326.4919410497223,-14.134472019846498,1703.1725199143439,1685.6974653840236,-17.47505453032022
r2_low,0.016,mexican_second_gen,1064.3700722979868,42.741318822077105,560.0603011114058,537.7831442057267,-22.277156905679135,784.0844215559681,752.8964018880181,-31.188019667950016,1008.1085420005288,968.0096595703068,-40.098882430222034,1286.7224107138338,1237.0131924361592,-49.70921827767461
r2_low,0.016,mexican_third_plus_selfid,223.45901184747888,15.562245191708998,637.7512702576074,633.1837484621028,-4.567521795504604,892.8517783606513,886.4572478469412,-6.394530513710151,1147.952286463696,1139.7307472317852,-8.22153923191081,1478.1960921060502,1467.9344589752181,-10.261633130832024
r2_low,0.016,mexico_born,3423.5822131802347,95.65407105937982,423.1536835843652,353.75187702377787,-69.40180656058732,592.4151570181131,495.25262783328924,-97.16252918482382,761.6766304518562,636.7533786428016,-124.92325180905459,1083.8418402414427,901.9645755616093,-181.8772646798334
r2_central,0.025,third_plus_nh_white,16.912659104091805,2.4242503412338428,749.8070537442824,749.4664449252773,-0.34060881900506956,1049.729875241995,1049.253022895388,-0.4768523466068473,1349.6526967397353,1349.0396008655243,-0.6130958742110124,1812.4809431108204,1811.7749313666015,-0.706011744218813
