year,universe,group,n,weighted,mean_age,ba_share,grad_share,earnings,modeled_own_tax,cash_transfers,tax_minus_cash,medicaid,age_std_earnings,age_std_tax_minus_cash,age_std_ba,age_std_ok,n_25_34,n_35_44,n_45_54,n_55_64
2024,all_civ_or_child,india_g2_diaspora,171,429328.160000,26.195906,0.309097,0.129468,28965.152884,7924.669338,892.711300,7031.958037,0.278858,,,,False,23,15,24,5
2024,adults_25_64,asian_indian_native_selfid,220,529845.530000,39.546282,0.770063,0.388928,98434.589492,29949.941999,362.943723,29586.998276,0.155951,85175.184853,26223.313000,0.758217,True,91,74,42,13
2024,all_civ_or_child,asian_indian_native_selfid,748,1844834.220000,20.293659,0.260060,0.118405,30027.772874,9007.902099,435.928970,8571.973129,0.129960,,,,False,91,74,42,13
2025,adults_25_64,white_g3plus,36287,87647855.490000,44.970002,0.443822,0.159380,70326.893075,18288.538701,1355.199639,16933.339062,0.112341,70326.893075,16933.339062,0.443822,True,8075,10359,8937,8916
2025,all_civ_or_child,white_g3plus,73873,173053897.030000,43.300377,0.322343,0.118981,40770.923467,11504.828213,5093.067017,6411.761196,0.118197,,,,False,8075,10359,8937,8916
2025,adults_25_64,india_g1,1232,3245304.270000,41.450990,0.904793,0.565628,107673.268355,29456.412199,331.461551,29124.950648,0.042468,107716.551905,29485.884364,0.883224,True,370,410,306,146
2025,all_civ_or_child,india_g1,1607,4281769.880000,41.198644,0.784912,0.477154,85296.504844,23731.042037,1473.592161,22257.449876,0.050312,,,,False,370,410,306,146
2025,adults_25_64,india_g2,209,491965.680000,38.020676,0.856125,0.458757,115293.014509,31559.683942,281.920377,31277.763564,0.027594,123902.997073,34581.707492,0.833836,True,89,64,34,22
2025,all_civ_or_child,india_g2,704,1797874.470000,19.416353,0.297419,0.139375,35290.550798,9569.045435,237.082943,9331.962491,0.066585,,,,False,89,64,34,22
2025,adults_25_64,india_g3plus_race,49,131001.060000,40.855850,0.581670,0.283799,74923.951768,21295.314120,836.542402,20458.771718,0.166587,70681.178545,16569.298385,0.535785,True,15,20,7,7
2025,all_civ_or_child,india_g3plus_race,115,318721.310000,25.746973,0.267862,0.126332,35657.660024,10227.704717,1224.970883,9002.733834,0.175469,,,,False,15,20,7,7
2025,adults_25_64,india_g2_diaspora,50,127374.120000,40.951742,0.879464,0.455519,114291.657941,27985.305733,0.000000,27985.305733,0.088605,117699.919902,27835.654007,0.875310,True,14,15,14,7
2025,all_civ_or_child,india_g2_diaspora,119,300540.680000,23.920527,0.414628,0.206745,51536.841740,12713.279463,176.701626,12536.577838,0.194374,,,,False,14,15,14,7
2025,adults_25_64,asian_indian_native_selfid,258,642302.210000,38.554816,0.809024,0.426462,105129.261425,28347.767102,181.945464,28165.821639,0.061434,105776.948179,27759.491060,0.772646,True,101,87,47,23
2025,all_civ_or_child,asian_indian_native_selfid,790,2040331.660000,20.737386,0.309651,0.147422,36997.816402,9961.673865,244.069394,9717.604471,0.095499,,,,False,101,87,47,23
2026,adults_25_64,white_g3plus,33857,84685854.840000,44.848448,0.459064,0.169857,74786.894721,19210.779929,1229.924333,17980.855597,0.106290,74786.894721,17980.855597,0.459064,True,7215,9738,8475,8429
2026,all_civ_or_child,white_g3plus,70036,169558169.130000,44.034433,0.332623,0.124725,42755.564372,12002.237574,5609.520724,6392.716850,0.115908,,,,False,7215,9738,8475,8429
2026,adults_25_64,india_g1,1014,3159496.660000,41.634459,0.890519,0.581035,111040.227199,29855.516118,227.345585,29628.170533,0.045368,111512.581440,30481.201977,0.864700,True,254,356,255,149
2026,all_civ_or_child,india_g1,1347,4177171.270000,42.169232,0.783596,0.498722,88281.391592,24341.852899,1875.407601,22466.445298,0.059802,,,,False,254,356,255,149
2026,adults_25_64,india_g2,201,604880.250000,37.688726,0.895922,0.552497,126510.426709,40511.756804,39.867416,40471.889387,0.030884,134551.142693,45692.974147,0.865529,True,90,50,41,20
2026,all_civ_or_child,india_g2,669,2138522.000000,18.808865,0.302878,0.169125,38310.984170,12722.037463,213.858473,12508.178989,0.069406,,,,False,90,50,41,20
2026,adults_25_64,india_g3plus_race,38,126216.900000,37.783079,0.736090,0.328907,100477.242230,29985.243478,1114.222950,28871.020528,0.060292,88118.963912,24319.310172,0.705795,True,11,12,12,3
2026,all_civ_or_child,india_g3plus_race,93,288321.680000,27.083591,0.381271,0.156954,45899.880421,13862.254273,1558.789643,12303.464630,0.080816,,,,False,11,12,12,3
2026,adults_25_64,india_g2_diaspora,68,205191.250000,39.036833,0.784608,0.412342,91835.054246,23128.376132,531.184857,22597.191275,0.079301,97309.590635,23031.225287,0.783940,True,23,21,16,8
2026,all_civ_or_child,india_g2_diaspora,146,458396.410000,26.645391,0.416494,0.200618,53302.411915,11064.458152,810.529471,10253.928680,0.138950,,,,False,23,21,16,8
2026,adults_25_64,asian_indian_native_selfid,259,783503.900000,37.404965,0.860156,0.502507,113612.792471,34398.721806,349.383410,34049.338396,0.050414,111931.402564,33378.563971,0.820020,True,109,70,57,23
2026,all_civ_or_child,asian_indian_native_selfid,764,2385614.890000,21.008992,0.339391,0.181208,41987.457233,12570.231730,387.411880,12182.819850,0.076332,,,,False,109,70,57,23
