source,group,n,weighted,mean_pinc,median_pinc,mean_wag,bin,collapse,n_bin,share,mean_pinc_bin,median_pinc_bin,mean_wag_bin
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,physician,physician,67,0.086135,216889.604306,150000.000000,216889.604306
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,other_healthcare,other_healthcare,78,0.099722,107677.784604,90000.000000,107677.784604
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,other_engineer,other_engineer,41,0.055792,131358.284818,130000.000000,131358.284818
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,other_manager,other_manager,138,0.149309,158447.404151,103000.000000,158447.404151
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,rest,rest,374,0.451439,104912.366539,70000.000000,104912.366539
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,unknown,unknown,0,0.000000,,,
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,not_it,not_it,716,0.868240,127903.506314,85000.000000,127903.506314
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,not_it_not_md,not_it_not_md,649,0.782105,118103.268030,85000.000000,118103.268030
cps_pool_occup_25_64,india_g2,816,2072997.000000,130640.957829,90000.000000,130640.957829,not_it_not_md_not_eng,not_it_not_md_not_eng,608,0.726314,117085.088377,80000.000000,117085.088377
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,software,it_broad,11,0.073397,213383.848841,150000.000000,213383.848841
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,other_computer,it_broad,9,0.057025,88556.630355,85000.000000,88556.630355
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,cis_manager,it_broad,1,0.013754,127000.000000,127000.000000,127000.000000
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,computer_hardware,it_broad,0,0.000000,,,
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,math,other_stem,0,0.000000,,,
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,physician,physician,3,0.018442,292890.044208,350000.000000,292890.044208
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,other_healthcare,other_healthcare,11,0.057369,112757.049151,100000.000000,112757.049151
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,other_engineer,other_engineer,6,0.034120,150902.175227,150000.000000,150902.175227
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,other_manager,other_manager,21,0.126857,90198.667952,75000.000000,90198.667952
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,rest,rest,106,0.619037,76911.173713,57000.000000,76911.173713
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,unknown,unknown,0,0.000000,,,
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,not_it,not_it,147,0.855824,88887.530366,70000.000000,88887.530366
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,not_it_not_md,not_it_not_md,144,0.837382,84394.732682,68000.000000,84394.732682
cps_pool_occup_25_64,india_g3plus_race,168,450884.890000,98530.506954,80000.000000,98530.506954,not_it_not_md_not_eng,not_it_not_md_not_eng,138,0.803262,81569.719088,66000.000000,81569.719088
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,software,it_broad,19,0.085703,146333.535144,125000.000000,146333.535144
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,other_computer,it_broad,17,0.066439,118493.999888,100000.000000,118493.999888
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,cis_manager,it_broad,3,0.009308,92744.462423,85000.000000,92744.462423
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,computer_hardware,it_broad,1,0.004060,520000.000000,520000.000000,520000.000000
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,math,other_stem,0,0.000000,,,
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,physician,physician,7,0.021080,294903.674739,300000.000000,294903.674739
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,other_healthcare,other_healthcare,23,0.093105,91606.393492,72000.000000,91606.393492
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,other_engineer,other_engineer,9,0.041002,128607.796003,100000.000000,128607.796003
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,other_manager,other_manager,30,0.114279,104141.434197,100000.000000,104141.434197
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,rest,rest,143,0.565024,80057.202052,60000.000000,80057.202052
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,unknown,unknown,0,0.000000,,,
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,not_it,not_it,212,0.834489,92456.628316,75000.000000,92456.628316
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,not_it_not_md,not_it_not_md,205,0.813409,87210.115764,75000.000000,87210.115764
cps_pool_occup_25_64,india_g2_diaspora,252,643351.480000,100542.567656,85000.000000,100542.567656,not_it_not_md_not_eng,not_it_not_md_not_eng,196,0.772408,85012.613340,70000.000000,85012.613340
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,software,it_broad,79,0.086193,161089.805274,142000.000000,161089.805274
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,other_computer,it_broad,44,0.048108,136674.251177,114000.000000,136674.251177
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,cis_manager,it_broad,8,0.009450,108943.107921,120000.000000,108943.107921
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,computer_hardware,it_broad,3,0.002570,264437.668638,98000.000000,264437.668638
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,math,other_stem,10,0.011195,102935.625094,100000.000000,102935.625094
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,physician,physician,52,0.048519,208547.143436,166000.000000,208547.143436
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,other_healthcare,other_healthcare,87,0.089013,108547.526599,95000.000000,108547.526599
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,other_engineer,other_engineer,48,0.053222,128828.280179,120000.000000,128828.280179
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,other_manager,other_manager,149,0.138037,150865.778249,103000.000000,150865.778249
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,rest,rest,508,0.513692,94615.304663,65000.000000,94615.304663
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,unknown,unknown,0,0.000000,,,
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,not_it,not_it,854,0.853678,113880.986995,80000.000000,113880.986995
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,not_it_not_md,not_it_not_md,802,0.805159,108176.358643,80000.000000,108176.358643
cps_pool_occup_25_64,asian_indian_native_selfid,988,2519466.140000,119386.856614,87000.000000,119386.856614,not_it_not_md_not_eng,not_it_not_md_not_eng,754,0.751937,106714.617234,75000.000000,106714.617234
