allocation,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
equal_all_members,raw,asian_indian_native_selfid,health_age_birth,258,642302.176503,2043.529163,99.320448,-509.958257,98.312995
equal_all_members,raw,asian_indian_native_selfid,extended_balance_after_health,258,642302.176503,30343.925402,3320.128357,16912.988000,3382.109038
equal_all_members,raw,asian_indian_native_selfid,children_5_17,258,642302.176503,0.107743,0.016406,-0.011538,0.016609
equal_all_members,raw,india_g3plus_race,modeled_tax_total,49,131001.070245,21677.403857,7267.226327,7294.088295,7273.101510
equal_all_members,raw,india_g3plus_race,selected_cash_total,49,131001.070245,836.542557,859.033591,-1616.776810,859.864947
equal_all_members,raw,india_g3plus_race,selected_noncash_total,49,131001.070245,78.474322,26.619201,-66.860173,26.623754
equal_all_members,raw,india_g3plus_race,cash_noncash_tax_balance,49,131001.070245,20762.386978,7478.750928,8977.725278,7484.679788
equal_all_members,raw,india_g3plus_race,k12_charged,49,131001.070245,1598.142885,499.734295,-53.403122,501.254042
equal_all_members,raw,india_g3plus_race,extended_balance_base,49,131001.070245,26557.696410,8586.318866,10573.271589,8598.330504
equal_all_members,raw,india_g3plus_race,health_age_birth,49,131001.070245,2112.121511,123.908863,-441.365908,125.980104
equal_all_members,raw,india_g3plus_race,extended_balance_after_health,49,131001.070245,24445.574899,8599.536101,11014.637497,8612.668337
equal_all_members,raw,india_g3plus_race,children_5_17,49,131001.070245,0.115758,0.035868,-0.003524,0.035930
equal_all_members,age_standardised,third_plus_nh_white,modeled_tax_total,36287,87647853.345835,14383.315591,237.071792,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,selected_cash_total,36287,87647853.345835,2453.319389,47.913195,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,selected_noncash_total,36287,87647853.345835,145.334494,4.225674,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,cash_noncash_tax_balance,36287,87647853.345835,11784.661708,249.750755,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,k12_charged,36287,87647853.345835,1651.545994,22.843505,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,extended_balance_base,36287,87647853.345835,15984.424850,291.141710,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,health_age_birth,36287,87647853.345835,2553.487433,12.303950,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,extended_balance_after_health,36287,87647853.345835,13430.937416,294.067750,0.000000,0.000000
equal_all_members,age_standardised,third_plus_nh_white,children_5_17,36287,87647853.345835,0.119281,0.001440,0.000000,0.000000
equal_all_members,age_standardised,india_born,modeled_tax_total,1232,3245304.200540,20867.806957,1176.117106,6484.491366,1195.212151
equal_all_members,age_standardised,india_born,selected_cash_total,1232,3245304.200540,605.163524,140.336783,-1848.155865,146.131773
equal_all_members,age_standardised,india_born,selected_noncash_total,1232,3245304.200540,38.459056,4.616685,-106.875438,6.162902
equal_all_members,age_standardised,india_born,cash_noncash_tax_balance,1232,3245304.200540,20224.184376,1189.715661,8439.522669,1214.576946
equal_all_members,age_standardised,india_born,k12_charged,1232,3245304.200540,2003.306392,101.577703,351.760398,105.762619
equal_all_members,age_standardised,india_born,extended_balance_base,1232,3245304.200540,26162.475071,1422.776764,10178.050222,1451.837641
equal_all_members,age_standardised,india_born,health_age_birth,1232,3245304.200540,1776.414738,52.223010,-777.072695,55.865596
equal_all_members,age_standardised,india_born,extended_balance_after_health,1232,3245304.200540,24386.060333,1420.018132,10955.122917,1448.517790
equal_all_members,age_standardised,india_born,children_5_17,1232,3245304.200540,0.130448,0.006274,0.011166,0.006446
equal_all_members,age_standardised,india_second_gen,modeled_tax_total,209,491965.625932,31769.691450,4538.958918,17386.375859,4556.729823
equal_all_members,age_standardised,india_second_gen,selected_cash_total,209,491965.625932,1180.652522,397.560933,-1272.666867,392.580432
equal_all_members,age_standardised,india_second_gen,selected_noncash_total,209,491965.625932,30.542578,11.958315,-114.791917,12.614355
equal_all_members,age_standardised,india_second_gen,cash_noncash_tax_balance,209,491965.625932,30558.496350,4592.408979,18773.834643,4611.006280
equal_all_members,age_standardised,india_second_gen,k12_charged,209,491965.625932,1801.593749,301.175915,150.047755,303.597234
equal_all_members,age_standardised,india_second_gen,extended_balance_base,209,491965.625932,39521.355126,5453.662889,23536.930277,5476.020233
equal_all_members,age_standardised,india_second_gen,health_age_birth,209,491965.625932,2398.642224,134.904782,-154.845210,134.164683
equal_all_members,age_standardised,india_second_gen,extended_balance_after_health,209,491965.625932,37122.712903,5458.960874,23691.775486,5481.934321
equal_all_members,age_standardised,india_second_gen,children_5_17,209,491965.625932,0.117285,0.020237,-0.001996,0.020354
equal_all_members,age_standardised,asian_indian_native_selfid,modeled_tax_total,258,642302.176503,27299.728566,3811.782417,12916.412976,3840.686560
equal_all_members,age_standardised,asian_indian_native_selfid,selected_cash_total,258,642302.176503,680.916460,247.350112,-1772.402929,248.619265
equal_all_members,age_standardised,asian_indian_native_selfid,selected_noncash_total,258,642302.176503,45.267678,13.619698,-100.066816,13.839650
equal_all_members,age_standardised,asian_indian_native_selfid,cash_noncash_tax_balance,258,642302.176503,26573.544429,3837.037754,14788.882721,3865.913352
equal_all_members,age_standardised,asian_indian_native_selfid,k12_charged,258,642302.176503,1886.937845,328.165991,235.391851,331.717356
equal_all_members,age_standardised,asian_indian_native_selfid,extended_balance_base,258,642302.176503,34334.286310,4641.269783,18349.861460,4679.356564
equal_all_members,age_standardised,asian_indian_native_selfid,health_age_birth,258,642302.176503,2241.643539,89.774635,-311.843894,88.754583
equal_all_members,age_standardised,asian_indian_native_selfid,extended_balance_after_health,258,642302.176503,32092.642771,4640.983249,18661.705354,4678.930578
equal_all_members,age_standardised,asian_indian_native_selfid,children_5_17,258,642302.176503,0.117760,0.019553,-0.001521,0.019813
equal_all_members,age_standardised,india_g3plus_race,modeled_tax_total,49,131001.070245,22163.277461,6873.483917,7779.961870,6885.197670
equal_all_members,age_standardised,india_g3plus_race,selected_cash_total,49,131001.070245,570.431331,546.321929,-1882.888058,547.062155
equal_all_members,age_standardised,india_g3plus_race,selected_noncash_total,49,131001.070245,77.270977,34.116179,-68.063517,34.167008
equal_all_members,age_standardised,india_g3plus_race,cash_noncash_tax_balance,49,131001.070245,21515.575153,7026.872964,9730.913445,7037.238743
equal_all_members,age_standardised,india_g3plus_race,k12_charged,49,131001.070245,1497.095453,527.021193,-154.450541,528.949520
equal_all_members,age_standardised,india_g3plus_race,extended_balance_base,49,131001.070245,27476.105343,8153.663710,11491.680493,8168.603070
equal_all_members,age_standardised,india_g3plus_race,health_age_birth,49,131001.070245,2238.774517,99.080348,-314.712916,100.502686
equal_all_members,age_standardised,india_g3plus_race,extended_balance_after_health,49,131001.070245,25237.330826,8134.326219,11806.393409,8149.938997
equal_all_members,age_standardised,india_g3plus_race,children_5_17,49,131001.070245,0.106060,0.035270,-0.013221,0.035369
equal_adults_18plus,raw,third_plus_nh_white,modeled_tax_total,36287,87647853.345835,17336.666466,271.872410,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,selected_cash_total,36287,87647853.345835,2684.615780,51.047707,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,selected_noncash_total,36287,87647853.345835,243.060683,6.148586,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,cash_noncash_tax_balance,36287,87647853.345835,14408.990003,286.303495,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,k12_charged,36287,87647853.345835,3500.681549,55.855099,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,extended_balance_base,36287,87647853.345835,18099.259377,333.263522,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,health_age_birth,36287,87647853.345835,3145.646308,12.231952,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,extended_balance_after_health,36287,87647853.345835,14953.613069,337.389341,0.000000,0.000000
equal_adults_18plus,raw,third_plus_nh_white,children_5_17,36287,87647853.345835,0.252667,0.003406,0.000000,0.000000
equal_adults_18plus,raw,india_born,modeled_tax_total,1232,3245304.200540,26786.794855,1381.358423,9450.128389,1398.087609
equal_adults_18plus,raw,india_born,selected_cash_total,1232,3245304.200540,571.497213,113.309358,-2113.118567,122.254229
equal_adults_18plus,raw,india_born,selected_noncash_total,1232,3245304.200540,74.528073,10.367933,-168.532610,12.083399
equal_adults_18plus,raw,india_born,cash_noncash_tax_balance,1232,3245304.200540,26140.769569,1393.310709,11731.779566,1417.521479
equal_adults_18plus,raw,india_born,k12_charged,1232,3245304.200540,4047.378817,239.824522,546.697268,250.795868
equal_adults_18plus,raw,india_born,extended_balance_base,1232,3245304.200540,32309.867530,1665.171963,14210.608153,1689.938956
equal_adults_18plus,raw,india_born,health_age_birth,1232,3245304.200540,1896.112451,56.337288,-1249.533857,59.158597
equal_adults_18plus,raw,india_born,extended_balance_after_health,1232,3245304.200540,30413.755079,1669.070955,15460.142010,1695.407451
equal_adults_18plus,raw,india_born,children_5_17,1232,3245304.200540,0.263737,0.015010,0.011070,0.015575
equal_adults_18plus,raw,india_second_gen,modeled_tax_total,209,491965.625932,36486.859430,4710.549358,19150.192964,4740.902615
equal_adults_18plus,raw,india_second_gen,selected_cash_total,209,491965.625932,1100.433139,319.005691,-1584.182641,315.711099
equal_adults_18plus,raw,india_second_gen,selected_noncash_total,209,491965.625932,37.433248,14.072648,-205.627435,15.524073
equal_adults_18plus,raw,india_second_gen,cash_noncash_tax_balance,209,491965.625932,35348.993043,4787.794668,20940.003040,4819.766739
equal_adults_18plus,raw,india_second_gen,k12_charged,209,491965.625932,3001.747346,596.570992,-498.934203,604.999695
equal_adults_18plus,raw,india_second_gen,extended_balance_base,209,491965.625932,44644.378189,5295.861336,26545.118812,5331.853660
equal_adults_18plus,raw,india_second_gen,health_age_birth,209,491965.625932,2600.522490,136.711644,-545.123818,136.815432
equal_adults_18plus,raw,india_second_gen,extended_balance_after_health,209,491965.625932,42043.855699,5281.186820,27090.242630,5317.121809
equal_adults_18plus,raw,india_second_gen,children_5_17,209,491965.625932,0.184625,0.035762,-0.068042,0.036171
equal_adults_18plus,raw,asian_indian_native_selfid,modeled_tax_total,258,642302.176503,31573.564122,3261.004594,14236.897656,3300.142846
equal_adults_18plus,raw,asian_indian_native_selfid,selected_cash_total,258,642302.176503,777.146484,253.673974,-1907.469296,256.291441
equal_adults_18plus,raw,asian_indian_native_selfid,selected_noncash_total,258,642302.176503,75.054912,19.110557,-168.005770,19.267275
