source,focal,ref,bins,focal_mean,ref_mean,raw_gap,mix,within,interaction,kitagawa_sum,mix_share_of_gap,within_share_of_gap
acs2023_employed_25_64,india_born,us_born_nh_white,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,133369.374625,85313.246335,48056.128290,24784.748055,22824.657413,446.722822,48056.128290,0.515746,0.474958
acs2023_employed_25_64,india_born,us_born_nh_white,it_broad+not_it,133369.374625,85313.246335,48056.128290,11186.617852,38756.576456,-1887.066018,48056.128290,0.232782,0.806486
acs2023_employed_25_64,india_born_recent_noncit,us_born_nh_white,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,101460.379995,85313.246335,16147.133659,26698.300592,-3626.451325,-6924.715607,16147.133659,1.653439,-0.224588
acs2023_employed_25_64,india_born_recent_noncit,us_born_nh_white,it_broad+not_it,101460.379995,85313.246335,16147.133659,13468.709053,5995.712072,-3317.287465,16147.133659,0.834124,0.371317
acs2023_employed_25_64,india_born_settled,us_born_nh_white,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,140022.612038,85313.246335,54709.365703,24385.759635,27639.287965,2684.318103,54709.365703,0.445733,0.505202
acs2023_employed_25_64,india_born_settled,us_born_nh_white,it_broad+not_it,140022.612038,85313.246335,54709.365703,10710.786673,44989.720916,-991.141886,54709.365703,0.195776,0.822340
acs2023_employed_25_64,us_born_asian_indian_anc,us_born_nh_white,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,149335.661340,85313.246335,64022.415005,32146.739526,40841.462865,-8965.787386,64022.415005,0.502117,0.637924
acs2023_employed_25_64,us_born_asian_indian_anc,us_born_nh_white,it_broad+not_it,149335.661340,85313.246335,64022.415005,2713.830288,63475.830214,-2167.245498,64022.415005,0.042389,0.991463
cps_pool_occup_25_64,india_g1,white_g3plus,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,130538.230775,82419.142145,48119.088630,26141.509941,22191.823979,-214.245291,48119.088630,0.543267,0.461185
cps_pool_occup_25_64,india_g1,white_g3plus,it_broad+not_it,130538.230775,82419.142145,48119.088630,13408.116512,39942.135083,-5231.162966,48119.088630,0.278644,0.830068
cps_pool_occup_25_64,india_g2,white_g3plus,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,130640.957829,82419.142145,48221.815684,23918.430541,34187.014548,-9883.629405,48221.815684,0.496009,0.708953
cps_pool_occup_25_64,india_g2,white_g3plus,it_broad+not_it,130640.957829,82419.142145,48221.815684,3786.273172,46352.964760,-1917.422247,48221.815684,0.078518,0.961245
cps_pool_occup_25_64,india_g3plus_race,white_g3plus,software+other_computer+cis_manager+computer_hardware+math+physician+other_healthcare+other_engineer+other_manager+rest,98530.506954,82419.142145,16111.364809,7570.303444,,,,0.469874,
cps_pool_occup_25_64,india_g3plus_race,white_g3plus,it_broad+not_it,98530.506954,82419.142145,16111.364809,4308.900870,9264.628577,2537.835362,16111.364809,0.267445,0.575037
