group,years,n_stack,n_min,n_max,weighted,mean_age,ba_share,grad_share,earnings,modeled_own_tax,cash_transfers,tax_minus_cash,medicaid,age_std_earnings,age_std_tax_minus_cash,age_std_ba,age_std_years_complete
white_g3plus,5,185993,33857,40478,88434919.024000,45.084376,0.442763,0.158374,67008.480214,16887.222262,1278.897318,15608.324944,0.116745,67008.480214,15608.324944,0.442763,5
india_g1,5,5442,1003,1232,2840412.690000,41.656622,0.892465,0.556928,105867.522746,28882.835288,244.133321,28638.701967,0.041836,105711.067636,29068.969926,0.864462,5
india_g2,5,941,164,209,476387.292000,37.264105,0.849256,0.488815,112889.297947,34871.827777,125.882170,34745.945607,0.064020,114184.909458,35450.557994,0.814299,5
india_g3plus_race,5,203,26,49,109256.860000,40.214363,0.716462,0.360209,79395.581641,20886.316762,729.955990,20156.360772,0.074233,81128.743475,19709.483705,0.704497,5
india_g2_diaspora,5,313,50,71,161167.646000,40.971807,0.668871,0.344533,80941.067194,21026.208374,648.294935,20377.913439,0.146724,83561.071339,21279.568990,0.682419,5
asian_indian_native_selfid,5,1169,209,259,597163.540000,38.283551,0.779038,0.435259,99173.221468,29309.612404,365.834043,28943.778361,0.089441,95993.229111,27350.942674,0.748189,5
